"Common.Name","Scientific.Name","Endemic.Near.Endemic","Long.Term.Trend","Current.Annual.Change","Range.Size","Long.Term.Status","Current.Status","Range.Status","Concern.Status","WLPA.Schedule","IUCN"
"Black-faced Warbler","Abroscopus schisticeps","","","3.81±16.38","7.01±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Yellow-bellied Warbler","Abroscopus superciliaris","","","5.27±37.77","6.46±0.08","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Shikra","Accipiter badius","","16.88±14.15","-1.43±1.74","199.12±0.11","Stable","Stable","Very Large","Low","Schedule-I","LC"
"Nicobar Sparrowhawk","Accipiter butleri","X","","","0.04","Data Deficient","Data Deficient","Restricted","High","Schedule-I","VU"
"Eurasian Sparrowhawk","Accipiter nisus","","-69.57±30.15","-7.24±13.53","5.73±0.17","Moderate Decline","Uncertain","Moderate","Moderate","Schedule-I","LC"
"Crested Goshawk","Accipiter trivirgatus","","-27.36±33.59","-3.3±7.2","27.5±0.07","Uncertain","Uncertain","Large","Low","Schedule-I","LC"
"Besra","Accipiter virgatus","","","","12.89","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-I","LC"
"Rufous-necked Hornbill","Aceros nipalensis","","","12.05±26.43","2.58±0.04","Data Deficient","Uncertain","Restricted","High","Schedule-I","VU"
"Jungle Myna","Acridotheres fuscus","","38.83±33.42","-5.92±3.27","93.75±0.07","Uncertain","Moderate Decline","Large","Moderate","Schedule-IV","LC"
"Bank Myna","Acridotheres ginginianus","X","-25.87±21.88","-7.81±3.78","88.38±0.08","Stable","Strong Decline","Large","Moderate","Schedule-IV","LC"
"Great Myna","Acridotheres grandis","","","-4.43±29.15","9.9±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Common Myna","Acridotheres tristis","","11.37±8.86","0.34±1.3","222.66±0.06","Stable","Stable","Very Large","Low","Schedule-IV","LC"
"Yellow-browed Bulbul","Acritillas indica","X","-77.79±14.55","-5.76±9.92","15.14±0.03","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Paddyfield Warbler","Acrocephalus agricola","","-29.75±42.93","7.42±13.4","31.84±0.1","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Blyth's Reed-warbler","Acrocephalus dumetorum","","18.5±30.3","2.11±4.77","117.09±0.08","Uncertain","Uncertain","Very Large","Low","Schedule-IV","LC"
"Clamorous Reed-warbler","Acrocephalus stentoreus","","0.74±30.59","4.98±5.91","33.36±0.09","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Rusty-fronted Barwing","Actinodura egertoni","X","","-9.46±21.37","5.77±0.08","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Common Sandpiper","Actitis hypoleucos","","-39.98±10.37","-6.07±2.44","95.91","Moderate Decline","Strong Decline","Large","Moderate","Schedule-IV","LC"
"Black-throated Tit","Aegithalos concinnus","","-23.46±40.14","-5.99±7.11","15.81±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Rufous-fronted Tit","Aegithalos iouschistos","","","","2.63±0.09","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"White-throated Tit","Aegithalos niveogularis","X","","","6.59±0.14","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Marshall's Iora","Aegithina nigrolutea","X","","-2.87±15.16","8.41±0.05","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Common Iora","Aegithina tiphia","","-39.49±9.31","-3.8±2.4","149.68±0.08","Moderate Decline","Moderate Decline","Very Large","Moderate","Schedule-IV","LC"
"Cinereous Vulture","Aegypius monachus","","","-12.42±10.97","6±0.09","Data Deficient","Moderate Decline","Moderate","Moderate","Schedule-IV","NT"
"Himalayan Swiftlet","Aerodramus brevirostris","","-77.52±14.02","-8.82±8.67","19.51±0.2","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Indian Swiftlet","Aerodramus unicolor","X","-24.61±45.17","-3.23±8.8","12.05±0.03","Uncertain","Uncertain","Moderate","Low","Schedule-I","LC"
"Gould's Sunbird","Aethopyga gouldiae","","","-2.06±24.62","10.2±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Fire-tailed Sunbird","Aethopyga ignicauda","","","6.13±39.65","9.14±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Green-tailed Sunbird","Aethopyga nipalensis","","4.53±67.52","-3.55±9.47","11.9±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Black-throated Sunbird","Aethopyga saturata","","","7.33±19.84","11.56±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Crimson Sunbird","Aethopyga siparaja","","33.79±54.98","-4.77±5.75","26.28±0.07","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Sahyadri Sunbird","Aethopyga vigorsii","X","","3.54±16.44","6.73±0.05","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Oriental Skylark","Alauda gulgula","","-61.11±9.84","0.33±4.56","90.18±0.12","Strong Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Sand Lark","Alaudala raytal","","-53.58±26.16","6.22±11.97","21.71±0.08","Moderate Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Common Kingfisher","Alcedo atthis","","-18.82±10.89","-8.58±1.66","183.12±0.12","Stable","Strong Decline","Very Large","Low","Schedule-IV","LC"
"Blue-eared Kingfisher","Alcedo meninting","","","-6.79±12.01","12.49±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Nepal Fulvetta","Alcippe nipalensis","","","-0.8±36.19","9.33±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Brown-cheeked Fulvetta","Alcippe poioicephala","","-77±7.86","3.49±6.97","28.5±0.05","Strong Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Striated Bulbul","Alcurus striatus","","","-4.87±25.34","6.49±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Chukar","Alectoris chukar","","","1.92±18.5","12.65±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"White-throated Bulbul","Alophoixus flaveolus","","-24.75±210.99","10.11±70.23","10.22±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Red Avadavat","Amandava amandava","","41.37±39.93","-3.78±4.11","93.92±0.1","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Green Avadavat","Amandava formosa","X","","","0.31","Data Deficient","Data Deficient","Very Restricted","High","Schedule-IV","VU"
"White-breasted Waterhen","Amaurornis phoenicurus","","37.14±19.76","-0.88±2.29","174.3±0.1","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"Rufous-tailed Lark","Ammomanes phoenicura","X","-67.58±8.82","-3.05±4.24","91.12±0.08","Strong Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Northern Pintail","Anas acuta","","-55.82±52.99","-5±18.76","99.14±0.09","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Andaman Teal","Anas albogularis","X","","","0.35±0.03","Data Deficient","Data Deficient","Restricted","High","Schedule-I","VU"
"Common Teal","Anas crecca","","-40.4±37.77","3.94±12.27","83.05±0.09","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Mallard","Anas platyrhynchos","","-44.57±42.64","6.4±17.8","20.99±0.09","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Indian Spot-billed Duck","Anas poecilorhyncha","","24.78±24.34","-4.1±2.7","137.13±0.08","Stable","Moderate Decline","Very Large","Low","Schedule-IV","LC"
"Asian Openbill","Anastomus oscitans","","32.53±24.46","-7.74±2.39","158.78±0.09","Stable","Strong Decline","Very Large","Low","Schedule-IV","LC"
"Oriental Darter","Anhinga melanogaster","","18.49±26.66","-5.58±2.98","105.44±0.09","Uncertain","Moderate Decline","Very Large","Low","Schedule-IV","NT"
"Austen's Brown Hornbill","Anorrhinus austeni","","","","0.68±0.05","Data Deficient","Data Deficient","Very Restricted","High","Schedule-I","NT"
"Greylag Goose","Anser anser","","-38.4±34.94","-3.09±8.85","24.57±0.1","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Bar-headed Goose","Anser indicus","","-13.4±217.66","-6.94±38.95","45.45±0.07","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"White-gorgeted Flycatcher","Anthipes monileger","","","","4.93±0.25","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Oriental Pied Hornbill","Anthracoceros albirostris","","22.21±68.6","-0.06±9.69","13.54±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-I","LC"
"Malabar Pied Hornbill","Anthracoceros coronatus","X","3.79±66.28","-10.15±7.67","16.23±0.05","Uncertain","Moderate Decline","Moderate","Moderate","Schedule-I","NT"
"Demoiselle Crane","Anthropoides virgo","","","-1.36±21.55","14.71±0.08","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Tawny Pipit","Anthus campestris","","-69.75±25.57","-2.24±14.1","50.25±0.09","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Blyth's Pipit","Anthus godlewskii","","","10.07±18.48","16.26±0.17","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Olive-backed Pipit","Anthus hodgsoni","","-69.8±29.27","-5.44±14.8","40.74±0.09","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Nilgiri Pipit","Anthus nilghiriensis","X","2.2±208.82","-23.04±6.48","0.95±0.04","Uncertain","Strong Decline","Restricted","High","Schedule-IV","VU"
"Richard's Pipit","Anthus richardi","","-93.48±7.16","-11.96±11.98","15.2±0.1","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Rosy Pipit","Anthus roseatus","","-36.93±122.54","6.56±43.57","9.06±0.11","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Paddyfield Pipit","Anthus rufulus","","-6.4±14.26","3.69±2.84","173.88±0.11","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"Long-billed Pipit","Anthus similis","","","-4.31±10.39","20±0.09","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Upland Pipit","Anthus sylvanus","","","","8.63±0.13","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Tree Pipit","Anthus trivialis","","-50.49±73.05","5.82±32.01","56.74±0.11","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Sarus Crane","Antigone antigone","","-49.86±20.52","-7.39±5.56","33.14±0.07","Moderate Decline","Moderate Decline","Large","Moderate","Schedule-IV","VU"
"Dark-rumped Swift","Apus acuticauda","","","","2.41±0.13","Data Deficient","Data Deficient","Restricted","High","Schedule-IV","VU"
"Little Swift","Apus affinis","","-45.24±8.34","6.19±3.18","178.66±0.12","Moderate Decline","Strong Increase","Very Large","Low","Schedule-IV","LC"
"Golden Eagle","Aquila chrysaetos","","","-13.57±9.64","14.79±0.1","Data Deficient","Strong Decline","Moderate","Moderate","Schedule-I","LC"
"Bonelli's Eagle","Aquila fasciata","","8.3±33.13","-2.28±4.72","81.31±0.12","Uncertain","Uncertain","Large","Low","Schedule-I","LC"
"Eastern Imperial Eagle","Aquila heliaca","","","-0.23±16.73","8.75±0.08","Data Deficient","Uncertain","Moderate","Moderate","Schedule-I","VU"
"Steppe Eagle","Aquila nipalensis","","-17.93±45.19","-7.29±7.53","33.45±0.07","Uncertain","Uncertain","Large","High","Schedule-I","EN"
"Tawny Eagle","Aquila rapax","","-75.24±10.16","-13.03±4.51","39.71±0.09","Strong Decline","Strong Decline","Large","High","Schedule-I","VU"
"Little Spiderhunter","Arachnothera longirostra","","-74.15±11.39","-5.31±6.43","22.17±0.05","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Streaked Spiderhunter","Arachnothera magna","","-28.94±66.32","0.05±17.84","10.43±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"White-cheeked Partridge","Arborophila atrogularis","X","","","3.42±0.07","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","NT"
"Chestnut-breasted Partridge","Arborophila mandellii","X","","","1.38±0.07","Data Deficient","Data Deficient","Restricted","High","Schedule-IV","VU"
"Rufous-throated Partridge","Arborophila rufogularis","","","","6.34±0.11","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Hill Partridge","Arborophila torqueola","X","","-9.34±8.43","10.2±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Great White Egret","Ardea alba","","-10.6±13.25","-6.55±1.96","171.1±0.1","Stable","Strong Decline","Very Large","Low","Schedule-IV","LC"
"Grey Heron","Ardea cinerea","","-9.35±15.16","-3.56±2.63","164.86±0.09","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"White-bellied Heron","Ardea insignis","","","","0.06","Data Deficient","Data Deficient","Very Restricted","High","Schedule-I","CR"
"Intermediate Egret","Ardea intermedia","","-12.82±11.67","-8.65±1.62","178.04±0.1","Stable","Strong Decline","Very Large","Low","Schedule-IV","LC"
"Purple Heron","Ardea purpurea","","21.12±21.17","-8±2.11","145.39±0.1","Stable","Strong Decline","Very Large","Low","Schedule-IV","LC"
"Indian Pond-heron","Ardeola grayii","","-5±10.57","-4.19±1.58","207.72±0.07","Stable","Moderate Decline","Very Large","Low","Schedule-IV","LC"
"Great Indian Bustard","Ardeotis nigriceps","X","","","2.31±0.12","Data Deficient","Data Deficient","Restricted","High","Schedule-I","CR"
"Ruddy Turnstone","Arenaria interpres","","","-8.26±11.82","5.82±0.04","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Common Babbler","Argya caudata","X","-39.03±16.11","0.96±4.68","97.75±0.08","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Striated Babbler","Argya earlei","","","1.48±10.08","17.32±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Large Grey Babbler","Argya malcolmi","X","-29.67±17.21","-1.9±4.05","123.81±0.07","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"Rufous Babbler","Argya subrufa","X","-48.32±31.69","-12.34±6.5","11.55±0.04","Uncertain","Strong Decline","Moderate","Moderate","Schedule-IV","LC"
"Ashy Woodswallow","Artamus fuscus","","-38.52±17.07","-7.22±3.59","65.91±0.07","Stable","Strong Decline","Large","Moderate","Schedule-IV","LC"
"Thick-billed Warbler","Arundinax aedon","","","-4.96±10.24","12.32±0.09","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"White-winged Duck","Asarcornis scutulata","","","","1.66±0.09","Data Deficient","Data Deficient","Restricted","High","Schedule-I","EN"
"Short-eared Owl","Asio flammeus","","","-9.4±12.95","5.9±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Jerdon's Baza","Aviceda jerdoni","","","","11.62±0.13","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-I","LC"
"Black Baza","Aviceda leuphotes","","","-3.38±41.85","0.93±0.09","Data Deficient","Uncertain","Restricted","Moderate","Schedule-I","LC"
"Common Pochard","Aythya ferina","","-62.97±19.33","-2.84±8.53","56.79±0.08","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","VU"
"Tufted Duck","Aythya fuligula","","-68.36±56.46","-4.29±28.21","38.05±0.09","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Ferruginous Duck","Aythya nyroca","","-19.26±41.88","32.97±18.96","26.79±0.09","Uncertain","Strong Increase","Large","Low","Schedule-IV","NT"
"Mountain Bamboo-partridge","Bambusicola fytchii","","","","3.11±0.07","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-I","LC"
"Bay Woodpecker","Blythipicus pyrrhotis","","","-1.3±40.18","8.07±0.1","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Andaman Bulbul","Brachypodius fuscoflavescens","X","","2.02±10.33","0.51±0","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"Grey-headed Bulbul","Brachypodius priocephalus","X","","-3.63±10.38","9.94±0.04","Data Deficient","Uncertain","Moderate","Moderate","Schedule-IV","NT"
"Rusty-bellied Shortwing","Brachypteryx hyperythra","X","","","2.24±0.1","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","NT"
"Lesser Shortwing","Brachypteryx leucophris","","","-4.05±63.42","8.36±0.11","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Dusky Eagle-owl","Bubo coromandus","","","","4.23±0.07","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Cattle Egret","Bubulcus ibis","","16.74±12.33","-4.33±1.38","214.72±0.07","Stable","Strong Decline","Very Large","Low","Schedule-IV","LC"
"Great Hornbill","Buceros bicornis","","-35.39±32.66","-7.42±6.74","16±0.05","Uncertain","Uncertain","Moderate","Moderate","Schedule-I","VU"
"Indian Thick-knee","Burhinus indicus","","-62.13±10.76","-4.48±4.48","76.04±0.1","Strong Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"White-eyed Buzzard","Butastur teesa","","-13.23±22.28","-9.25±3.06","25.04±0.08","Stable","Strong Decline","Moderate","Moderate","Schedule-I","LC"
"Eurasian Buzzard","Buteo buteo","","","-9.02±9.67","12.97±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-I","LC"
"Himalayan Buzzard","Buteo refectus","","-49.55±41.3","3.19±16.57","22.33±0.09","Uncertain","Uncertain","Moderate","Low","Schedule-I","LC"
"Long-legged Buzzard","Buteo rufinus","","-23.58±53.12","-5.24±11.06","19.43±0.09","Uncertain","Uncertain","Moderate","Low","Schedule-I","LC"
"Green-backed Heron","Butorides striata","","-17.56±21.3","-1.86±4.21","92.16±0.13","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Plaintive Cuckoo","Cacomantis merulinus","","","-11.7±13.29","2.87±0.08","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"Grey-bellied Cuckoo","Cacomantis passerinus","X","-12.79±26.08","3.67±5.74","89±0.15","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Banded Bay Cuckoo","Cacomantis sonneratii","","-59.51±16.24","8.71±9.05","30.36±0.09","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Greater Short-toed Lark","Calandrella brachydactyla","","-41.48±173.21","191.16±400.8","24.89±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Sanderling","Calidris alba","","","-14.11±8.96","6.39±0.05","Data Deficient","Strong Decline","Moderate","Moderate","Schedule-IV","LC"
"Dunlin","Calidris alpina","","-79.2±17.43","-6.97±12.36","9.04±0.06","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Broad-billed Sandpiper","Calidris falcinellus","","","-13.54±13.8","3.5±0.04","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"Curlew Sandpiper","Calidris ferruginea","","-87.62±8.66","-8.05±9.7","8.41±0.05","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","NT"
"Little Stint","Calidris minuta","","-67.37±10.21","-2.68±5.1","66.83±0.08","Strong Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Ruff","Calidris pugnax","","-44.2±23.83","-2.2±7.06","40.84±0.07","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Temminck's Stint","Calidris temminckii","","-61.94±12.46","3.66±6.69","29.25","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Great Knot","Calidris tenuirostris","","","","2.01±0.05","Data Deficient","Data Deficient","Restricted","High","Schedule-IV","EN"
"Spectacled Finch","Callacanthis burtoni","X","","","6.5±0.1","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Siberian Rubythroat","Calliope calliope","","","-14.16±12.67","4.97±0.09","Data Deficient","Moderate Decline","Moderate","Moderate","Schedule-IV","LC"
"Himalayan Rubythroat","Calliope pectoralis","","","29.82±97.59","11.96±0.13","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Chinese Rubythroat","Calliope tschebaiewi","","","","0.12±0.02","Data Deficient","Data Deficient","Very Restricted","High","Schedule-IV","LC"
"European Goldfinch","Carduelis carduelis","","","0.02±19.67","11.54±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Common Rosefinch","Carpodacus erythrinus","","-23.23±33.75","1.04±7.87","40.86±0.08","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Pink-browed Rosefinch","Carpodacus rodochroa","X","","-3.98±17.5","10.94±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Spot-winged Rosefinch","Carpodacus rodopeplus","X","","","2.28±0.08","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Scarlet Finch","Carpodacus sipahi","","","-2.36±48.79","4.87±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Crimson-browed Finch","Carpodacus subhimachalus","","","","2.37±0.08","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Himalayan White-browed Rosefinch","Carpodacus thura","X","","","6.05±0.1","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Cheer Pheasant","Catreus wallichii","X","","","2.79±0.07","Data Deficient","Data Deficient","Restricted","High","Schedule-I","VU"
"Red-rumped Swallow","Cecropis daurica","","-35.77±10.92","1.08±2.99","132.64±0.09","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"Andaman Coucal","Centropus andamanensis","X","","-1.77±4.69","0.51±0.02","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"Lesser Coucal","Centropus bengalensis","","","16.41±19.78","20.84±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Greater Coucal","Centropus sinensis","","40.08±15.72","3.84±2.05","193.43±0.08","Stable","Strong Increase","Very Large","Low","Schedule-IV","LC"
"Fire-capped Tit","Cephalopyrus flammiceps","","","","4.02±0.09","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Sikkim Treecreeper","Certhia discolor","X","","-2.36±15.29","2.18±0.05","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"Bar-tailed Treecreeper","Certhia himalayana","","-7.33±61.92","-8.53±8.84","13.42±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Hodgson's Treecreeper","Certhia hodgsoni","","","","11.31±0.11","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Rusty-flanked Treecreeper","Certhia nipalensis","X","","","4.49±0.08","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Pied Kingfisher","Ceryle rudis","","-43.87±9.73","-9.96±2","168.16±0.11","Moderate Decline","Strong Decline","Very Large","Moderate","Schedule-IV","LC"
"Grey-sided Bush-warbler","Cettia brunnifrons","","","-11.9±22.35","9.4±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Chestnut-headed Tesia","Cettia castaneocoronata","","-31.57±67.2","-9.02±12.21","11.11±0.07","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Oriental Dwarf-kingfisher","Ceyx erithaca","","","17.72±63.29","2.57±0.05","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"Bristled Grassbird","Chaetornis striata","X","","","0.96±0.04","Data Deficient","Data Deficient","Restricted","High","Schedule-IV","VU"
"Ruby-cheeked Sunbird","Chalcoparia singalensis","","","10.97±78.2","9.01±0.1","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Grey-capped Emerald Dove","Chalcophaps indica","","-27.48±22.72","-0.05±5.39","48.4±0.07","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Kentish Plover","Charadrius alexandrinus","","-65.99±11.68","-5.38±5.25","6.01±0.06","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Little Ringed Plover","Charadrius dubius","","-57.31±8.32","-4.96±2.8","30.8±0.1","Moderate Decline","Moderate Decline","Large","Moderate","Schedule-IV","LC"
"Greater Sandplover","Charadrius leschenaultii","","","-9.26±9.73","7.97±0.04","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Lesser Sandplover","Charadrius mongolus","","-72.47±15.73","-6.29±8.2","14.85±0.05","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Slender-billed Babbler","Chatarrhaea longirostris","X","","","1.65±0.09","Data Deficient","Data Deficient","Restricted","High","Schedule-IV","VU"
"Yellow-bellied Fairy-fantail","Chelidorhynx hypoxanthus","","-40.26±33.37","-2.54±9.61","19.21±0.09","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Pale-billed Parrotbill","Chleuasicus atrosuperciliaris","","","","2.16±0.1","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Whiskered Tern","Chlidonias hybrida","","-51.32±15.03","-11.25±3.39","16.93±0.07","Moderate Decline","Strong Decline","Moderate","Moderate","Schedule-IV","LC"
"Yellow-breasted Greenfinch","Chloris spinoides","X","-52.75±26.19","-6.25±7.86","17.47±0.08","Moderate Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Golden-fronted Leafbird","Chloropsis aurifrons","","-37.61±17.5","-4.9±4.17","54.9±0.06","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Orange-bellied Leafbird","Chloropsis hardwickii","","-6.17±83.92","5.06±18.84","14.9±0.08","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Jerdon's Leafbird","Chloropsis jerdoni","X","-46.78±14.96","-1.75±4.67","63.98±0.08","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"White-naped Woodpecker","Chrysocolaptes festivus","X","-39.81±23.46","-3.44±6.01","42.21±0.11","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Greater Flameback","Chrysocolaptes guttacristatus","","-40.25±17.67","1.83±5.42","42.31±0.06","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Bar-throated Minla","Chrysominla strigula","","-27.43±50.85","-9.43±8.76","10.37±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Jerdon's Babbler","Chrysomma altirostre","","","","2.11±0.08","Data Deficient","Data Deficient","Restricted","High","Schedule-IV","VU"
"Yellow-eyed Babbler","Chrysomma sinense","","-6.64±22.02","-4.91±3.28","113.44±0.1","Stable","Moderate Decline","Very Large","Low","Schedule-IV","LC"
"Greater Yellownape","Chrysophlegma flavinucha","","30.94±73.93","5.36±11.47","14.79±0.09","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Asian Woollyneck","Ciconia episcopus","","-23.95±18.09","-6.18±3.53","120.45±0.1","Stable","Moderate Decline","Very Large","Low","Schedule-IV","VU"
"Black Stork","Ciconia nigra","","-47.9±31.11","-12.3±6.95","23.74±0.08","Uncertain","Strong Decline","Moderate","Moderate","Schedule-IV","LC"
"Blue-fronted Robin","Cinclidium frontale","","","","2.45±0.09","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Brown Dipper","Cinclus pallasii","","-42.15±32.69","2.43±10.87","18.99±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Purple Sunbird","Cinnyris asiaticus","","30.33±15.09","0.35±1.92","200.38±0.08","Stable","Stable","Very Large","Low","Schedule-IV","LC"
"Loten's Sunbird","Cinnyris lotenius","X","-33.81±23.81","0.81±6.45","30.96±0.05","Stable","Uncertain","Large","Low","Schedule-IV","LC"
