"Common.Name","Scientific.Name","Endemic.Near.Endemic","Long.Term.Trend","Current.Annual.Change","Range.Size","Long.Term.Status","Current.Status","Range.Status","Concern.Status","WLPA.Schedule","IUCN"
"Red Junglefowl","Gallus gallus","","-16.36±29.12","2.31±6.41","37.55±0.07","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Grey Junglefowl","Gallus sonneratii","X","-30.63±25.89","-4.9±5.48","33.85±0.04","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"White-hooded Babbler","Gampsorhynchus rufulus","","","-6.81±17.44","2.65±0.07","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"White-throated Laughingthrush","Garrulax albogularis","","-4.67±68.34","-1.39±11.74","9.26±0.04","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Grey-sided Laughingthrush","Garrulax caerulatus","X","-77.77±20.23","-16.15±8.07","2.24±0.07","Strong Decline","Strong Decline","Restricted","High","Schedule-IV","LC"
"Western Moustached Laughingthrush","Garrulax cineraceus","X","","","0.37","Data Deficient","Data Deficient","Very Restricted","High","Schedule-IV","LC"
"Wynaad Laughingthrush","Garrulax delesserti","X","","","4.75±0.05","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Yellow-throated Laughingthrush","Garrulax galbanus","X","","","1.65±0.1","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Rufous-vented Laughingthrush","Garrulax gularis","X","","","1.46±0.12","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"White-crested Laughingthrush","Garrulax leucolophus","","-19.32±47.44","4.49±11.41","13.12±0.07","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Spot-breasted Laughingthrush","Garrulax merulinus","X","","","3.45±0.01","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Lesser Necklaced Laughingthrush","Garrulax monileger","","","8.96±47.18","10.29±0.12","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
