eBird English Name,eBird Scientific Name,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Breeding Period,Ground Nester (Open),Ground Nester (Concealed),Canopy Nester,mid story/Shrub/thicket nester,Earthen Cavity nester,Tree Cavity Nester,Cliff Nester,Nest in urban structures,Nest in urban gardens,Area of distribution range (sq. km.),Remarks
Lesser Fish-Eagle,Haliaeetus humilis,0,10,10,60,0,20,0,0,0,0,VertFishScav,Ref_2,A,,,,,,,,,,,,,,,,,,,,,,,,
Gray-headed Fish-Eagle,Haliaeetus ichthyaetus,0,10,10,60,0,20,0,0,0,0,VertFishScav,Ref_2,A,,,,,,,,,,,,,,,,,,,,,,,,
Brahminy Kite,Haliastur indus,10,20,10,10,0,50,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,10,50,0,0,10,30,0,Ref_2,1,Morgane; Walter,,,,,,,,,,,,
Red Kite,Milvus milvus,0,30,0,0,0,70,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Black Kite,Milvus migrans,0,10,10,10,0,70,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,20,60,0,0,0,20,0,Ref_2,1,Morgane; Walter,,,,,,,,,,,,
White-eyed Buzzard,Butastur teesa,30,30,40,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Gray-faced Buzzard,Butastur indicus,0,50,50,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Common Buzzard,Buteo buteo,0,90,10,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Himalayan Buzzard,Buteo refectus,0,90,10,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,,,,,,,,,,,,,,,,,,,,,,,,
Long-legged Buzzard,Buteo rufinus,0,80,20,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Upland Buzzard,Buteo hemilasius,10,80,10,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Oriental Bay-Owl,Phodilus badius,20,40,40,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,0,20,40,40,0,0,0,Ref_5,1,Other,,,,,,,,,,,,
Sri Lanka Bay-Owl,Phodilus assimilis,20,40,40,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,,,,,,,,,,,,,,,,,,,,,,,,
Australasian Grass-Owl,Tyto longimembris,0,100,0,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,0,100,0,0,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
