species,detprobB,occB,occB.ci,trivB,sampareaB,detprobM,occM,occM.ci,trivM,sampareaM,migstatus
Golden Babbler,0.036,7.5380416,0.1013,3.4592,238.2723,NA,NA,NA,NA,NA,R
Rufous-capped Babbler,0.042,8.8218563,0.067,4.5841,238.2723,NA,NA,NA,NA,NA,R
Rufous-throated Wren-Babbler,0.023,1.6466418,0.0394,0.8882,238.2723,NA,NA,NA,NA,NA,R
Bar-winged Wren-Babbler,0.048,0.555395,0.0287,0.4298,238.2723,NA,NA,NA,NA,NA,R
Long-tailed Wren-Babbler,NA,NA,NA,0.3125,238.2723,NA,NA,NA,NA,NA,R
Tawny-breasted Wren-Babbler,NA,NA,NA,0.125,238.2723,NA,NA,NA,NA,NA,R
Slender-billed Scimitar-Babbler,0.029,3.6204589,0.1001,1.8988,238.2723,NA,NA,NA,NA,NA,R
Streak-breasted Scimitar-Babbler,0.032,6.995842,0.0634,3.892,238.2723,NA,NA,NA,NA,NA,R
White-browed Scimitar-Babbler,0.015,14.7096344,0.0802,7.1364,238.2723,NA,NA,NA,NA,NA,R
Spot-breasted Scimitar-Babbler,0.039,3.350541,0.0893,1.4488,238.2723,NA,NA,NA,NA,NA,R
Snowy-throated Babbler,NA,NA,NA,0.1549,238.2723,NA,NA,NA,NA,NA,R
Blackish-breasted Babbler,0.023,0.6093098,0.0628,0.3498,238.2723,NA,NA,NA,NA,NA,R
Chevron-breasted Babbler,0.034,1.0890106,0.085,0.4296,238.2723,NA,NA,NA,NA,NA,R
White-hooded Babbler,0.017,2.6508694,0.0736,1.3972,238.2723,NA,NA,NA,NA,NA,R
Rufous-throated Fulvetta,0.01,0.6897955,0.0691,0.4049,238.2723,NA,NA,NA,NA,NA,R
Rufous-vented Prinia,0.101,1.1556577,0.0502,0.4184,238.2723,NA,NA,NA,NA,NA,R
Swamp Prinia,NA,NA,NA,0.1875,238.2723,NA,NA,NA,NA,NA,R
Puff-throated Babbler,0.044,55.0159811,0.0663,34.3913,238.2723,NA,NA,NA,NA,NA,R
Marsh Babbler,0.041,0.9982813,0.0773,0.375,238.2723,NA,NA,NA,NA,NA,R
Long-billed Wren-Babbler,0.01,1.4858323,0.0631,0.7277,238.2723,NA,NA,NA,NA,NA,R
Abbott's Babbler,0.029,5.8924102,0.0649,2.7182,238.2723,NA,NA,NA,NA,NA,R
Indian Grassbird,0.007,3.289398,0.1144,0.9311,238.2723,NA,NA,NA,NA,NA,R
Ludlow's Fulvetta,0.076,0.7973796,0.0481,0.5849,238.2723,NA,NA,NA,NA,NA,R
Nepal Fulvetta,0.054,9.3252593,0.0738,5.5867,238.2723,NA,NA,NA,NA,NA,R
Striated Laughingthrush,0.066,10.3845079,0.0475,7.1008,238.2723,NA,NA,NA,NA,NA,R
Common Babbler,0.042,97.751175,0.0802,56.4081,238.2723,NA,NA,NA,NA,NA,R
Slender-billed Babbler,0.015,1.6460328,0.0883,0.6883,238.2723,NA,NA,NA,NA,NA,R
Large Gray Babbler,0.059,123.807353,0.0732,79.3304,238.2723,NA,NA,NA,NA,NA,R
Rufous Babbler,0.038,11.54552,0.0364,9.1322,238.2723,NA,NA,NA,NA,NA,R
Jungle Babbler,0.167,170.6724257,0.0719,120.4897,238.2723,NA,NA,NA,NA,NA,R
Yellow-billed Babbler,0.193,47.9304569,0.0488,37.773,238.2723,NA,NA,NA,NA,NA,R
Lesser Necklaced Laughingthrush,0.019,10.292744,0.1231,3.9267,238.2723,NA,NA,NA,NA,NA,R
Spot-breasted Laughingthrush,0.007,3.4454852,0.0076,0.8244,238.2723,NA,NA,NA,NA,NA,R
Moustached Laughingthrush,NA,NA,NA,0.3721,238.2723,NA,NA,NA,NA,NA,R
Rufous-chinned Laughingthrush,0.015,6.0827897,0.0665,2.8558,238.2723,NA,NA,NA,NA,NA,R
Greater Necklaced Laughingthrush,0.023,9.486367,0.1291,4.5686,238.2723,NA,NA,NA,NA,NA,R
Rufous-necked Laughingthrush,0.041,8.858136,0.0701,4.7578,238.2723,NA,NA,NA,NA,NA,R
Chestnut-backed Laughingthrush,NA,NA,NA,0.1875,238.2723,NA,NA,NA,NA,NA,R
Yellow-throated Laughingthrush,0.043,1.6537546,0.0968,0.5596,238.2723,NA,NA,NA,NA,NA,R
Wynaad Laughingthrush,0.008,4.7478032,0.0479,2.6813,238.2723,NA,NA,NA,NA,NA,R
Rufous-vented Laughingthrush,0.002,1.4632999,0.1169,0.5,238.2723,NA,NA,NA,NA,NA,R
Gray-sided Laughingthrush,0.025,2.2370902,0.066,1.1974,238.2723,NA,NA,NA,NA,NA,R
Streaked Laughingthrush,0.217,15.6410251,0.0451,12.2903,238.2723,NA,NA,NA,NA,NA,R
Striped Laughingthrush,0.076,1.277068,0.0791,0.5772,238.2723,NA,NA,NA,NA,NA,R
Brown-capped Laughingthrush,NA,NA,NA,0.25,238.2723,NA,NA,NA,NA,NA,R
Blue-winged Laughingthrush,0.019,3.7890403,0.0948,2.0181,238.2723,NA,NA,NA,NA,NA,R
Assam Laughingthrush,0.057,2.3429952,0.083,0.8272,238.2723,NA,NA,NA,NA,NA,R
Banasura Laughingthrush,NA,NA,NA,0.1875,238.2723,NA,NA,NA,NA,NA,R
Nilgiri Laughingthrush,0.048,0.6329915,0.0322,0.5,238.2723,NA,NA,NA,NA,NA,R
Beautiful Sibia,0.219,3.6506993,0.0637,1.9923,238.2723,NA,NA,NA,NA,NA,R
Silver-eared Mesia,0.054,9.2706938,0.0614,5.5528,238.2723,NA,NA,NA,NA,NA,R
Bugun Liocichla,NA,NA,NA,0.0625,238.2723,NA,NA,NA,NA,NA,R
Red-faced Liocichla,0.025,4.7669555,0.1049,2.4345,238.2723,NA,NA,NA,NA,NA,R
Hoary-throated Barwing,0.042,1.5277769,0.0455,1.135,238.2723,NA,NA,NA,NA,NA,R
Streak-throated Barwing,0.032,3.283678,0.1088,1.0701,238.2723,NA,NA,NA,NA,NA,R
Rusty-fronted Barwing,0.067,5.7670705,0.0774,3.1085,238.2723,NA,NA,NA,NA,NA,R
Blue-winged Minla,0.042,10.585855,0.0592,5.7921,238.2723,NA,NA,NA,NA,NA,R
Chestnut-tailed Minla,0.047,10.3726857,0.0584,6.2229,238.2723,NA,NA,NA,NA,NA,R
Asian Fairy-bluebird,0.066,18.8654244,0.0415,13.6763,238.2723,NA,NA,NA,NA,NA,R
Dark-sided Flycatcher,0.03,6.9933966,0.0854,3.4692,149.858,0.009,1.5372705,0.084,0.8652,196.9801,LM
Asian Brown Flycatcher,0.007,14.1756328,0.1433,5.5056,149.858,0.038,50.1185224,0.0861,27.2053,196.9801,LM
Brown-breasted Flycatcher,NA,NA,NA,NA,NA,0.021,18.9182652,0.0503,12.0764,224.4491,W/P
Oriental Magpie-Robin,0.202,193.7238663,0.0849,137.1874,238.2723,NA,NA,NA,NA,NA,R
White-rumped Shama,0.032,49.9835522,0.0672,28.0914,238.2723,NA,NA,NA,NA,NA,R
Andaman Shama,0.11,0.4863068,0.0283,0.3604,238.2723,NA,NA,NA,NA,NA,R
White-bellied Sholakili,0.113,1.0657352,0.0347,0.8125,238.2723,NA,NA,NA,NA,NA,R
White-bellied Blue Flycatcher,0.021,10.8645362,0.0415,7.9668,238.2723,NA,NA,NA,NA,NA,R
Pale-chinned Blue Flycatcher,0.046,7.6546606,0.0672,4.0797,238.2723,NA,NA,NA,NA,NA,R
Blue-throated Flycatcher,0.022,5.0494669,0.0856,2.6412,149.858,0.018,11.5926273,0.0586,6.2982,196.9801,LM
Large Blue Flycatcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S
Tickell's Blue Flycatcher,0.051,84.1720476,0.0761,50.4686,238.2723,NA,NA,NA,NA,NA,R
Nicobar Jungle-Flycatcher,NA,NA,NA,0.0769,238.2723,NA,NA,NA,NA,NA,R
Large Niltava,0.03,7.902259,0.0884,3.9934,238.2723,NA,NA,NA,NA,NA,R
Small Niltava,0.028,16.5233866,0.084,8.9449,238.2723,NA,NA,NA,NA,NA,R
Rufous-bellied Niltava,0.031,16.514507,0.0647,9.7117,238.2723,NA,NA,NA,NA,NA,R
Nilgiri Flycatcher,0.05,4.0704318,0.0328,2.875,238.2723,NA,NA,NA,NA,NA,R
Verditer Flycatcher,0.206,11.7349202,0.0522,8.3803,149.858,0.029,55.9704502,0.0886,29.3253,196.9801,LM
Gould's Shortwing,0.003,0.8806343,0.0342,0.3711,238.2723,NA,NA,NA,NA,NA,R
Lesser Shortwing,0.015,8.3629116,0.1139,3.0173,238.2723,NA,NA,NA,NA,NA,R
Indian Blue Robin,0.045,5.4397427,0.0732,2.742,149.858,0.027,9.0432544,0.0468,5.9308,196.9801,LM
Bluethroat,0.068,0.9807781,0.0683,0.5625,149.858,0.022,56.4738304,0.0895,27.7979,196.9801,LM
Malabar Whistling-Thrush,0.079,18.7470431,0.0363,14.6085,238.2723,NA,NA,NA,NA,NA,R
Blue Whistling-Thrush,0.24,30.5716709,0.0508,22.8784,238.2723,NA,NA,NA,NA,NA,R
Little Forktail,0.024,15.3638852,0.0755,8.2005,238.2723,NA,NA,NA,NA,NA,R
Spotted Forktail,0.048,16.6013821,0.0612,10.9599,238.2723,NA,NA,NA,NA,NA,R
Black-backed Forktail,0.028,10.9888868,0.0842,5.3994,238.2723,NA,NA,NA,NA,NA,R
Slaty-backed Forktail,0.02,10.2618886,0.0721,5.1832,238.2723,NA,NA,NA,NA,NA,R
Siberian Rubythroat,NA,NA,NA,NA,NA,0.009,4.9652817,0.092,2.0816,220.7693,W/P
Himalayan Rubythroat,0.01,11.9599905,0.1296,4.2471,238.2723,NA,NA,NA,NA,NA,R
White-tailed Robin,0.013,7.8470161,0.1126,3.38,238.2723,NA,NA,NA,NA,NA,R
Blue-fronted Robin,0.005,2.4459591,0.0924,0.7894,238.2723,NA,NA,NA,NA,NA,R
Himalayan Bluetail,0.052,14.8011995,0.0659,8.4495,238.2723,NA,NA,NA,NA,NA,R
Rufous-breasted Bush-Robin,0.023,2.6956664,0.0717,1.5212,238.2723,NA,NA,NA,NA,NA,R
Golden Bush-Robin,0.015,9.9338485,0.0981,4.7793,238.2723,NA,NA,NA,NA,NA,R
Black-and-orange Flycatcher,0.052,3.3119233,0.0383,2.125,238.2723,NA,NA,NA,NA,NA,R
Slaty-blue Flycatcher,0.019,18.8223648,0.1213,9.0282,238.2723,NA,NA,NA,NA,NA,R
