species,detprobB,occB,occB.ci,trivB,sampareaB,detprobM,occM,occM.ci,trivM,sampareaM,migstatus
Yellow-legged Buttonquail,0.001,20.9791125,0.2013,5.4319,238.2723,NA,NA,NA,NA,NA,R
Blyth's Rosefinch,0.002,2.9766068,0.1309,0.4375,238.2723,NA,NA,NA,NA,NA,R
Lesser Whistling-Duck,0.056,149.898761,0.0987,86.3417,238.3973,NA,NA,NA,NA,NA,R
Cotton Pygmy-Goose,0.021,100.1270602,0.1013,49.7269,238.3973,NA,NA,NA,NA,NA,R
Andaman Teal,0.056,0.3523681,0.0315,0.1679,238.3973,NA,NA,NA,NA,NA,R
Nicobar Scrubfowl,NA,NA,NA,0.0769,238.3973,NA,NA,NA,NA,NA,R
Painted Bush-Quail,0.01,4.0299632,0.048,2.5625,238.3973,NA,NA,NA,NA,NA,R
Black Francolin,0.037,35.4794869,0.0888,18.8716,238.3973,NA,NA,NA,NA,NA,R
Yellow-footed Pigeon,0.038,129.0298234,0.0907,74.8918,238.3973,NA,NA,NA,NA,NA,R
Green Imperial-Pigeon,0.03,23.6102682,0.0494,14.7025,238.3973,NA,NA,NA,NA,NA,R
Nicobar Imperial-Pigeon,0.252,0.1149693,0.0148,0.1042,238.3973,NA,NA,NA,NA,NA,R
Indian Bustard,0.126,2.3148767,0.1163,1.3348,238.3973,NA,NA,NA,NA,NA,R
Lesser Florican,0.023,3.0278956,0.063,1.1994,238.3973,NA,NA,NA,NA,NA,R
Sociable Lapwing,NA,NA,NA,NA,NA,0.044,0.5227379,0.0704,0.3125,159.9007,W/P
Black-bellied Tern,0.017,4.1624851,0.0678,2.1791,238.3973,NA,NA,NA,NA,NA,R
Indian Skimmer,0.019,3.4796179,0.057,1.8214,238.3973,NA,NA,NA,NA,NA,R
Greater Adjutant,0.067,4.6349154,0.0774,2.6005,238.3973,NA,NA,NA,NA,NA,R
Malayan Night-Heron,0.008,6.1720565,0.0675,2.4909,238.3973,NA,NA,NA,NA,NA,R
Brown Fish-Owl,0.013,48.4442023,0.0922,22.8718,238.3973,NA,NA,NA,NA,NA,R
