Rank,eBird Scientific Name 2019,Scientific Name
ssp,Ptilopachus petrosus major,
ssp,,
ssp,,
species,Ptilopachus nahani,Ptilopachus nahani
species,Dendrortyx barbatus,Dendrortyx barbatus
species,Dendrortyx macroura,Dendrortyx macroura
ssp,Dendrortyx macroura macroura,
ssp,Dendrortyx macroura griseipectus,
ssp,Dendrortyx macroura diversus,
ssp,Dendrortyx macroura striatus,
ssp,,
ssp,Dendrortyx macroura inesperatus,
ssp,Dendrortyx macroura oaxacae,
species,Dendrortyx leucophrys,Dendrortyx leucophrys
ssp,Dendrortyx leucophrys leucophrys,
ssp,,
species,,
ssp,Dendrortyx leucophrys hypospodius,
species,Oreortyx pictus,Oreortyx pictus
ssp,,
ssp,,
ssp,,
ssp,,
ssp,,
species,Callipepla squamata,Callipepla squamata
ssp,Callipepla squamata pallida,
ssp,Callipepla squamata hargravei,
ssp,Callipepla squamata castanogastris,
ssp,Callipepla squamata squamata,
species,Callipepla douglasii,Callipepla douglasii
ssp,Callipepla douglasii douglasii,
ssp,Callipepla douglasii bensoni,
ssp,Callipepla douglasii languens,
ssp,Callipepla douglasii impedita,
ssp,Callipepla douglasii teres,
ssp,,
species,Callipepla californica,Callipepla californica
ssp,Callipepla californica brunnescens,
ssp,Callipepla californica canfieldae,
ssp,Callipepla californica californica,
ssp,Callipepla californica orecta,
ssp,Callipepla californica plumbea,
ssp,Callipepla californica catalinensis,
ssp,Callipepla californica decolorata,
ssp,Callipepla californica achrustera,
species,Callipepla gambelii,Callipepla gambelii
ssp,Callipepla gambelii gambelii,
ssp,Callipepla gambelii sana,
ssp,Callipepla gambelii pembertoni,
ssp,Callipepla gambelii ignoscens,
species,,
ssp,Callipepla gambelii fulvipectus,
ssp,Callipepla gambelii friedmanni,
ssp,Callipepla gambelii stephensi,
species,Philortyx fasciatus,Philortyx fasciatus
species,Colinus virginianus,Colinus virginianus
ssp,Colinus virginianus virginianus,
ssp,Colinus virginianus marilandicus,
ssp,Colinus virginianus mexicanus,
ssp,Colinus virginianus floridanus,
ssp,,
ssp,Colinus virginianus cubanensis,
ssp,Colinus virginianus taylori,
ssp,Colinus virginianus ridgwayi,
ssp,Colinus virginianus texanus,
