Common.Name,Scientific.Name,Migratory.Status,IUCN,WLPA.Schedule,Long.Term.Trend,Current.Annual.Change,Range.Size,Long.Term.Status,Current.Status,Range.Status,Concern.Status
Indian Blue Robin,Larvivora brunnea,LM,Least Concern,Schedule-IV,-62.4±37.69,3.37±20.55,5.44±0.07,Uncertain,Uncertain,Moderate,Low
Bluethroat,Luscinia svecica,LM,Least Concern,Schedule-IV,-30.78±31.35,1.55±8.27,56.47±0.09,Uncertain,Uncertain,Large,Low
Malabar Whistling Thrush,Myophonus horsfieldii,R,Least Concern,Schedule-IV,-48.2±25.72,-5.8±7.18,18.75±0.04,Uncertain,Uncertain,Moderate,Low
Blue Whistling Thrush,Myophonus caeruleus,R,Least Concern,Schedule-IV,-8.7±32.62,0.6±6.49,30.57±0.05,Uncertain,Uncertain,Large,Low
Little Forktail,Enicurus scouleri,R,Least Concern,Schedule-IV,-29.8±47.73,-3.57±10.66,15.36±0.08,Uncertain,Uncertain,Moderate,Low
Spotted Forktail,Enicurus maculatus,R,Least Concern,Schedule-IV,-16±47.32,-3.7±8.44,16.6±0.06,Uncertain,Uncertain,Moderate,Low
Black-backed Forktail,Enicurus immaculatus,R,Least Concern,Schedule-IV,,-3.38±82.6,10.99±0.08,Data Deficient,Uncertain,Moderate,Low
Slaty-backed Forktail,Enicurus schistaceus,R,Least Concern,Schedule-IV,,9.43±53.35,10.26±0.07,Data Deficient,Uncertain,Moderate,Low
Siberian Rubythroat,Calliope calliope,W/P,Least Concern,Schedule-IV,,-14.16±12.67,4.97±0.09,Data Deficient,Moderate Decline,Moderate,Moderate
Himalayan Rubythroat,Calliope pectoralis,R,Least Concern,Schedule-IV,,29.82±97.59,11.96±0.13,Data Deficient,Uncertain,Moderate,Low
Chinese Rubythroat,Calliope tschebaiewi,LM,Least Concern,Schedule-IV,,,0.12±0.02,Data Deficient,Data Deficient,Very Restricted,High
White-tailed Robin,Myiomela leucura,R,Least Concern,Schedule-IV,,-19.83±8.65,7.85±0.11,Data Deficient,Strong Decline,Moderate,Moderate
Blue-fronted Robin,Cinclidium frontale,R,Least Concern,Schedule-IV,,,2.45±0.09,Data Deficient,Data Deficient,Restricted,Moderate
Himalayan Bush Robin,Tarsiger rufilatus,R,Least Concern,Schedule-IV,-27.4±54.72,8.4±16.9,14.8±0.07,Uncertain,Uncertain,Moderate,Low
Rufous-breasted Bush Robin,Tarsiger hyperythrus,R,Least Concern,Schedule-IV,,,2.7±0.07,Data Deficient,Data Deficient,Restricted,Moderate
Golden Bush Robin,Tarsiger chrysaeus,R,Least Concern,Schedule-IV,,-0.02±48.16,9.93±0.1,Data Deficient,Uncertain,Moderate,Low
Black-and-orange Flycatcher,Ficedula nigrorufa,R,Least Concern,Schedule-IV,,3.78±16.6,3.31±0.04,Data Deficient,Uncertain,Restricted,Moderate
Slaty-blue Flycatcher,Ficedula tricolor,R,Least Concern,Schedule-IV,-44.67±42.77,-4.83±11.85,18.82±0.12,Uncertain,Uncertain,Moderate,Low
Snowy-browed Flycatcher,Ficedula hyperythra,R,Least Concern,Schedule-IV,,-1.87±63.29,11.93±0.14,Data Deficient,Uncertain,Moderate,Low
Pygmy Blue Flycatcher,Ficedula hodgsoni,R,Least Concern,Schedule-IV,,,6.45±0.13,Data Deficient,Data Deficient,Moderate,Moderate
Rufous-gorgeted Flycatcher,Ficedula strophiata,R,Least Concern,Schedule-IV,-52.03±38.49,-5.3±11.77,16.8±0.08,Uncertain,Uncertain,Moderate,Low
Sapphire Flycatcher,Ficedula sapphira,R,Least Concern,Schedule-IV,,,5.85±0.11,Data Deficient,Data Deficient,Moderate,Moderate
Little Pied Flycatcher,Ficedula westermanni,R,Least Concern,Schedule-IV,-52.54±34.53,-1.75±12.29,13.94±0.1,Uncertain,Uncertain,Moderate,Low
Ultramarine Flycatcher,Ficedula superciliaris,LM,Least Concern,Schedule-IV,-31.01±36.85,-0.93±9.33,6.74±0.06,Uncertain,Uncertain,Moderate,Low
Rusty-tailed Flycatcher,Ficedula ruficauda,LM,Least Concern,Schedule-IV,-74.79±85.16,-10.98±41.27,1.79±0.2,Uncertain,Uncertain,Restricted,Moderate
Taiga Flycatcher,Ficedula albicilla,W/P,Least Concern,Schedule-IV,,,,,,,
Kashmir Flycatcher,Ficedula subrubra,LM,Vulnerable,Schedule-IV,,,0.93±0.04,Data Deficient,Data Deficient,Restricted,High
Red-breasted Flycatcher,Ficedula parva,W/P,Least Concern,Schedule-IV,-28.1±24.69,-4.37±5.38,68.87±0.09,Stable,Uncertain,Large,Low
Blue-fronted Redstart,Phoenicurus frontalis,R,Least Concern,Schedule-IV,-56.63±37.63,3.44±17.34,16.64±0.06,Uncertain,Uncertain,Moderate,Low
Plumbeous Water Redstart,Phoenicurus fuliginosus,R,Least Concern,Schedule-IV,-25.04±32.09,-9.49±5.12,26.06±0.06,Uncertain,Strong Decline,Large,Moderate
White-capped Water Redstart,Phoenicurus leucocephalus,R,Least Concern,Schedule-IV,-28.77±30.93,-3.67±6.78,29.63±0.06,Uncertain,Uncertain,Large,Low
Blue-capped Redstart,Phoenicurus coeruleocephala,R,Least Concern,Schedule-IV,,8.13±24.58,12.11±0.06,Data Deficient,Uncertain,Moderate,Low
White-winged Redstart,Phoenicurus erythrogastrus,R,Least Concern,Schedule-IV,,-16.45±12.78,7.18±0.06,Data Deficient,Strong Decline,Moderate,Moderate
Black Redstart,Phoenicurus ochruros,LM,Least Concern,Schedule-IV,-45.86±18.25,-4.18±5.37,81.29±0.08,Moderate Decline,Uncertain,Large,Moderate
Chestnut-bellied Rock Thrush,Monticola rufiventris,R,Least Concern,Schedule-IV,-5.07±51.23,-4.89±7.52,17.24±0.07,Uncertain,Uncertain,Moderate,Low
Blue-capped Rock Thrush,Monticola cinclorhyncha,LM,Least Concern,Schedule-IV,-37.3±27.1,-2.57±6.62,10.36±0.15,Uncertain,Uncertain,Moderate,Low
Blue Rock Thrush,Monticola solitarius,LM,Least Concern,Schedule-IV,-71.37±15.44,-6.09±8.45,56.68±0.11,Strong Decline,Uncertain,Large,Moderate
Stoliczka's Bushchat,Saxicola macrorhynchus,R,Vulnerable,Schedule-IV,,,5.28±0.08,Data Deficient,Data Deficient,Moderate,Moderate
Hodgson's Bushchat,Saxicola insignis,W/P,Vulnerable,Schedule-IV,,,,Data Deficient,Data Deficient,Data Deficient,High
Siberian Stonechat,Saxicola maurus,LM,Least Concern,Schedule-IV,-3.6±27.92,0.64±5.24,99.91±0.08,Uncertain,Uncertain,Large,Low
Pied Bushchat,Saxicola caprata,LM,Least Concern,Schedule-IV,11.36±20.09,-3.01±2.91,61.87±0.07,Stable,Uncertain,Large,Low
Grey Bushchat,Saxicola ferreus,R,Least Concern,Schedule-IV,9.79±53.41,-6.42±6.95,29.84±0.06,Uncertain,Uncertain,Large,Low
Brown Rock Chat,Oenanthe fusca,R,Least Concern,Schedule-IV,4.45±28.54,11.67±6.58,76.13±0.09,Uncertain,Strong Increase,Large,Low
Variable Wheatear,Oenanthe picata,W/P,Least Concern,Schedule-IV,-58.43±59.91,-7.75±19.95,19.01±0.08,Uncertain,Uncertain,Moderate,Low
Desert Wheatear,Oenanthe deserti,LM,Least Concern,Schedule-IV,-58.36±48.8,-2.26±19.33,21.17±0.07,Uncertain,Uncertain,Moderate,Low
Isabelline Wheatear,Oenanthe isabellina,W/P,Least Concern,Schedule-IV,,2.69±13.39,14.84±0.08,Data Deficient,Uncertain,Moderate,Low
Grandala,Grandala coelicolor,R,Least Concern,Schedule-IV,,,2.12±0.05,Data Deficient,Data Deficient,Restricted,Moderate
Long-tailed Thrush,Zoothera dixoni,R,Least Concern,Schedule-IV,,,5.51±0.17,Data Deficient,Data Deficient,Moderate,Moderate
Alpine Thrush,Zoothera mollissima,R,Least Concern,Schedule-IV,,,5.47±0.08,Data Deficient,Data Deficient,Moderate,Moderate
Dark-sided Thrush,Zoothera marginata,R,Least Concern,Schedule-IV,,,2.72±0.19,Data Deficient,Data Deficient,Restricted,Moderate
Long-billed Thrush,Zoothera monticola,R,Least Concern,Schedule-IV,,-4.54±42.61,6.61±0.09,Data Deficient,Uncertain,Moderate,Low
Scaly Thrush,Zoothera dauma,R,Least Concern,Schedule-IV,,23.92±40.5,16.1±0.29,Data Deficient,Uncertain,Moderate,Low
Nilgiri Thrush,Zoothera neilgherriensis,R,Least Concern,Schedule-IV,,-15.45±9.41,2.33±0.05,Data Deficient,Strong Decline,Restricted,High
Purple Cochoa,Cochoa purpurea,LM,Least Concern,Schedule-IV,,,0.61±0.15,Data Deficient,Data Deficient,Restricted,Moderate
Pied Thrush,Geokichla wardii,LM,Least Concern,Schedule-IV,,,1.01±0.13,Data Deficient,Data Deficient,Restricted,Moderate
Orange-headed Thrush,Geokichla citrina,LM,Least Concern,Schedule-IV,-51.76±14.04,-1.32±4.84,25.79±0.06,Moderate Decline,Uncertain,Large,Moderate
Mistle Thrush,Turdus viscivorus,R,Least Concern,Schedule-IV,,-9.35±11.44,8.87±0.07,Data Deficient,Uncertain,Moderate,Low
Grey-winged Blackbird,Turdus boulboul,R,Least Concern,Schedule-IV,-33.61±39.55,-0.41±10.6,16.61±0.06,Uncertain,Uncertain,Moderate,Low
Indian Blackbird,Turdus simillimus,LM,Least Concern,Schedule-IV,-26.27±35.88,5.86±10.85,10.65±0.05,Uncertain,Uncertain,Moderate,Low
Tickell's Thrush,Turdus unicolor,LM,Least Concern,Schedule-IV,-48.15±64.84,0.63±24.24,5.72±0.07,Uncertain,Uncertain,Moderate,Low
Tibetan Blackbird,Turdus maximus,LM,Least Concern,Schedule-IV,,,0.99±0.26,Data Deficient,Data Deficient,Restricted,Moderate
White-collared Blackbird,Turdus albocinctus,R,Least Concern,Schedule-IV,,1.94±43.57,8.62±0.06,Data Deficient,Uncertain,Moderate,Low
Common Hill Myna,Gracula religiosa,R,Least Concern,Schedule-I,-5.83±51.62,-2.11±9.28,16.41±0.08,Uncertain,Uncertain,Moderate,Low
Southern Hill Myna,Gracula indica,R,Least Concern,Schedule-I,-53.19±34.33,-6.29±11.25,9.84±0.03,Uncertain,Uncertain,Moderate,Low
Common Starling,Sturnus vulgaris,LM,Least Concern,Schedule-IV,-64.67±36.53,-14.34±11.04,13.04±0.13,Moderate Decline,Strong Decline,Moderate,Moderate
Rosy Starling,Pastor roseus,W/P,Least Concern,Schedule-IV,171.26±80.97,9.91±6.01,121.63±0.11,Strong Increase,Strong Increase,Very Large,Low
Asian Pied Starling,Gracupica contra,R,Least Concern,Schedule-IV,38.95±29.9,1.62±3.91,130.2±0.06,Uncertain,Uncertain,Very Large,Low
Brahminy Starling,Sturnia pagodarum,R,Least Concern,Schedule-IV,-1.04±18.1,1.56±3.41,174.83±0.08,Stable,Uncertain,Very Large,Low
Chestnut-tailed Starling,Sturnia malabarica,LM,Least Concern,Schedule-IV,12.56±28.94,-0.39±4.44,102.62±0.1,Uncertain,Uncertain,Very Large,Low
Malabar Starling,Sturnia blythii,R,Least Concern,Schedule-IV,,1.66±10.52,12.52±0.04,Data Deficient,Uncertain,Moderate,Low
White-headed Starling,Sturnia erythropygia,R,Least Concern,Schedule-IV,,-2.87±7.94,0.5±0,Data Deficient,Uncertain,Restricted,Moderate
Common Myna,Acridotheres tristis,R,Least Concern,Schedule-IV,11.37±8.86,0.34±1.3,222.66±0.06,Stable,Stable,Very Large,Low
Bank Myna,Acridotheres ginginianus,R,Least Concern,Schedule-IV,-25.87±21.88,-7.81±3.78,88.38±0.08,Stable,Strong Decline,Large,Moderate
Jungle Myna,Acridotheres fuscus,R,Least Concern,Schedule-IV,38.83±33.42,-5.92±3.27,93.75±0.07,Uncertain,Moderate Decline,Large,Moderate
Great Myna,Acridotheres grandis,R,Least Concern,Schedule-IV,,-4.43±29.15,9.9±0.06,Data Deficient,Uncertain,Moderate,Low
Spot-winged Starling,Saroglossa spilopterus,LM,Least Concern,Schedule-IV,,,1.06±0.05,Data Deficient,Data Deficient,Restricted,Moderate
Jerdon's Leafbird,Chloropsis jerdoni,R,Least Concern,Schedule-IV,-46.78±14.96,-1.75±4.67,63.98±0.08,Moderate Decline,Uncertain,Large,Moderate
Golden-fronted Leafbird,Chloropsis aurifrons,R,Least Concern,Schedule-IV,-37.61±17.5,-4.9±4.17,54.9±0.06,Stable,Uncertain,Large,Low
Orange-bellied Leafbird,Chloropsis hardwickii,R,Least Concern,Schedule-IV,-6.17±83.92,5.06±18.84,14.9±0.08,Uncertain,Uncertain,Moderate,Low
Thick-billed Flowerpecker,Dicaeum agile,R,Least Concern,Schedule-IV,-53.72±11.73,-1.15±4.31,91.6±0.1,Moderate Decline,Uncertain,Large,Moderate
Pale-billed Flowerpecker,Dicaeum erythrorhynchos,R,Least Concern,Schedule-IV,12.08±24.03,8.23±4.56,95.14±0.07,Stable,Strong Increase,Large,Low
Nilgiri Flowerpecker,Dicaeum concolor,R,Least Concern,Schedule-IV,-67.82±19.83,4.69±12.81,15.62±0.04,Moderate Decline,Uncertain,Moderate,Moderate
Plain Flowerpecker,Dicaeum minullum,R,Least Concern,Schedule-IV,,9.24±43.34,13.15±0.11,Data Deficient,Uncertain,Moderate,Low
Andaman Flowerpecker,Dicaeum virescens,R,Least Concern,Schedule-IV,,8.92±13.98,0.49±0.01,Data Deficient,Uncertain,Restricted,Moderate
Fire-breasted Flowerpecker,Dicaeum ignipectus,R,Least Concern,Schedule-IV,-26.12±45.01,8.67±13.11,14.08±0.06,Uncertain,Uncertain,Moderate,Low
Scarlet-backed Flowerpecker,Dicaeum cruentatum,R,Least Concern,Schedule-IV,-9.22±88.03,-14.6±10.16,11.46±0.08,Uncertain,Strong Decline,Moderate,Moderate
Ruby-cheeked Sunbird,Chalcoparia singalensis,R,Least Concern,Schedule-IV,,10.97±78.2,9.01±0.1,Data Deficient,Uncertain,Moderate,Low
Purple-rumped Sunbird,Leptocoma zeylonica,R,Least Concern,Schedule-IV,20.34±20.45,1.5±2.95,120.4±0.07,Stable,Uncertain,Very Large,Low
Crimson-backed Sunbird,Leptocoma minima,R,Least Concern,Schedule-IV,-80.29±10.93,-1.17±9.66,17.12±0.04,Strong Decline,Uncertain,Moderate,Moderate
Purple Sunbird,Cinnyris asiaticus,R,Least Concern,Schedule-IV,30.33±15.09,0.35±1.92,200.38±0.08,Stable,Stable,Very Large,Low
Loten's Sunbird,Cinnyris lotenius,R,Least Concern,Schedule-IV,-33.81±23.81,0.81±6.45,30.96±0.05,Stable,Uncertain,Large,Low
Fire-tailed Sunbird,Aethopyga ignicauda,R,Least Concern,Schedule-IV,,6.13±39.65,9.14±0.07,Data Deficient,Uncertain,Moderate,Low
Black-throated Sunbird,Aethopyga saturata,R,Least Concern,Schedule-IV,,7.33±19.84,11.56±0.07,Data Deficient,Uncertain,Moderate,Low
Mrs Gould's Sunbird,Aethopyga gouldiae,R,Least Concern,Schedule-IV,,-2.06±24.62,10.2±0.07,Data Deficient,Uncertain,Moderate,Low
Green-tailed Sunbird,Aethopyga nipalensis,R,Least Concern,Schedule-IV,4.53±67.52,-3.55±9.47,11.9±0.06,Uncertain,Uncertain,Moderate,Low
Vigors's Sunbird,Aethopyga vigorsii,R,Least Concern,Schedule-IV,,3.54±16.44,6.73±0.05,Data Deficient,Uncertain,Moderate,Low
Crimson Sunbird,Aethopyga siparaja,R,Least Concern,Schedule-IV,33.79±54.98,-4.77±5.75,26.28±0.07,Uncertain,Uncertain,Large,Low
Little Spiderhunter,Arachnothera longirostra,R,Least Concern,Schedule-IV,-74.15±11.39,-5.31±6.43,22.17±0.05,Strong Decline,Uncertain,Moderate,Moderate
Streaked Spiderhunter,Arachnothera magna,R,Least Concern,Schedule-IV,-28.94±66.32,0.05±17.84,10.43±0.06,Uncertain,Uncertain,Moderate,Low
Alpine Accentor,Prunella collaris,R,Least Concern,Schedule-IV,,-0.69±21.5,10.55±0.08,Data Deficient,Uncertain,Moderate,Low
Altai Accentor,Prunella himalayana,W/P,Least Concern,Schedule-IV,,,2.49±0.08,Data Deficient,Data Deficient,Restricted,Moderate
Robin Accentor,Prunella rubeculoides,R,Least Concern,Schedule-IV,,-8.07±22.61,9.03±0.1,Data Deficient,Uncertain,Moderate,Low
Rufous-breasted Accentor,Prunella strophiata,R,Least Concern,Schedule-IV,-50.01±42.07,-7.67±11.84,14.42±0.07,Uncertain,Uncertain,Moderate,Low
Black-throated Accentor,Prunella atrogularis,W/P,Least Concern,Schedule-IV,,,5.82±0.08,Data Deficient,Data Deficient,Moderate,Moderate
Maroon-backed Accentor,Prunella immaculata,R,Least Concern,Schedule-IV,,,1.73±0.07,Data Deficient,Data Deficient,Restricted,Moderate
Forest Wagtail,Dendronanthus indicus,W/P,Least Concern,Schedule-IV,-72.56±12.69,-9.76±5.62,23.81±0.06,Strong Decline,Strong Decline,Moderate,High
Grey Wagtail,Motacilla cinerea,LM,Least Concern,Schedule-IV,-36.3±13.38,-3.53±3.18,115.22±0.1,Stable,Uncertain,Very Large,Low
Western Yellow Wagtail,Motacilla flava,W/P,Least Concern,Schedule-IV,-28.29±16.12,-0.45±3.74,126.76±0.1,Stable,Uncertain,Very Large,Low
Citrine Wagtail,Motacilla citreola,LM,Least Concern,Schedule-IV,-12.87±39.07,2.16±8.31,73.98±0.09,Uncertain,Uncertain,Large,Low
White-browed Wagtail,Motacilla maderaspatensis,R,Least Concern,Schedule-IV,-39.12±9.79,-5.13±2.33,162.07±0.1,Moderate Decline,Strong Decline,Very Large,Moderate
White Wagtail,Motacilla alba,W/P,Least Concern,Schedule-IV,-47.06±13.83,-1.34±4.57,161.74±0.1,Moderate Decline,Uncertain,Very Large,Moderate
Richard's Pipit,Anthus richardi,W/P,Least Concern,Schedule-IV,-93.48±7.16,-11.96±11.98,15.2±0.1,Strong Decline,Uncertain,Moderate,Moderate
Paddyfield Pipit,Anthus rufulus,R,Least Concern,Schedule-IV,-6.4±14.26,3.69±2.84,173.88±0.11,Stable,Uncertain,Very Large,Low
Long-billed Pipit,Anthus similis,W/P,Least Concern,Schedule-IV,,-4.31±10.39,20±0.09,Data Deficient,Uncertain,Moderate,Low
Blyth's Pipit,Anthus godlewskii,W/P,Least Concern,Schedule-IV,,10.07±18.48,16.26±0.17,Data Deficient,Uncertain,Moderate,Low
Tawny Pipit,Anthus campestris,W/P,Least Concern,Schedule-IV,-69.75±25.57,-2.24±14.1,50.25±0.09,Moderate Decline,Uncertain,Large,Moderate
Nilgiri Pipit,Anthus nilghiriensis,R,Vulnerable,Schedule-IV,2.2±208.82,-23.04±6.48,0.95±0.04,Uncertain,Strong Decline,Restricted,High
Upland Pipit,Anthus sylvanus,R,Least Concern,Schedule-IV,,,8.63±0.13,Data Deficient,Data Deficient,Moderate,Moderate
Rosy Pipit,Anthus roseatus,LM,Least Concern,Schedule-IV,-36.93±122.54,6.56±43.57,9.06±0.11,Uncertain,Uncertain,Moderate,Low
Tree Pipit,Anthus trivialis,LM,Least Concern,Schedule-IV,-50.49±73.05,5.82±32.01,56.74±0.11,Uncertain,Uncertain,Large,Low
Olive-backed Pipit,Anthus hodgsoni,LM,Least Concern,Schedule-IV,-69.8±29.27,-5.44±14.8,40.74±0.09,Moderate Decline,Uncertain,Large,Moderate
Black-and-yellow Grosbeak,Mycerobas icterioides,R,Least Concern,Schedule-IV,,,7.83±0.07,Data Deficient,Data Deficient,Moderate,Moderate
Collared Grosbeak,Mycerobas affinis,R,Least Concern,Schedule-IV,,,4.13±0.1,Data Deficient,Data Deficient,Restricted,Moderate
Spot-winged Grosbeak,Mycerobas melanozanthos,R,Least Concern,Schedule-IV,,,6.42±0.08,Data Deficient,Data Deficient,Moderate,Moderate
Common Rosefinch,Carpodacus erythrinus,LM,Least Concern,Schedule-IV,-23.23±33.75,1.04±7.87,40.86±0.08,Uncertain,Uncertain,Large,Low
Scarlet Finch,Carpodacus sipahi,R,Least Concern,Schedule-IV,,-2.36±48.79,4.87±0.07,Data Deficient,Uncertain,Moderate,Low
Blyth's Rosefinch,Carpodacus grandis,R,Least Concern,Schedule-IV,,,2.98±0.13,Data Deficient,Data Deficient,Restricted,Moderate
Pink-browed Rosefinch,Carpodacus rodochroa,R,Least Concern,Schedule-IV,,-3.98±17.5,10.94±0.06,Data Deficient,Uncertain,Moderate,Low
Spot-winged Rosefinch,Carpodacus rodopeplus,R,Least Concern,Schedule-IV,,,2.28±0.08,Data Deficient,Data Deficient,Restricted,Moderate
Crimson-browed Finch,Carpodacus subhimachalus,R,Least Concern,Schedule-IV,,,2.37±0.08,Data Deficient,Data Deficient,Restricted,Moderate
Himalayan White-browed Rosefinch,Carpodacus thura,R,Least Concern,Schedule-IV,,,6.05±0.1,Data Deficient,Data Deficient,Moderate,Moderate
Brown Bullfinch,Pyrrhula nipalensis,R,Least Concern,Schedule-IV,,,4.91±0.12,Data Deficient,Data Deficient,Moderate,Moderate
Orange Bullfinch,Pyrrhula aurantiaca,R,Least Concern,Schedule-IV,,,2.24±0.1,Data Deficient,Data Deficient,Restricted,Moderate
Red-headed Bullfinch,Pyrrhula erythrocephala,R,Least Concern,Schedule-IV,,,6.89±0.08,Data Deficient,Data Deficient,Moderate,Moderate
Gold-naped Finch,Pyrrhoplectes epauletta,R,Least Concern,Schedule-IV,,20.53±33,2.66±0.09,Data Deficient,Uncertain,Restricted,Moderate
Spectacled Finch,Callacanthis burtoni,R,Least Concern,Schedule-IV,,,6.5±0.1,Data Deficient,Data Deficient,Moderate,Moderate
Dark-breasted Rosefinch,Procarduelis nipalensis,R,Least Concern,Schedule-IV,,0.02±18.94,8.13±0.07,Data Deficient,Uncertain,Moderate,Low
Plain Mountain Finch,Leucosticte nemoricola,R,Least Concern,Schedule-IV,-48.18±43.56,7.84±19.71,15.54±0.07,Uncertain,Uncertain,Moderate,Low
Yellow-breasted Greenfinch,Chloris spinoides,R,Least Concern,Schedule-IV,-52.75±26.19,-6.25±7.86,17.47±0.08,Moderate Decline,Uncertain,Moderate,Moderate
European Goldfinch,Carduelis carduelis,R,Least Concern,Schedule-IV,,0.02±19.67,11.54±0.07,Data Deficient,Uncertain,Moderate,Low
Fire-fronted Serin,Serinus pusillus,R,Least Concern,Schedule-IV,,12.95±23.32,13.31±0.07,Data Deficient,Uncertain,Moderate,Low
Crested Bunting,Emberiza lathami,LM,Least Concern,Schedule-IV,-62.54±18.25,-12.41±5.35,10.49±0.07,Moderate Decline,Strong Decline,Moderate,Moderate
Black-headed Bunting,Emberiza melanocephala,W/P,Least Concern,Schedule-IV,,20.72±20.43,15.76±0.08,Data Deficient,Uncertain,Moderate,Low
Red-headed Bunting,Emberiza bruniceps,W/P,Least Concern,Schedule-IV,,5.11±19.76,16.77±0.09,Data Deficient,Uncertain,Moderate,Low
Rock Bunting,Emberiza cia,R,Least Concern,Schedule-IV,-28.02±57.15,0.3±15.39,18.88±0.05,Uncertain,Uncertain,Moderate,Low
White-capped Bunting,Emberiza stewarti,LM,Least Concern,Schedule-IV,,18.63±39.69,0.75±0.08,Data Deficient,Uncertain,Restricted,Moderate
Grey-necked Bunting,Emberiza buchanani,W/P,Least Concern,Schedule-IV,,-1.54±33.68,13.55±0.07,Data Deficient,Uncertain,Moderate,Low
Yellow-breasted Bunting,Emberiza aureola,W/P,Critically Endangered,Schedule-IV,,,,Data Deficient,Data Deficient,Data Deficient,High
House Sparrow,Passer domesticus,LM,Least Concern,Schedule-IV,2.81±11.94,-2.03±1.79,113.24±0.09,Stable,Stable,Very Large,Low
Sind Sparrow,Passer pyrrhonotus,R,Least Concern,Schedule-IV,,,6.85±0.06,Data Deficient,Data Deficient,Moderate,Moderate
Russet Sparrow,Passer cinnamomeus,R,Least Concern,Schedule-IV,27.45±70.21,-1.38±9.16,21.05±0.05,Uncertain,Uncertain,Moderate,Low
Eurasian Tree Sparrow,Passer montanus,R,Least Concern,Schedule-IV,-45.49±33.76,0.15±11.12,18.25±0.06,Uncertain,Uncertain,Moderate,Low
Yellow-throated Sparrow,Gymnoris xanthocollis,R,Least Concern,Schedule-IV,-37.02±14.78,-2.73±3.64,124.14±0.09,Stable,Uncertain,Very Large,Low
Streaked Weaver,Ploceus manyar,R,Least Concern,Schedule-IV,-38.74±27.81,-10.5±5.21,38.7±0.1,Uncertain,Strong Decline,Large,Moderate
Baya Weaver,Ploceus philippinus,R,Least Concern,Schedule-IV,-2.09±18.97,-4.76±2.77,157.97±0.11,Stable,Moderate Decline,Very Large,Low
Finn's Weaver,Ploceus megarhynchus,R,Vulnerable,Schedule-IV,,,1.89±0.08,Data Deficient,Data Deficient,Restricted,High
Black-breasted Weaver,Ploceus benghalensis,R,Least Concern,Schedule-IV,,-0.13±8.22,32.24±0.09,Data Deficient,Uncertain,Large,Low
Green Munia,Amandava formosa,R,Vulnerable,Schedule-IV,,,0.31,Data Deficient,Data Deficient,Very Restricted,High
Red Munia,Amandava amandava,R,Least Concern,Schedule-IV,41.37±39.93,-3.78±4.11,93.92±0.1,Uncertain,Uncertain,Large,Low
Indian Silverbill,Euodice malabarica,R,Least Concern,Schedule-IV,7.65±21.87,2.07±3.79,153.8±0.08,Stable,Uncertain,Very Large,Low
White-rumped Munia,Lonchura striata,R,Least Concern,Schedule-IV,-17.77±22.83,-7.62±3.46,72.29±0.08,Stable,Strong Decline,Large,Moderate
Black-throated Munia,Lonchura kelaarti,R,Least Concern,Schedule-IV,,-3.93±10.32,11.14±0.04,Data Deficient,Uncertain,Moderate,Low
Scaly-breasted Munia,Lonchura punctulata,R,Least Concern,Schedule-IV,49.64±27.63,-3.52±2.57,166.23±0.11,Uncertain,Uncertain,Very Large,Low
Tricoloured Munia,Lonchura malacca,R,Least Concern,Schedule-IV,5.85±30.35,-7.29±3.73,95.71±0.12,Uncertain,Strong Decline,Large,Moderate
Chestnut Munia,Lonchura atricapilla,R,Least Concern,Schedule-IV,,,,,,,
