Common.Name,Scientific.Name,Migratory.Status,IUCN,WLPA.Schedule,Long.Term.Trend,Current.Annual.Change,Range.Size,Long.Term.Status,Current.Status,Range.Status,Concern.Status
Brown-fronted Pied Woodpecker,Dendrocopos auriceps,R,Least Concern,Schedule-IV,-24.14±43.77,-3.96±8.84,10.85±0.06,Uncertain,Uncertain,Moderate,Low
Rufous-bellied Woodpecker,Dendrocopos hyperythrus,R,Least Concern,Schedule-IV,,2.07±25.02,6.08±0.06,Data Deficient,Uncertain,Moderate,Low
Fulvous-breasted Pied Woodpecker,Dendrocopos macei,R,Least Concern,Schedule-IV,26.26±49.58,-3.48±5.53,31.18±0.09,Uncertain,Uncertain,Large,Low
Darjeeling Pied Woodpecker,Dendrocopos darjellensis,R,Least Concern,Schedule-IV,,,3.55±0.08,Data Deficient,Data Deficient,Restricted,Moderate
Himalayan Pied Woodpecker,Dendrocopos himalayensis,R,Least Concern,Schedule-IV,-33.81±49.57,-9.04±9.33,10.99±0.06,Uncertain,Uncertain,Moderate,Low
Bay Woodpecker,Blythipicus pyrrhotis,R,Least Concern,Schedule-IV,,-1.3±40.18,8.07±0.1,Data Deficient,Uncertain,Moderate,Low
Greater Golden-backed Woodpecker,Chrysocolaptes guttacristatus,R,Least Concern,Schedule-IV,-40.25±17.67,1.83±5.42,42.31±0.06,Stable,Uncertain,Large,Low
White-naped Woodpecker,Chrysocolaptes festivus,R,Least Concern,Schedule-IV,-39.81±23.46,-3.44±6.01,42.21±0.11,Stable,Uncertain,Large,Low
Rufous Woodpecker,Micropternus brachyurus,R,Least Concern,Schedule-IV,-42.11±18.19,-2.3±4.99,42.68±0.08,Stable,Uncertain,Large,Low
Pale-headed Woodpecker,Gecinulus grantia,R,Least Concern,Schedule-IV,,,5.16±0.16,Data Deficient,Data Deficient,Moderate,Moderate
Himalayan Golden-backed Woodpecker,Dinopium shorii,R,Least Concern,Schedule-IV,-66.82±27.07,1.13±14.65,8.03±0.09,Moderate Decline,Uncertain,Moderate,Moderate
Common Golden-backed Woodpecker,Dinopium javanense,R,Least Concern,Schedule-IV,,,7.17±0.06,Data Deficient,Data Deficient,Moderate,Moderate
Lesser Golden-backed Woodpecker,Dinopium benghalense,R,Least Concern,Schedule-IV,-12.89±14.56,4.62±3.25,129.02±0.08,Stable,Moderate Increase,Very Large,Low
Lesser Yellow-naped Woodpecker,Picus chlorolophus,R,Least Concern,Schedule-IV,-17.55±27.56,2.35±5.88,37.21±0.07,Uncertain,Uncertain,Large,Low
