eBird CODE,SCIENTIFIC.NAME,COMMON.NAME,order,family,genus,species
andcou1,Centropus andamanensis,Andaman Coucal,Cuculiformes,Cuculidae,Centropus,andamanensis
lescou1,Centropus bengalensis,Lesser Coucal,Cuculiformes,Cuculidae,Centropus,bengalensis
sirmal1,Taccocua leschenaultii,Sirkeer Malkoha,Cuculiformes,Cuculidae,Taccocua,leschenaultii
blfmal1,Phaenicophaeus viridirostris,Blue-faced Malkoha,Cuculiformes,Cuculidae,Phaenicophaeus,viridirostris
grbmal1,Phaenicophaeus tristis,Green-billed Malkoha,Cuculiformes,Cuculidae,Phaenicophaeus,tristis
piecuc1,Clamator jacobinus,Pied Cuckoo,Cuculiformes,Cuculidae,Clamator,jacobinus
chwcuc1,Clamator coromandus,Chestnut-winged Cuckoo,Cuculiformes,Cuculidae,Clamator,coromandus
asikoe2,Eudynamys scolopaceus,Asian Koel,Cuculiformes,Cuculidae,Eudynamys,scolopaceus
asecuc1,Chrysococcyx maculatus,Asian Emerald Cuckoo,Cuculiformes,Cuculidae,Chrysococcyx,maculatus
viocuc1,Chrysococcyx xanthorhynchus,Violet Cuckoo,Cuculiformes,Cuculidae,Chrysococcyx,xanthorhynchus
babcuc2,Cacomantis sonneratii,Banded Bay Cuckoo,Cuculiformes,Cuculidae,Cacomantis,sonneratii
placuc1,Cacomantis merulinus,Plaintive Cuckoo,Cuculiformes,Cuculidae,Cacomantis,merulinus
placuc3,Cacomantis passerinus,Gray-bellied Cuckoo,Cuculiformes,Cuculidae,Cacomantis,passerinus
asidrc2,Surniculus dicruroides,Fork-tailed Drongo-Cuckoo,Cuculiformes,Cuculidae,Surniculus,dicruroides
asidrc3,Surniculus lugubris,Square-tailed Drongo-Cuckoo,Cuculiformes,Cuculidae,Surniculus,lugubris
larhac2,Hierococcyx sparverioides,Large Hawk-Cuckoo,Cuculiformes,Cuculidae,Hierococcyx,sparverioides
cohcuc1,Hierococcyx varius,Common Hawk-Cuckoo,Cuculiformes,Cuculidae,Hierococcyx,varius
hodhac1,Hierococcyx nisicolor,Hodgson's Hawk-Cuckoo,Cuculiformes,Cuculidae,Hierococcyx,nisicolor
indcuc1,Cuculus micropterus,Indian Cuckoo,Cuculiformes,Cuculidae,Cuculus,micropterus
comcuc,Cuculus canorus,Common Cuckoo,Cuculiformes,Cuculidae,Cuculus,canorus
himcuc1,Cuculus saturatus,Himalayan Cuckoo,Cuculiformes,Cuculidae,Cuculus,saturatus
lescuc1,Cuculus poliocephalus,Lesser Cuckoo,Cuculiformes,Cuculidae,Cuculus,poliocephalus
andcra1,Rallina canningi,Andaman Crake,Gruiformes,Rallidae,Rallina,canningi
sllcra1,Rallina eurizonoides,Slaty-legged Crake,Gruiformes,Rallidae,Rallina,eurizonoides
watrai1,Rallus aquaticus,Water Rail,Gruiformes,Rallidae,Rallus,aquaticus
bncrai1,Rallus indicus,Brown-cheeked Rail,Gruiformes,Rallidae,Rallus,indicus
slbrai1,Lewinia striata,Slaty-breasted Rail,Gruiformes,Rallidae,Lewinia,striata
corcra,Crex crex,Corn Crake,Gruiformes,Rallidae,Crex,crex
spocra1,Porzana porzana,Spotted Crake,Gruiformes,Rallidae,Porzana,porzana
rubcra1,Zapornia fusca,Ruddy-breasted Crake,Gruiformes,Rallidae,Zapornia,fusca
brocra1,Zapornia akool,Brown Crake,Gruiformes,Rallidae,Zapornia,akool
litcra1,Zapornia parva,Little Crake,Gruiformes,Rallidae,Zapornia,parva
baicra1,Zapornia pusilla,Baillon's Crake,Gruiformes,Rallidae,Zapornia,pusilla
bltcra1,Zapornia bicolor,Black-tailed Crake,Gruiformes,Rallidae,Zapornia,bicolor
whbwat1,Amaurornis phoenicurus,White-breasted Waterhen,Gruiformes,Rallidae,Amaurornis,phoenicurus
whbcra1,Amaurornis cinerea,White-browed Crake,Gruiformes,Rallidae,Amaurornis,cinerea
waterc1,Gallicrex cinerea,Watercock,Gruiformes,Rallidae,Gallicrex,cinerea
purswa3,Porphyrio poliocephalus,Gray-headed Swamphen,Gruiformes,Rallidae,Porphyrio,poliocephalus
commoo3,Gallinula chloropus,Eurasian Moorhen,Gruiformes,Rallidae,Gallinula,chloropus
eurcoo,Fulica atra,Eurasian Coot,Gruiformes,Rallidae,Fulica,atra
masfin3,Heliopais personatus,Masked Finfoot,Gruiformes,Heliornithidae,Heliopais,personatus
sibcra1,Leucogeranus leucogeranus,Siberian Crane,Gruiformes,Gruidae,Leucogeranus,leucogeranus
sarcra1,Antigone antigone,Sarus Crane,Gruiformes,Gruidae,Antigone,antigone
demcra1,Anthropoides virgo,Demoiselle Crane,Gruiformes,Gruidae,Anthropoides,virgo
comcra,Grus grus,Common Crane,Gruiformes,Gruidae,Grus,grus
blncra1,Grus nigricollis,Black-necked Crane,Gruiformes,Gruidae,Grus,nigricollis
indbus1,Ardeotis nigriceps,Indian Bustard,Otidiformes,Otididae,Ardeotis,nigriceps
litbus1,Tetrax tetrax,Little Bustard,Otidiformes,Otididae,Tetrax,tetrax
benflo2,Houbaropsis bengalensis,Bengal Florican,Otidiformes,Otididae,Houbaropsis,bengalensis
lesflo2,Sypheotides indicus,Lesser Florican,Otidiformes,Otididae,Sypheotides,indicus
macbus1,Chlamydotis macqueenii,Macqueen's Bustard,Otidiformes,Otididae,Chlamydotis,macqueenii
retloo,Gavia stellata,Red-throated Loon,Gaviiformes,Gaviidae,Gavia,stellata
arcloo,Gavia arctica,Arctic Loon,Gaviiformes,Gaviidae,Gavia,arctica
wispet,Oceanites oceanicus,Wilson's Storm-Petrel,Procellariiformes,Oceanitidae,Oceanites,oceanicus
wfspet,Pelagodroma marina,White-faced Storm-Petrel,Procellariiformes,Oceanitidae,Pelagodroma,marina
bbspet1,Fregetta tropica,Black-bellied Storm-Petrel,Procellariiformes,Oceanitidae,Fregetta,tropica
swspet,Oceanodroma monorhis,Swinhoe's Storm-Petrel,Procellariiformes,Hydrobatidae,Oceanodroma,monorhis
cappet,Daption capense,Cape Petrel,Procellariiformes,Procellariidae,Daption,capense
barpet1,Pterodroma baraui,Barau's Petrel,Procellariiformes,Procellariidae,Pterodroma,baraui
wetshe,Ardenna pacifica,Wedge-tailed Shearwater,Procellariiformes,Procellariidae,Ardenna,pacifica
shtshe,Ardenna tenuirostris,Short-tailed Shearwater,Procellariiformes,Procellariidae,Ardenna,tenuirostris
flfshe,Ardenna carneipes,Flesh-footed Shearwater,Procellariiformes,Procellariidae,Ardenna,carneipes
strshe,Calonectris leucomelas,Streaked Shearwater,Procellariiformes,Procellariidae,Calonectris,leucomelas
corshe,Calonectris diomedea,Cory's Shearwater,Procellariiformes,Procellariidae,Calonectris,diomedea
troshe1,Puffinus bailloni,Tropical Shearwater,Procellariiformes,Procellariidae,Puffinus,bailloni
pershe1,Puffinus persicus,Persian Shearwater,Procellariiformes,Procellariidae,Puffinus,persicus
joupet,Bulweria fallax,Jouanin's Petrel,Procellariiformes,Procellariidae,Bulweria,fallax
greadj1,Leptoptilos dubius,Greater Adjutant,Ciconiiformes,Ciconiidae,Leptoptilos,dubius
lesadj1,Leptoptilos javanicus,Lesser Adjutant,Ciconiiformes,Ciconiidae,Leptoptilos,javanicus
paisto1,Mycteria leucocephala,Painted Stork,Ciconiiformes,Ciconiidae,Mycteria,leucocephala
asiope1,Anastomus oscitans,Asian Openbill,Ciconiiformes,Ciconiidae,Anastomus,oscitans
blasto1,Ciconia nigra,Black Stork,Ciconiiformes,Ciconiidae,Ciconia,nigra
wonsto1,Ciconia episcopus,Woolly-necked Stork,Ciconiiformes,Ciconiidae,Ciconia,episcopus
whisto1,Ciconia ciconia,White Stork,Ciconiiformes,Ciconiidae,Ciconia,ciconia
blnsto1,Ephippiorhynchus asiaticus,Black-necked Stork,Ciconiiformes,Ciconiidae,Ephippiorhynchus,asiaticus
grwpel1,Pelecanus onocrotalus,Great White Pelican,Pelecaniformes,Pelecanidae,Pelecanus,onocrotalus
spbpel1,Pelecanus philippensis,Spot-billed Pelican,Pelecaniformes,Pelecanidae,Pelecanus,philippensis
dalpel1,Pelecanus crispus,Dalmatian Pelican,Pelecaniformes,Pelecanidae,Pelecanus,crispus
grebit1,Botaurus stellaris,Great Bittern,Pelecaniformes,Ardeidae,Botaurus,stellaris
litbit1,Ixobrychus minutus,Little Bittern,Pelecaniformes,Ardeidae,Ixobrychus,minutus
yelbit,Ixobrychus sinensis,Yellow Bittern,Pelecaniformes,Ardeidae,Ixobrychus,sinensis
cinbit1,Ixobrychus cinnamomeus,Cinnamon Bittern,Pelecaniformes,Ardeidae,Ixobrychus,cinnamomeus
blabit1,Ixobrychus flavicollis,Black Bittern,Pelecaniformes,Ardeidae,Ixobrychus,flavicollis
manher1,Gorsachius melanolophus,Malayan Night-Heron,Pelecaniformes,Ardeidae,Gorsachius,melanolophus
bcnher,Nycticorax nycticorax,Black-crowned Night-Heron,Pelecaniformes,Ardeidae,Nycticorax,nycticorax
strher,Butorides striata,Striated Heron,Pelecaniformes,Ardeidae,Butorides,striata
inpher1,Ardeola grayii,Indian Pond-Heron,Pelecaniformes,Ardeidae,Ardeola,grayii
chpher1,Ardeola bacchus,Chinese Pond-Heron,Pelecaniformes,Ardeidae,Ardeola,bacchus
categr,Bubulcus ibis,Cattle Egret,Pelecaniformes,Ardeidae,Bubulcus,ibis
graher1,Ardea cinerea,Gray Heron,Pelecaniformes,Ardeidae,Ardea,cinerea
whbher2,Ardea insignis,White-bellied Heron,Pelecaniformes,Ardeidae,Ardea,insignis
golher1,Ardea goliath,Goliath Heron,Pelecaniformes,Ardeidae,Ardea,goliath
purher1,Ardea purpurea,Purple Heron,Pelecaniformes,Ardeidae,Ardea,purpurea
greegr,Ardea alba,Great Egret,Pelecaniformes,Ardeidae,Ardea,alba
integr,Ardea intermedia,Intermediate Egret,Pelecaniformes,Ardeidae,Ardea,intermedia
litegr,Egretta garzetta,Little Egret,Pelecaniformes,Ardeidae,Egretta,garzetta
werher,Egretta gularis,Western Reef-Heron,Pelecaniformes,Ardeidae,Egretta,gularis
pacreh1,Egretta sacra,Pacific Reef-Heron,Pelecaniformes,Ardeidae,Egretta,sacra
chiegr,Egretta eulophotes,Chinese Egret,Pelecaniformes,Ardeidae,Egretta,eulophotes
blhibi1,Threskiornis melanocephalus,Black-headed Ibis,Pelecaniformes,Threskiornithidae,Threskiornis,melanocephalus
eurspo1,Platalea leucorodia,Eurasian Spoonbill,Pelecaniformes,Threskiornithidae,Platalea,leucorodia
renibi1,Pseudibis papillosa,Red-naped Ibis,Pelecaniformes,Threskiornithidae,Pseudibis,papillosa
gloibi,Plegadis falcinellus,Glossy Ibis,Pelecaniformes,Threskiornithidae,Plegadis,falcinellus
