eBird CODE,SCIENTIFIC.NAME,COMMON.NAME,order,family,genus,species
plmfin1,Leucosticte nemoricola,Plain Mountain-Finch,Passeriformes,Fringillidae,Leucosticte,nemoricola
bhmfin1,Leucosticte brandti,Black-headed Mountain-Finch,Passeriformes,Fringillidae,Leucosticte,brandti
yebgre4,Chloris spinoides,Yellow-breasted Greenfinch,Passeriformes,Fringillidae,Chloris,spinoides
bkhgre1,Chloris ambigua,Black-headed Greenfinch,Passeriformes,Fringillidae,Chloris,ambigua
twite1,Linaria flavirostris,Twite,Passeriformes,Fringillidae,Linaria,flavirostris
eurlin1,Linaria cannabina,Eurasian Linnet,Passeriformes,Fringillidae,Linaria,cannabina
redcro,Loxia curvirostra,Red Crossbill,Passeriformes,Fringillidae,Loxia,curvirostra
eurgol,Carduelis carduelis,European Goldfinch,Passeriformes,Fringillidae,Carduelis,carduelis
fifser1,Serinus pusillus,Fire-fronted Serin,Passeriformes,Fringillidae,Serinus,pusillus
tibser1,Spinus thibetanus,Tibetan Serin,Passeriformes,Fringillidae,Spinus,thibetanus
eursis,Spinus spinus,Eurasian Siskin,Passeriformes,Fringillidae,Spinus,spinus
crebun1,Emberiza lathami,Crested Bunting,Passeriformes,Emberizidae,Emberiza,lathami
blhbun1,Emberiza melanocephala,Black-headed Bunting,Passeriformes,Emberizidae,Emberiza,melanocephala
rehbun1,Emberiza bruniceps,Red-headed Bunting,Passeriformes,Emberizidae,Emberiza,bruniceps
chebun2,Emberiza fucata,Chestnut-eared Bunting,Passeriformes,Emberizidae,Emberiza,fucata
rocbun1,Emberiza cia,Rock Bunting,Passeriformes,Emberizidae,Emberiza,cia
godbun1,Emberiza godlewskii,Godlewski's Bunting,Passeriformes,Emberizidae,Emberiza,godlewskii
gyhbun1,Emberiza buchanani,Gray-necked Bunting,Passeriformes,Emberizidae,Emberiza,buchanani
ortbun1,Emberiza hortulana,Ortolan Bunting,Passeriformes,Emberizidae,Emberiza,hortulana
chbbun1,Emberiza stewarti,Chestnut-breasted Bunting,Passeriformes,Emberizidae,Emberiza,stewarti
yellow2,Emberiza citrinella,Yellowhammer,Passeriformes,Emberizidae,Emberiza,citrinella
pinbun,Emberiza leucocephalos,Pine Bunting,Passeriformes,Emberizidae,Emberiza,leucocephalos
houbun2,Emberiza striolata,Striolated Bunting,Passeriformes,Emberizidae,Emberiza,striolata
reebun,Emberiza schoeniclus,Reed Bunting,Passeriformes,Emberizidae,Emberiza,schoeniclus
yebbun,Emberiza aureola,Yellow-breasted Bunting,Passeriformes,Emberizidae,Emberiza,aureola
blfbun1,Emberiza spodocephala,Black-faced Bunting,Passeriformes,Emberizidae,Emberiza,spodocephala
chebun1,Emberiza rutila,Chestnut Bunting,Passeriformes,Emberizidae,Emberiza,rutila
tribun1,Emberiza tristrami,Tristram's Bunting,Passeriformes,Emberizidae,Emberiza,tristrami
litbun,Emberiza pusilla,Little Bunting,Passeriformes,Emberizidae,Emberiza,pusilla
yebfan1,Chelidorhynx hypoxanthus,Yellow-bellied Fairy-Fantail,Passeriformes,Stenostiridae,Chelidorhynx,hypoxanthus
gyhcaf1,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Passeriformes,Stenostiridae,Culicicapa,ceylonensis
fictit1,Cephalopyrus flammiceps,Fire-capped Tit,Passeriformes,Paridae,Cephalopyrus,flammiceps
yebtit3,Sylviparus modestus,Yellow-browed Tit,Passeriformes,Paridae,Sylviparus,modestus
sultit1,Melanochlora sultanea,Sultan Tit,Passeriformes,Paridae,Melanochlora,sultanea
coatit2,Periparus ater,Coal Tit,Passeriformes,Paridae,Periparus,ater
bkbtit2,Periparus rufonuchalis,Black-breasted Tit,Passeriformes,Paridae,Periparus,rufonuchalis
ruvtit2,Periparus rubidiventris,Rufous-vented Tit,Passeriformes,Paridae,Periparus,rubidiventris
gyctit1,Lophophanes dichrous,Gray-crested Tit,Passeriformes,Paridae,Lophophanes,dichrous
azutit2,Cyanistes cyanus,Azure Tit,Passeriformes,Paridae,Cyanistes,cyanus
grotit1,Pseudopodoces humilis,Ground Tit,Passeriformes,Paridae,Pseudopodoces,humilis
grbtit1,Parus monticolus,Green-backed Tit,Passeriformes,Paridae,Parus,monticolus
gretit2,Parus cinereus,Cinereous Tit,Passeriformes,Paridae,Parus,cinereus
whwtit2,Machlolophus nuchalis,White-naped Tit,Passeriformes,Paridae,Machlolophus,nuchalis
blltit1,Machlolophus xanthogenys,Himalayan Black-lored Tit,Passeriformes,Paridae,Machlolophus,xanthogenys
indtit1,Machlolophus aplonotus,Indian Yellow Tit,Passeriformes,Paridae,Machlolophus,aplonotus
yectit1,Machlolophus spilonotus,Yellow-cheeked Tit,Passeriformes,Paridae,Machlolophus,spilonotus
wcptit1,Remiz coronatus,White-crowned Penduline-Tit,Passeriformes,Remizidae,Remiz,coronatus
grhlar1,Alaemon alaudipes,Greater Hoopoe-Lark,Passeriformes,Alaudidae,Alaemon,alaudipes
rutlar2,Ammomanes phoenicura,Rufous-tailed Lark,Passeriformes,Alaudidae,Ammomanes,phoenicura
deslar1,Ammomanes deserti,Desert Lark,Passeriformes,Alaudidae,Ammomanes,deserti
bcslar1,Eremopterix nigriceps,Black-crowned Sparrow-Lark,Passeriformes,Alaudidae,Eremopterix,nigriceps
ascspl1,Eremopterix griseus,Ashy-crowned Sparrow-Lark,Passeriformes,Alaudidae,Eremopterix,griseus
sinbus1,Mirafra cantillans,Singing Bushlark,Passeriformes,Alaudidae,Mirafra,cantillans
benbus1,Mirafra assamica,Bengal Bushlark,Passeriformes,Alaudidae,Mirafra,assamica
indbus2,Mirafra erythroptera,Indian Bushlark,Passeriformes,Alaudidae,Mirafra,erythroptera
jerbus2,Mirafra affinis,Jerdon's Bushlark,Passeriformes,Alaudidae,Mirafra,affinis
lstlar3,Alaudala rufescens,Lesser Short-toed Lark,Passeriformes,Alaudidae,Alaudala,rufescens
sanlar1,Alaudala raytal,Sand Lark,Passeriformes,Alaudidae,Alaudala,raytal
bimlar1,Melanocorypha bimaculata,Bimaculated Lark,Passeriformes,Alaudidae,Melanocorypha,bimaculata
tiblar1,Melanocorypha maxima,Tibetan Lark,Passeriformes,Alaudidae,Melanocorypha,maxima
humlar1,Calandrella acutirostris,Hume's Lark,Passeriformes,Alaudidae,Calandrella,acutirostris
gstlar1,Calandrella brachydactyla,Greater Short-toed Lark,Passeriformes,Alaudidae,Calandrella,brachydactyla
sstlar4,Calandrella dukhunensis,Sykes's Short-toed Lark,Passeriformes,Alaudidae,Calandrella,dukhunensis
horlar,Eremophila alpestris,Horned Lark,Passeriformes,Alaudidae,Eremophila,alpestris
skylar,Alauda arvensis,Eurasian Skylark,Passeriformes,Alaudidae,Alauda,arvensis
orisky1,Alauda gulgula,Oriental Skylark,Passeriformes,Alaudidae,Alauda,gulgula
crelar2,Galerida cristata,Crested Lark,Passeriformes,Alaudidae,Galerida,cristata
mallar1,Galerida malabarica,Malabar Lark,Passeriformes,Alaudidae,Galerida,malabarica
tawlar1,Galerida deva,Tawny Lark,Passeriformes,Alaudidae,Galerida,deva
zitcis1,Cisticola juncidis,Zitting Cisticola,Passeriformes,Cisticolidae,Cisticola,juncidis
gohcis1,Cisticola exilis,Golden-headed Cisticola,Passeriformes,Cisticolidae,Cisticola,exilis
strpri2,Prinia crinigera,Striated Prinia,Passeriformes,Cisticolidae,Prinia,crinigera
hilpri1,Prinia atrogularis,Black-throated Prinia,Passeriformes,Cisticolidae,Prinia,atrogularis
hilpri2,Prinia superciliaris,Hill Prinia,Passeriformes,Cisticolidae,Prinia,superciliaris
gycpri1,Prinia cinereocapilla,Gray-crowned Prinia,Passeriformes,Cisticolidae,Prinia,cinereocapilla
rufpri2,Prinia buchanani,Rufous-fronted Prinia,Passeriformes,Cisticolidae,Prinia,buchanani
rufpri1,Prinia rufescens,Rufescent Prinia,Passeriformes,Cisticolidae,Prinia,rufescens
gybpri1,Prinia hodgsonii,Gray-breasted Prinia,Passeriformes,Cisticolidae,Prinia,hodgsonii
grapri1,Prinia gracilis,Graceful Prinia,Passeriformes,Cisticolidae,Prinia,gracilis
junpri1,Prinia sylvatica,Jungle Prinia,Passeriformes,Cisticolidae,Prinia,sylvatica
yebpri1,Prinia flaviventris,Yellow-bellied Prinia,Passeriformes,Cisticolidae,Prinia,flaviventris
ashpri1,Prinia socialis,Ashy Prinia,Passeriformes,Cisticolidae,Prinia,socialis
plapri1,Prinia inornata,Plain Prinia,Passeriformes,Cisticolidae,Prinia,inornata
comtai1,Orthotomus sutorius,Common Tailorbird,Passeriformes,Cisticolidae,Orthotomus,sutorius
dantai1,Orthotomus atrogularis,Dark-necked Tailorbird,Passeriformes,Cisticolidae,Orthotomus,atrogularis
pagwar1,Locustella certhiola,Pallas's Grasshopper-Warbler,Passeriformes,Locustellidae,Locustella,certhiola
lanwar,Locustella lanceolata,Lanceolated Warbler,Passeriformes,Locustellidae,Locustella,lanceolata
brbwar2,Locustella luteoventris,Brown Bush Warbler,Passeriformes,Locustellidae,Locustella,luteoventris
chbwar1,Locustella tacsanowskia,Chinese Bush Warbler,Passeriformes,Locustellidae,Locustella,tacsanowskia
lbbwar1,Locustella major,Long-billed Bush Warbler,Passeriformes,Locustellidae,Locustella,major
cogwar1,Locustella naevia,Common Grasshopper-Warbler,Passeriformes,Locustellidae,Locustella,naevia
spobuw1,Locustella davidi,Baikal Bush Warbler,Passeriformes,Locustellidae,Locustella,davidi
spobuw2,Locustella kashmirensis,West Himalayan Bush Warbler,Passeriformes,Locustellidae,Locustella,kashmirensis
spobuw3,Locustella thoracica,Spotted Bush Warbler,Passeriformes,Locustellidae,Locustella,thoracica
rubwar1,Locustella mandelli,Russet Bush Warbler,Passeriformes,Locustellidae,Locustella,mandelli
strgra1,Megalurus palustris,Striated Grassbird,Passeriformes,Locustellidae,Megalurus,palustris
brtgra2,Schoenicola platyurus,Broad-tailed Grassbird,Passeriformes,Locustellidae,Schoenicola,platyurus
brigra2,Chaetornis striata,Bristled Grassbird,Passeriformes,Locustellidae,Chaetornis,striata
thbwar1,Arundinax aedon,Thick-billed Warbler,Passeriformes,Acrocephalidae,Arundinax,aedon
boowar1,Iduna caligata,Booted Warbler,Passeriformes,Acrocephalidae,Iduna,caligata
sykwar2,Iduna rama,Sykes's Warbler,Passeriformes,Acrocephalidae,Iduna,rama
bbrwar1,Acrocephalus bistrigiceps,Black-browed Reed Warbler,Passeriformes,Acrocephalidae,Acrocephalus,bistrigiceps
mouwar1,Acrocephalus melanopogon,Moustached Warbler,Passeriformes,Acrocephalidae,Acrocephalus,melanopogon
sedwar1,Acrocephalus schoenobaenus,Sedge Warbler,Passeriformes,Acrocephalidae,Acrocephalus,schoenobaenus
labrew1,Acrocephalus orinus,Large-billed Reed Warbler,Passeriformes,Acrocephalidae,Acrocephalus,orinus
blrwar1,Acrocephalus dumetorum,Blyth's Reed Warbler,Passeriformes,Acrocephalidae,Acrocephalus,dumetorum
padwar1,Acrocephalus agricola,Paddyfield Warbler,Passeriformes,Acrocephalidae,Acrocephalus,agricola
blwwar1,Acrocephalus concinens,Blunt-winged Warbler,Passeriformes,Acrocephalidae,Acrocephalus,concinens
grrwar1,Acrocephalus arundinaceus,Great Reed Warbler,Passeriformes,Acrocephalidae,Acrocephalus,arundinaceus
orrwar1,Acrocephalus orientalis,Oriental Reed Warbler,Passeriformes,Acrocephalidae,Acrocephalus,orientalis
clrwar1,Acrocephalus stentoreus,Clamorous Reed Warbler,Passeriformes,Acrocephalidae,Acrocephalus,stentoreus
immwrb1,Pnoepyga immaculata,Immaculate Cupwing,Passeriformes,Pnoepygidae,Pnoepyga,immaculata
pywbab1,Pnoepyga pusilla,Pygmy Cupwing,Passeriformes,Pnoepygidae,Pnoepyga,pusilla
sbwbab1,Pnoepyga albiventer,Scaly-breasted Cupwing,Passeriformes,Pnoepygidae,Pnoepyga,albiventer
cohmar1,Delichon urbicum,Common House-Martin,Passeriformes,Hirundinidae,Delichon,urbicum
ashmar1,Delichon dasypus,Asian House-Martin,Passeriformes,Hirundinidae,Delichon,dasypus
nephom1,Delichon nipalense,Nepal House-Martin,Passeriformes,Hirundinidae,Delichon,nipalense
sttswa2,Petrochelidon fluvicola,Streak-throated Swallow,Passeriformes,Hirundinidae,Petrochelidon,fluvicola
rerswa1,Cecropis daurica,Red-rumped Swallow,Passeriformes,Hirundinidae,Cecropis,daurica
strswa2,Cecropis striolata,Striated Swallow,Passeriformes,Hirundinidae,Cecropis,striolata
pacswa3,Hirundo domicola,Hill Swallow,Passeriformes,Hirundinidae,Hirundo,domicola
pacswa1,Hirundo tahitica,Pacific Swallow,Passeriformes,Hirundinidae,Hirundo,tahitica
witswa1,Hirundo smithii,Wire-tailed Swallow,Passeriformes,Hirundinidae,Hirundo,smithii
barswa,Hirundo rustica,Barn Swallow,Passeriformes,Hirundinidae,Hirundo,rustica
eurcrm1,Ptyonoprogne rupestris,Eurasian Crag-Martin,Passeriformes,Hirundinidae,Ptyonoprogne,rupestris
duscrm1,Ptyonoprogne concolor,Dusky Crag-Martin,Passeriformes,Hirundinidae,Ptyonoprogne,concolor
gytmar1,Riparia chinensis,Gray-throated Martin,Passeriformes,Hirundinidae,Riparia,chinensis
banswa,Riparia riparia,Bank Swallow,Passeriformes,Hirundinidae,Riparia,riparia
pasmar1,Riparia diluta,Pale Sand Martin,Passeriformes,Hirundinidae,Riparia,diluta
whtbul1,Alophoixus flaveolus,White-throated Bulbul,Passeriformes,Pycnonotidae,Alophoixus,flaveolus
cacbul1,Iole cacharensis,Cachar Bulbul,Passeriformes,Pycnonotidae,Iole,cacharensis
ashbul1,Hemixos flavala,Ashy Bulbul,Passeriformes,Pycnonotidae,Hemixos,flavala
nicbul2,Hypsipetes nicobariensis,Nicobar Bulbul,Passeriformes,Pycnonotidae,Hypsipetes,nicobariensis
moubul2,Ixos mcclellandii,Mountain Bulbul,Passeriformes,Pycnonotidae,Ixos,mcclellandii
sqtbul1,Hypsipetes ganeesa,Square-tailed Bulbul,Passeriformes,Pycnonotidae,Hypsipetes,ganeesa
blabul1,Hypsipetes leucocephalus,Black Bulbul,Passeriformes,Pycnonotidae,Hypsipetes,leucocephalus
crefin1,Spizixos canifrons,Crested Finchbill,Passeriformes,Pycnonotidae,Spizixos,canifrons
strbul2,Pycnonotus striatus,Striated Bulbul,Passeriformes,Pycnonotidae,Pycnonotus,striatus
bkcbul1,Rubigula gularis,Flame-throated Bulbul,Passeriformes,Pycnonotidae,Rubigula,gularis
blcbul2,Rubigula flaviventris,Black-crested Bulbul,Passeriformes,Pycnonotidae,Rubigula,flaviventris
rewbul,Pycnonotus jocosus,Red-whiskered Bulbul,Passeriformes,Pycnonotidae,Pycnonotus,jocosus
whcbul2,Pycnonotus leucogenys,Himalayan Bulbul,Passeriformes,Pycnonotidae,Pycnonotus,leucogenys
whebul1,Pycnonotus leucotis,White-eared Bulbul,Passeriformes,Pycnonotidae,Pycnonotus,leucotis
revbul,Pycnonotus cafer,Red-vented Bulbul,Passeriformes,Pycnonotidae,Pycnonotus,cafer
yetbul1,Pycnonotus xantholaemus,Yellow-throated Bulbul,Passeriformes,Pycnonotidae,Pycnonotus,xantholaemus
flabul1,Pycnonotus flavescens,Flavescent Bulbul,Passeriformes,Pycnonotidae,Pycnonotus,flavescens
whbbul2,Pycnonotus luteolus,White-browed Bulbul,Passeriformes,Pycnonotidae,Pycnonotus,luteolus
blhbul1,Brachypodius atriceps,Black-headed Bulbul,Passeriformes,Pycnonotidae,Brachypodius,atriceps
andbul1,Brachypodius fuscoflavescens,Andaman Bulbul,Passeriformes,Pycnonotidae,Brachypodius,fuscoflavescens
gyhbul1,Brachypodius priocephalus,Gray-headed Bulbul,Passeriformes,Pycnonotidae,Brachypodius,priocephalus
yebbul3,Iole indica,Yellow-browed Bulbul,Passeriformes,Pycnonotidae,Iole,indica
woowar,Phylloscopus sibilatrix,Wood Warbler,Passeriformes,Phylloscopidae,Phylloscopus,sibilatrix
chilew1,Phylloscopus yunnanensis,Chinese Leaf Warbler,Passeriformes,Phylloscopidae,Phylloscopus,yunnanensis
brlwar1,Phylloscopus subviridis,Brooks's Leaf Warbler,Passeriformes,Phylloscopidae,Phylloscopus,subviridis
yebwar3,Phylloscopus inornatus,Yellow-browed Warbler,Passeriformes,Phylloscopidae,Phylloscopus,inornatus
humwar1,Phylloscopus humei,Hume's Warbler,Passeriformes,Phylloscopidae,Phylloscopus,humei
parwar1,Phylloscopus chloronotus,Pale-rumped Warbler,Passeriformes,Phylloscopidae,Phylloscopus,chloronotus
bubwar1,Phylloscopus pulcher,Buff-barred Warbler,Passeriformes,Phylloscopidae,Phylloscopus,pulcher
astwar2,Phylloscopus maculipennis,Ashy-throated Warbler,Passeriformes,Phylloscopidae,Phylloscopus,maculipennis
duswar,Phylloscopus fuscatus,Dusky Warbler,Passeriformes,Phylloscopidae,Phylloscopus,fuscatus
smowar1,Phylloscopus fuligiventer,Smoky Warbler,Passeriformes,Phylloscopidae,Phylloscopus,fuligiventer
butwar1,Phylloscopus subaffinis,Buff-throated Warbler,Passeriformes,Phylloscopidae,Phylloscopus,subaffinis
comchi1,Phylloscopus collybita,Common Chiffchaff,Passeriformes,Phylloscopidae,Phylloscopus,collybita
mouchi2,Phylloscopus sindianus,Mountain Chiffchaff,Passeriformes,Phylloscopidae,Phylloscopus,sindianus
pllwar2,Phylloscopus neglectus,Plain Leaf Warbler,Passeriformes,Phylloscopidae,Phylloscopus,neglectus
tylwar1,Phylloscopus tytleri,Tytler's Leaf Warbler,Passeriformes,Phylloscopidae,Phylloscopus,tytleri
subwar2,Phylloscopus griseolus,Sulphur-bellied Warbler,Passeriformes,Phylloscopidae,Phylloscopus,griseolus
tilwar1,Phylloscopus affinis,Tickell's Leaf Warbler,Passeriformes,Phylloscopidae,Phylloscopus,affinis
whswar1,Phylloscopus intermedius,White-spectacled Warbler,Passeriformes,Phylloscopidae,Phylloscopus,intermedius
gycwar2,Phylloscopus poliogenys,Gray-cheeked Warbler,Passeriformes,Phylloscopidae,Phylloscopus,poliogenys
goswar1,Phylloscopus burkii,Golden-spectacled Warbler,Passeriformes,Phylloscopidae,Phylloscopus,burkii
gycwar1,Phylloscopus tephrocephalus,Gray-crowned Warbler,Passeriformes,Phylloscopidae,Phylloscopus,tephrocephalus
whiwar2,Phylloscopus whistleri,Whistler's Warbler,Passeriformes,Phylloscopidae,Phylloscopus,whistleri
chcwar2,Phylloscopus castaniceps,Chestnut-crowned Warbler,Passeriformes,Phylloscopidae,Phylloscopus,castaniceps
grnwar1,Phylloscopus nitidus,Green Warbler,Passeriformes,Phylloscopidae,Phylloscopus,nitidus
grewar3,Phylloscopus trochiloides,Greenish Warbler,Passeriformes,Phylloscopidae,Phylloscopus,trochiloides
grewar2,Phylloscopus plumbeitarsus,Two-barred Warbler,Passeriformes,Phylloscopidae,Phylloscopus,plumbeitarsus
arcwar1,Phylloscopus borealis,Arctic Warbler,Passeriformes,Phylloscopidae,Phylloscopus,borealis
pllwar1,Phylloscopus tenellipes,Pale-legged Leaf Warbler,Passeriformes,Phylloscopidae,Phylloscopus,tenellipes
lblwar1,Phylloscopus magnirostris,Large-billed Leaf Warbler,Passeriformes,Phylloscopidae,Phylloscopus,magnirostris
yevwar1,Phylloscopus cantator,Yellow-vented Warbler,Passeriformes,Phylloscopidae,Phylloscopus,cantator
clalew1,Phylloscopus claudiae,Claudia's Leaf Warbler,Passeriformes,Phylloscopidae,Phylloscopus,claudiae
blylew1,Phylloscopus reguloides,Blyth's Leaf Warbler,Passeriformes,Phylloscopidae,Phylloscopus,reguloides
weclew1,Phylloscopus occipitalis,Western Crowned Warbler,Passeriformes,Phylloscopidae,Phylloscopus,occipitalis
gyhwar2,Phylloscopus xanthoschistos,Gray-hooded Warbler,Passeriformes,Phylloscopidae,Phylloscopus,xanthoschistos
slbtes1,Tesia olivea,Slaty-bellied Tesia,Passeriformes,Scotocercidae,Tesia,olivea
gybtes1,Tesia cyaniventer,Gray-bellied Tesia,Passeriformes,Scotocercidae,Tesia,cyaniventer
ccbwar1,Cettia major,Chestnut-crowned Bush Warbler,Passeriformes,Scotocercidae,Cettia,major
gysbuw1,Cettia brunnifrons,Gray-sided Bush Warbler,Passeriformes,Scotocercidae,Cettia,brunnifrons
chhtes1,Cettia castaneocoronata,Chestnut-headed Tesia,Passeriformes,Scotocercidae,Cettia,castaneocoronata
cetwar1,Cettia cetti,Cetti's Warbler,Passeriformes,Scotocercidae,Cettia,cetti
pfbwar1,Urosphena pallidipes,Pale-footed Bush Warbler,Passeriformes,Scotocercidae,Urosphena,pallidipes
asistu1,Urosphena squameiceps,Asian Stubtail,Passeriformes,Scotocercidae,Urosphena,squameiceps
yebwar1,Abroscopus superciliaris,Yellow-bellied Warbler,Passeriformes,Scotocercidae,Abroscopus,superciliaris
rufwar1,Abroscopus albogularis,Rufous-faced Warbler,Passeriformes,Scotocercidae,Abroscopus,albogularis
blfwar1,Abroscopus schisticeps,Black-faced Warbler,Passeriformes,Scotocercidae,Abroscopus,schisticeps
moutai2,Phyllergates cucullatus,Mountain Tailorbird,Passeriformes,Scotocercidae,Phyllergates,cucullatus
brbwar1,Tickellia hodgsoni,Broad-billed Warbler,Passeriformes,Scotocercidae,Tickellia,hodgsoni
bfbwar1,Horornis fortipes,Brownish-flanked Bush Warbler,Passeriformes,Scotocercidae,Horornis,fortipes
yebbuw2,Horornis brunnescens,Hume's Bush Warbler,Passeriformes,Scotocercidae,Horornis,brunnescens
abbwar1,Horornis flavolivaceus,Aberrant Bush Warbler,Passeriformes,Scotocercidae,Horornis,flavolivaceus
jabwar,Horornis diphone,Japanese Bush Warbler,Passeriformes,Scotocercidae,Horornis,diphone
wbtwar1,Leptopoecile sophiae,White-browed Tit-Warbler,Passeriformes,Aegithalidae,Leptopoecile,sophiae
crtwar1,Leptopoecile elegans,Crested Tit-Warbler,Passeriformes,Aegithalidae,Leptopoecile,elegans
blttit2,Aegithalos concinnus,Black-throated Tit,Passeriformes,Aegithalidae,Aegithalos,concinnus
whctit1,Aegithalos leucogenys,White-cheeked Tit,Passeriformes,Aegithalidae,Aegithalos,leucogenys
whttit1,Aegithalos niveogularis,White-throated Tit,Passeriformes,Aegithalidae,Aegithalos,niveogularis
bkbtit3,Aegithalos iouschistos,Black-browed Tit,Passeriformes,Aegithalidae,Aegithalos,iouschistos
garwar1,Sylvia borin,Garden Warbler,Passeriformes,Sylviidae,Sylvia,borin
asdwar1,Sylvia nana,Asian Desert Warbler,Passeriformes,Sylviidae,Sylvia,nana
barwar1,Sylvia nisoria,Barred Warbler,Passeriformes,Sylviidae,Sylvia,nisoria
eaowar2,Sylvia crassirostris,Eastern Orphean Warbler,Passeriformes,Sylviidae,Sylvia,crassirostris
smawhi1,Sylvia minula,Desert Whitethroat,Passeriformes,Sylviidae,Sylvia,minula
humwhi1,Sylvia althaea,Hume's Whitethroat,Passeriformes,Sylviidae,Sylvia,althaea
leswhi1,Sylvia curruca,Lesser Whitethroat,Passeriformes,Sylviidae,Sylvia,curruca
grewhi1,Sylvia communis,Greater Whitethroat,Passeriformes,Sylviidae,Sylvia,communis
fitmyz1,Myzornis pyrrhoura,Fire-tailed Myzornis,Passeriformes,Paradoxornithidae,Myzornis,pyrrhoura
gobful1,Lioparus chrysotis,Golden-breasted Fulvetta,Passeriformes,Paradoxornithidae,Lioparus,chrysotis
yeebab1,Chrysomma sinense,Yellow-eyed Babbler,Passeriformes,Paradoxornithidae,Chrysomma,sinense
jerbab1,Chrysomma altirostre,Jerdon's Babbler,Passeriformes,Paradoxornithidae,Chrysomma,altirostre
whbful1,Fulvetta vinipectus,White-browed Fulvetta,Passeriformes,Paradoxornithidae,Fulvetta,vinipectus
ludful1,Alcippe ludlowi,Ludlow's Fulvetta,Passeriformes,Leiothrichidae,Alcippe,ludlowi
sttful2,Fulvetta manipurensis,Streak-throated Fulvetta,Passeriformes,Paradoxornithidae,Fulvetta,manipurensis
blbpar2,Paradoxornis flavirostris,Black-breasted Parrotbill,Passeriformes,Paradoxornithidae,Paradoxornis,flavirostris
spbpar1,Paradoxornis guttaticollis,Spot-breasted Parrotbill,Passeriformes,Paradoxornithidae,Paradoxornis,guttaticollis
ruhpar3,Psittiparus ruficeps,White-breasted Parrotbill,Passeriformes,Paradoxornithidae,Psittiparus,ruficeps
ruhpar2,Psittiparus bakeri,Rufous-headed Parrotbill,Passeriformes,Paradoxornithidae,Psittiparus,bakeri
gyhpar3,Psittiparus gularis,Gray-headed Parrotbill,Passeriformes,Paradoxornithidae,Psittiparus,gularis
grepar1,Conostoma aemodium,Great Parrotbill,Passeriformes,Paradoxornithidae,Conostoma,aemodium
bropar1,Cholornis unicolor,Brown Parrotbill,Passeriformes,Paradoxornithidae,Cholornis,unicolor
fulpar1,Suthora fulvifrons,Fulvous Parrotbill,Passeriformes,Paradoxornithidae,Suthora,fulvifrons
bltpar1,Suthora nipalensis,Black-throated Parrotbill,Passeriformes,Paradoxornithidae,Suthora,nipalensis
blbpar3,Chleuasicus atrosuperciliaris,Pale-billed Parrotbill,Passeriformes,Paradoxornithidae,Chleuasicus,atrosuperciliaris
stryuh1,Yuhina castaniceps,Striated Yuhina,Passeriformes,Zosteropidae,Yuhina,castaniceps
blcyuh1,Yuhina nigrimenta,Black-chinned Yuhina,Passeriformes,Zosteropidae,Yuhina,nigrimenta
sttyuh1,Yuhina gularis,Stripe-throated Yuhina,Passeriformes,Zosteropidae,Yuhina,gularis
whiyuh1,Yuhina flavicollis,Whiskered Yuhina,Passeriformes,Zosteropidae,Yuhina,flavicollis
ruvyuh1,Yuhina occipitalis,Rufous-vented Yuhina,Passeriformes,Zosteropidae,Yuhina,occipitalis
whnyuh1,Yuhina bakeri,White-naped Yuhina,Passeriformes,Zosteropidae,Yuhina,bakeri
orweye1,Zosterops palpebrosus,Oriental White-eye,Passeriformes,Zosteropidae,Zosterops,palpebrosus
rtwbab1,Spelaeornis caudatus,Rufous-throated Wren-Babbler,Passeriformes,Timaliidae,Spelaeornis,caudatus
miswrb1,Spelaeornis badeigularis,Rusty-throated Wren-Babbler,Passeriformes,Timaliidae,Spelaeornis,badeigularis
bwwbab1,Spelaeornis troglodytoides,Bar-winged Wren-Babbler,Passeriformes,Timaliidae,Spelaeornis,troglodytoides
ltwbab1,Spelaeornis chocolatinus,Long-tailed Wren-Babbler,Passeriformes,Timaliidae,Spelaeornis,chocolatinus
chhwrb1,Spelaeornis oatesi,Chin Hills Wren-Babbler,Passeriformes,Timaliidae,Spelaeornis,oatesi
gybwrb1,Spelaeornis reptatus,Gray-bellied Wren-Babbler,Passeriformes,Timaliidae,Spelaeornis,reptatus
tbwbab1,Spelaeornis longicaudatus,Tawny-breasted Wren-Babbler,Passeriformes,Timaliidae,Spelaeornis,longicaudatus
rbsbab1,Pomatorhinus ochraceiceps,Red-billed Scimitar-Babbler,Passeriformes,Timaliidae,Pomatorhinus,ochraceiceps
cbsbab2,Pomatorhinus ferruginosus,Coral-billed Scimitar-Babbler,Passeriformes,Timaliidae,Pomatorhinus,ferruginosus
sbsbab1,Pomatorhinus superciliaris,Slender-billed Scimitar-Babbler,Passeriformes,Timaliidae,Pomatorhinus,superciliaris
insbab1,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,Passeriformes,Timaliidae,Pomatorhinus,horsfieldii
wbsbab1,Pomatorhinus schisticeps,White-browed Scimitar-Babbler,Passeriformes,Timaliidae,Pomatorhinus,schisticeps
sbsbab3,Pomatorhinus ruficollis,Streak-breasted Scimitar-Babbler,Passeriformes,Timaliidae,Pomatorhinus,ruficollis
lasbab1,Megapomatorhinus hypoleucos,Large Scimitar-Babbler,Passeriformes,Timaliidae,Megapomatorhinus,hypoleucos
