Common.Name,Scientific.Name,Migratory.Status,IUCN,WLPA.Schedule,CITES.Appendix,CMS.Appendix,Long.Term.Trend.Mean,Long.Term.Trend.Lower,Long.Term.Trend.Upper,Long.Term.Trend,Current.Annual.Change.Mean,Current.Annual.Change.Lower,Current.Annual.Change.Upper,Current.Annual.Change,Range.Size.Mean,Range.Size.Lower,Range.Size.Upper,Range.Size,Long.Term.Status,Current.Status,Range.Status,Concern.Status
Great Cormorant,Phalacrocorax carbo,LM,Least Concern,Schedule-IV,,,-3.24826992,-24.76645417,18.26991433,-3.25±21.52,-0.76269856,-4.421476418,2.896079298,-0.76±3.66,24.428336,24.349236,24.507436,24.43±0.08,Stable,Uncertain,Moderate,Low
Indian Cormorant,Phalacrocorax fuscicollis,R,Least Concern,Schedule-IV,,,67.97484475,37.56429539,98.38539411,67.97±30.41,-6.198578597,-8.392444377,-4.004712817,-6.2±2.19,151.4903669,151.3838669,151.5968669,151.49±0.11,Moderate Increase,Strong Decline,Very Large,Low
Great White Pelican,Pelecanus onocrotalus,W/P,Least Concern,Schedule-IV,,,31.63538206,-97.82183394,161.0925981,31.64±129.46,-2.545858082,-21.56810642,16.47639026,-2.55±19.02,17.8606106,17.7889106,17.9323106,17.86±0.07,Uncertain,Uncertain,Moderate,Low
Spot-billed Pelican,Pelecanus philippensis,R,Near Threatened,Schedule-IV,,,147.1342332,16.0816687,278.1867977,147.13±131.05,-5.205033516,-12.97024035,2.560173318,-5.21±7.77,23.1709003,23.1205003,23.2213003,23.17±0.05,Uncertain,Uncertain,Moderate,Moderate
Dalmatian Pelican,Pelecanus crispus,W/P,Near Threatened,Schedule-IV,,,,,,,0.598252616,-21.35527395,22.55177919,0.6±21.95,11.2239282,11.1218282,11.3260282,11.22±0.1,Data Deficient,Uncertain,Moderate,Moderate
Yellow Bittern,Ixobrychus sinensis,LM,Least Concern,Schedule-IV,,,-3.199790882,-36.32995889,29.93037713,-3.2±33.13,-2.336592149,-7.519099651,2.845915353,-2.34±5.18,15.0545408,14.9747408,15.1343408,15.05±0.08,Uncertain,Uncertain,Moderate,Low
Cinnamon Bittern,Ixobrychus cinnamomeus,LM,Least Concern,Schedule-IV,,,-67.06191591,-77.94336513,-56.18046669,-67.06±10.88,-11.23180829,-15.11758447,-7.346032111,-11.23±3.89,19.8247606,19.7449606,19.9045606,19.82±0.08,Strong Decline,Strong Decline,Moderate,High
Black Bittern,Ixobrychus flavicollis,LM,Least Concern,Schedule-IV,,,6.121398125,-37.68897249,49.93176874,6.12±43.81,-10.41318142,-14.40552885,-6.420833994,-10.41±3.99,11.3087396,11.2084396,11.4090396,11.31±0.1,Uncertain,Strong Decline,Moderate,Moderate
Grey Heron,Ardea cinerea,R,Least Concern,Schedule-IV,,,-9.354290319,-24.51862051,5.810039871,-9.35±15.16,-3.562939567,-6.18825045,-0.937628684,-3.56±2.63,164.8576021,164.7653021,164.9499021,164.86±0.09,Stable,Uncertain,Very Large,Low
White-bellied Heron,Ardea insignis,R,Critically Endangered,Schedule-I,,,,,,,,,,,0.0625,0.0625,0.0625,0.06,Data Deficient,Data Deficient,Very Restricted,High
Purple Heron,Ardea purpurea,R,Least Concern,Schedule-IV,,,21.12197557,-0.05162261,42.29557375,21.12±21.17,-7.997018955,-10.11110316,-5.882934752,-8±2.11,145.3914269,145.2963269,145.4865269,145.39±0.1,Stable,Strong Decline,Very Large,Low
Great Egret,Ardea alba,R,Least Concern,Schedule-IV,,,-10.59793757,-23.85036684,2.6544917,-10.6±13.25,-6.553737746,-8.516973617,-4.590501875,-6.55±1.96,171.0963378,170.9943378,171.1983378,171.1±0.1,Stable,Strong Decline,Very Large,Low
Intermediate Egret,Ardea intermedia,R,Least Concern,Schedule-IV,,,-12.82399479,-24.49213891,-1.15585067,-12.82±11.67,-8.65001,-10.26949992,-7.030520084,-8.65±1.62,178.0430103,177.9433103,178.1427103,178.04±0.1,Stable,Strong Decline,Very Large,Low
Little Egret,Egretta garzetta,R,Least Concern,Schedule-IV,,,-22.44374419,-31.69889262,-13.18859576,-22.44±9.26,-6.978720739,-8.538035091,-5.419406387,-6.98±1.56,195.9122806,195.8295806,195.9949806,195.91±0.08,Stable,Strong Decline,Very Large,Low
Western Reef Egret,Egretta gularis,LM,Least Concern,Schedule-IV,,,-39.87703236,-75.62319548,-4.13086924,-39.88±35.75,-4.932275789,-13.98823527,4.123683691,-4.93±9.06,6.3514427,6.2961427,6.4067427,6.35±0.06,Uncertain,Uncertain,Moderate,Low
Cattle Egret,Bubulcus ibis,R,Least Concern,Schedule-IV,,,16.73773102,4.40697343,29.06848861,16.74±12.33,-4.331993793,-5.71331661,-2.950670976,-4.33±1.38,214.7180666,214.6469666,214.7891666,214.72±0.07,Stable,Strong Decline,Very Large,Low
Indian Pond Heron,Ardeola grayii,R,Least Concern,Schedule-IV,,,-4.998490377,-15.57268658,5.575705823,-5±10.57,-4.189560677,-5.768479734,-2.61064162,-4.19±1.58,207.7181942,207.6436942,207.7926942,207.72±0.07,Stable,Moderate Decline,Very Large,Low
Striated Heron,Butorides striata,R,Least Concern,Schedule-IV,,,-17.56365201,-38.85933798,3.73203396,-17.56±21.3,-1.856344627,-6.065512686,2.352823432,-1.86±4.21,92.1581429,92.0238429,92.2924429,92.16±0.13,Stable,Uncertain,Large,Low
Black-crowned Night Heron,Nycticorax nycticorax,R,Least Concern,Schedule-IV,,,12.28367706,-11.17571499,35.74306911,12.28±23.46,-0.726791642,-3.772233206,2.318649922,-0.73±3.05,127.7858262,127.6651262,127.9065262,127.79±0.12,Stable,Uncertain,Very Large,Low
Malayan Night Heron,Gorsachius melanolophus,R,Least Concern,Schedule-IV,,,,,,,,,,,6.1720565,6.1045565,6.2395565,6.17±0.07,Data Deficient,Data Deficient,Moderate,Moderate
Glossy Ibis,Plegadis falcinellus,R,Least Concern,Schedule-IV,,Appendix II,139.6263729,76.86563027,202.3871155,139.63±62.76,-0.151710215,-4.261596524,3.958176094,-0.15±4.11,98.4723627,98.3908627,98.5538627,98.47±0.08,Strong Increase,Uncertain,Large,Low
Black-headed Ibis,Threskiornis melanocephalus,R,Near Threatened,Schedule-IV,,,79.9413855,42.84201832,117.0407527,79.94±37.1,-2.390016074,-5.448754779,0.668722631,-2.39±3.06,137.2328678,137.1479678,137.3177678,137.23±0.08,Moderate Increase,Uncertain,Very Large,Low
Indian Black Ibis,Pseudibis papillosa,R,Least Concern,Schedule-IV,,,100.5255096,53.91860166,147.1324175,100.53±46.61,-2.439848533,-5.862900057,0.983202991,-2.44±3.42,136.1173473,136.0417473,136.1929473,136.12±0.08,Strong Increase,Uncertain,Very Large,Low
Eurasian Spoonbill,Platalea leucorodia,LM,Least Concern,Schedule-I,,Appendix II,-14.88432189,-41.68456199,11.91591821,-14.88±26.8,-4.074032077,-8.97274877,0.824684616,-4.07±4.9,23.7401741,23.6615741,23.8187741,23.74±0.08,Uncertain,Uncertain,Moderate,Low
Osprey,Pandion haliaetus,W/P,Least Concern,Schedule-I,Appendix II,Appendix II,-48.43709293,-74.37471769,-22.49946817,-48.44±25.94,-4.798083345,-12.51380016,2.91763347,-4.8±7.72,58.4781034,58.3879034,58.5683034,58.48±0.09,Uncertain,Uncertain,Large,Low
Black-winged Kite,Elanus caeruleus,R,Least Concern,Schedule-I,Appendix II,Appendix II,-34.65406947,-44.79121076,-24.51692818,-34.65±10.14,-5.668566082,-7.999225429,-3.337906735,-5.67±2.33,197.2834251,197.1779251,197.3889251,197.28±0.11,Stable,Strong Decline,Very Large,Low
Bearded Vulture,Gypaetus barbatus,R,Near Threatened,Schedule-I,Appendix II,Appendix II,-60.91853084,-88.69715782,-33.13990386,-60.92±27.78,-10.40227169,-19.12115951,-1.683383866,-10.4±8.72,15.5303128,15.4669128,15.5937128,15.53±0.06,Moderate Decline,Moderate Decline,Moderate,Moderate
Egyptian Vulture,Neophron percnopterus,R,Endangered,Schedule-IV,Appendix II,Appendix I,-59.47846515,-73.4632218,-45.4937085,-59.48±13.98,-8.848753092,-13.50991323,-4.18759295,-8.85±4.66,62.395722,62.324822,62.466622,62.4±0.07,Moderate Decline,Strong Decline,Large,High
Oriental Honey Buzzard,Pernis ptilorhynchus,R,Least Concern,Schedule-I,Appendix II,Appendix II,-2.180895733,-18.75733399,14.39554253,-2.18±16.58,-5.201406844,-7.48800331,-2.914810378,-5.2±2.29,163.2789358,163.1424358,163.4154358,163.28±0.14,Stable,Strong Decline,Very Large,Low
Jerdon's Baza,Aviceda jerdoni,R,Least Concern,Schedule-I,Appendix II,Appendix II,,,,,,,,,11.6227789,11.4897789,11.7557789,11.62±0.13,Data Deficient,Data Deficient,Moderate,Moderate
Black Baza,Aviceda leuphotes,LM,Least Concern,Schedule-I,Appendix II,Appendix II,,,,,-3.381683651,-45.23022507,38.46685777,-3.38±41.85,0.9299121,0.8379121,1.0219121,0.93±0.09,Data Deficient,Uncertain,Restricted,Moderate
Red-headed Vulture,Sarcogyps calvus,R,Critically Endangered,Schedule-IV,Appendix II,Appendix I,-81.10563915,-90.73432342,-71.47695488,-81.11±9.63,-17.77162366,-21.99217906,-13.55106826,-17.77±4.22,17.7072291,17.6396291,17.7748291,17.71±0.07,Strong Decline,Strong Decline,Moderate,High
Cinereous Vulture,Aegypius monachus,W/P,Near Threatened,Schedule-IV,Appendix II,Appendix I,,,,,-12.41534485,-23.38658342,-1.44410628,-12.42±10.97,6.0030169,5.9124169,6.0936169,6±0.09,Data Deficient,Moderate Decline,Moderate,Moderate
White-rumped Vulture,Gyps bengalensis,R,Critically Endangered,Schedule-I,Appendix II,Appendix I,-97.04088694,-97.95530226,-96.12647162,-97.04±0.91,-17.69339458,-20.73160883,-14.65518033,-17.69±3.04,24.3879073,24.3114073,24.4644073,24.39±0.08,Strong Decline,Strong Decline,Moderate,High
Indian Vulture,Gyps indicus,R,Critically Endangered,Schedule-I,Appendix II,Appendix I,-90.09340134,-94.35395764,-85.83284504,-90.09±4.26,-10.35223147,-16.00765309,-4.696809855,-10.35±5.66,24.4856939,24.4155939,24.5557939,24.49±0.07,Strong Decline,Strong Decline,Moderate,High
Slender-billed Vulture,Gyps tenuirostris,R,Critically Endangered,Schedule-I,Appendix II,Appendix I,,,,,,,,,3.8507543,3.7845543,3.9169543,3.85±0.07,Data Deficient,Data Deficient,Restricted,High
Himalayan Vulture,Gyps himalayensis,LM,Near Threatened,Schedule-IV,Appendix II,Appendix II,-33.94470556,-73.88612155,5.99671043,-33.94±39.94,-4.235911347,-13.35750247,4.885679777,-4.24±9.12,12.2365704,12.1624704,12.3106704,12.24±0.07,Uncertain,Uncertain,Moderate,Moderate
Griffon Vulture,Gyps fulvus,W/P,Least Concern,Schedule-IV,Appendix II,Appendix II,-76.46395719,-97.05037824,-55.87753614,-76.46±20.59,-10.54752658,-20.98667926,-0.1083739,-10.55±10.44,15.9780188,15.8753188,16.0807188,15.98±0.1,Strong Decline,Uncertain,Moderate,Moderate
Nicobar Serpent Eagle,Spilornis klossi,R,Near Threatened,Schedule-I,Appendix II,Appendix II,,,,,,,,,0.0953,0.0953,0.0953,0.1,Data Deficient,Data Deficient,Restricted,Moderate
Crested Serpent Eagle,Spilornis cheela,R,Least Concern,Schedule-I,Appendix II,Appendix II,-21.21822996,-37.54413487,-4.89232505,-21.22±16.33,-6.35852378,-9.236213211,-3.480834349,-6.36±2.88,111.6602527,111.5697527,111.7507527,111.66±0.09,Stable,Strong Decline,Very Large,Low
Andaman Serpent Eagle,Spilornis elgini,R,Vulnerable,Schedule-I,Appendix II,Appendix II,,,,,-4.675567493,-14.60886183,5.25772684,-4.68±9.93,0.4822327,0.4661327,0.4983327,0.48±0.02,Data Deficient,Uncertain,Restricted,High
Short-toed Snake Eagle,Circaetus gallicus,R,Least Concern,Schedule-I,Appendix II,Appendix II,-62.39976359,-71.01507674,-53.78445045,-62.4±8.62,-8.898408695,-11.8374332,-5.95938419,-8.9±2.94,110.4266169,110.3063169,110.5469169,110.43±0.12,Strong Decline,Strong Decline,Very Large,High
Changeable Hawk Eagle,Nisaetus cirrhatus,R,Least Concern,Schedule-I,Appendix II,Appendix II,-37.68368559,-54.31779195,-21.04957923,-37.68±16.63,-5.710998462,-9.555515338,-1.866481586,-5.71±3.84,55.3310775,55.2541775,55.4079775,55.33±0.08,Stable,Moderate Decline,Large,Low
Mountain Hawk-Eagle,Nisaetus nipalensis,R,Least Concern,Schedule-I,Appendix II,Appendix II,-26.97082894,-72.88938581,18.94772793,-26.97±45.92,-5.451320551,-14.1609744,3.258333297,-5.45±8.71,13.740104,13.664904,13.815304,13.74±0.08,Uncertain,Uncertain,Moderate,Low
Legge's Hawk-Eagle,Nisaetus kelaarti,R,Least Concern,Schedule-I,Appendix II,Appendix II,,,,,,,,,7.0337434,6.9667434,7.1007434,7.03±0.07,Data Deficient,Data Deficient,Moderate,Moderate
Rufous-bellied Eagle,Lophotriorchis kienerii,R,Near Threatened,Schedule-I,Appendix II,Appendix II,-38.42287462,-71.3078019,-5.53794734,-38.42±32.88,-9.12975889,-15.20854694,-3.050970844,-9.13±6.08,20.2021102,20.1210102,20.2832102,20.2±0.08,Uncertain,Strong Decline,Moderate,Moderate
Black Eagle,Ictinaetus malaiensis,R,Least Concern,Schedule-I,Appendix II,Appendix II,-34.77155762,-53.19395196,-16.34916328,-34.77±18.42,-5.389533661,-9.263045178,-1.516022144,-5.39±3.87,53.2606119,53.1837119,53.3375119,53.26±0.08,Stable,Moderate Decline,Large,Low
Indian Spotted Eagle,Clanga hastata,R,Vulnerable,Schedule-I,Appendix II,Appendix II,12.89562981,-28.5281191,54.31937872,12.9±41.42,-5.339640052,-10.12759074,-0.55168936,-5.34±4.79,62.6703614,62.5534614,62.7872614,62.67±0.12,Uncertain,Uncertain,Large,Moderate
Greater Spotted Eagle,Clanga clanga,W/P,Vulnerable,Schedule-I,Appendix II,Appendix I,33.31541375,-39.2186023,105.8494298,33.32±72.53,-4.154125314,-11.64950147,3.341250841,-4.15±7.5,36.7702154,36.6939154,36.8465154,36.77±0.08,Uncertain,Uncertain,Large,Moderate
Booted Eagle,Hieraaetus pennatus,W/P,Least Concern,Schedule-I,Appendix II,Appendix II,9.099565618,-58.85973915,77.05887039,9.1±67.96,-4.980420631,-14.24646433,4.285623069,-4.98±9.27,73.8225536,73.7028536,73.9422536,73.82±0.12,Uncertain,Uncertain,Large,Low
Tawny Eagle,Aquila rapax,R,Vulnerable,Schedule-I,Appendix II,Appendix II,-75.2376283,-85.39567669,-65.07957991,-75.24±10.16,-13.02718645,-17.53430329,-8.520069608,-13.03±4.51,39.7137026,39.6213026,39.8061026,39.71±0.09,Strong Decline,Strong Decline,Large,High
Steppe Eagle,Aquila nipalensis,W/P,Endangered,Schedule-I,Appendix II,Appendix I,-17.93073731,-63.12138327,27.25990865,-17.93±45.19,-7.288500283,-14.81393676,0.236936192,-7.29±7.53,33.4531473,33.3839473,33.5223473,33.45±0.07,Uncertain,Uncertain,Large,High
Eastern Imperial Eagle,Aquila heliaca,W/P,Vulnerable,Schedule-I,Appendix I,Appendix I,,,,,-0.228110326,-16.96253286,16.5063122,-0.23±16.73,8.7487015,8.6723015,8.8251015,8.75±0.08,Data Deficient,Uncertain,Moderate,Moderate
Golden Eagle,Aquila chrysaetos,R,Least Concern,Schedule-I,Appendix II,Appendix II,,,,,-13.57433927,-23.2182543,-3.930424236,-13.57±9.64,14.7949041,14.6965041,14.8933041,14.79±0.1,Data Deficient,Strong Decline,Moderate,Moderate
Bonelli's Eagle,Aquila fasciata,R,Least Concern,Schedule-I,Appendix II,Appendix II,8.297878192,-24.83303667,41.42879305,8.3±33.13,-2.276499875,-7.000243083,2.447243333,-2.28±4.72,81.3053992,81.1894992,81.4212992,81.31±0.12,Uncertain,Uncertain,Large,Low
White-eyed Buzzard,Butastur teesa,LM,Least Concern,Schedule-I,Appendix II,Appendix II,-13.23041192,-35.50613311,9.04530927,-13.23±22.28,-9.249643576,-12.3127925,-6.186494653,-9.25±3.06,25.0421073,24.9572073,25.1270073,25.04±0.08,Stable,Strong Decline,Moderate,Moderate
Western Marsh Harrier,Circus aeruginosus,W/P,Least Concern,Schedule-I,Appendix II,Appendix II,-40.9005392,-61.59406369,-20.20701471,-40.9±20.69,-5.724537774,-10.84562226,-0.603453289,-5.72±5.12,83.3618926,83.2772926,83.4464926,83.36±0.08,Stable,Uncertain,Large,Low
Pallid Harrier,Circus macrourus,W/P,Near Threatened,Schedule-I,Appendix II,Appendix II,-77.31788692,-100,-49.77792079,-77.32±27.54,-9.047079881,-25.40328491,7.309125149,-9.05±16.36,34.4591089,34.3839089,34.5343089,34.46±0.08,Moderate Decline,Uncertain,Large,Moderate
Montagu's Harrier,Circus pygargus,W/P,Least Concern,Schedule-I,Appendix II,Appendix II,-63.15940041,-87.25949894,-39.05930188,-63.16±24.1,-5.688342318,-15.61380922,4.237124585,-5.69±9.93,36.187155,36.111755,36.262555,36.19±0.08,Moderate Decline,Uncertain,Large,Moderate
Crested Goshawk,Accipiter trivirgatus,R,Least Concern,Schedule-I,Appendix II,Appendix II,-27.35585604,-60.94913314,6.23742106,-27.36±33.59,-3.299544417,-10.49805568,3.898966842,-3.3±7.2,27.5046184,27.4344184,27.5748184,27.5±0.07,Uncertain,Uncertain,Large,Low
Shikra,Accipiter badius,R,Least Concern,Schedule-I,Appendix II,Appendix II,16.87579495,2.7224579,31.029132,16.88±14.15,-1.431080992,-3.17406808,0.311906096,-1.43±1.74,199.115988,199.010388,199.221588,199.12±0.11,Stable,Stable,Very Large,Low
Nicobar Sparrowhawk,Accipiter butleri,R,Vulnerable,Schedule-I,Appendix II,Appendix II,,,,,,,,,0.0362,0.0362,0.0362,0.04,Data Deficient,Data Deficient,Restricted,High
Besra,Accipiter virgatus,R,Least Concern,Schedule-I,Appendix II,Appendix II,,,,,,,,,12.8903,12.8903,12.8903,12.89,Data Deficient,Data Deficient,Moderate,Moderate
Eurasian Sparrowhawk,Accipiter nisus,LM,Least Concern,Schedule-I,Appendix II,Appendix II,-69.56762929,-99.71441765,-39.42084093,-69.57±30.15,-7.242140777,-20.76804375,6.283762193,-7.24±13.53,5.7275056,5.5563056,5.8987056,5.73±0.17,Moderate Decline,Uncertain,Moderate,Moderate
Black Kite,Milvus migrans,LM,Least Concern,Schedule-I,Appendix II,Appendix II,6.697351208,-8.290781032,21.68548345,6.7±14.99,-1.702474679,-3.851951981,0.447002623,-1.7±2.15,85.7356632,85.6642632,85.8070632,85.74±0.07,Stable,Uncertain,Large,Low
Brahminy Kite,Haliastur indus,R,Least Concern,Schedule-I,Appendix II,Appendix II,-12.58078141,-38.07212116,12.91055834,-12.58±25.49,0.949423697,-4.514855249,6.413702643,0.95±5.46,72.4636135,72.4056135,72.5216135,72.46±0.06,Uncertain,Uncertain,Large,Low
Pallas's Fish Eagle,Haliaeetus leucoryphus,LM,Endangered,Schedule-I,Appendix II,Appendix I,-70.64670494,-100,-7.01204238,-70.65±63.63,-4.046346607,-38.4105043,30.31781108,-4.05±34.36,0.3929218,0.3297218,0.4561218,0.39±0.06,Uncertain,Uncertain,Very Restricted,High
White-bellied Sea Eagle,Haliaeetus leucogaster,R,Least Concern,Schedule-I,Appendix II,Appendix II,-72.58759066,-92.87876468,-52.29641664,-72.59±20.29,-5.892881365,-16.87499184,5.089229105,-5.89±10.98,10.4275665,10.3846665,10.4704665,10.43±0.04,Strong Decline,Uncertain,Moderate,Moderate
Lesser Fish Eagle,Icthyophaga humilis,R,Near Threatened,Schedule-I,Appendix II,Appendix II,,,,,-7.869310516,-15.54196952,-0.196651512,-7.87±7.67,8.4537101,8.4060101,8.5014101,8.45±0.05,Data Deficient,Uncertain,Moderate,Moderate
Grey-headed Fish Eagle,Icthyophaga ichthyaetus,R,Near Threatened,Schedule-I,Appendix II,Appendix II,3.601649477,-100,144.2748826,3.6±140.67,-4.955942185,-25.94915838,16.03727401,-4.96±20.99,12.5170362,12.4508362,12.5832362,12.52±0.07,Uncertain,Uncertain,Moderate,Moderate
Common Buzzard,Buteo buteo,W/P,Least Concern,Schedule-I,Appendix II,Appendix II,,,,,-9.023304139,-18.69432021,0.647711932,-9.02±9.67,12.9737997,12.9072997,13.0402997,12.97±0.07,Data Deficient,Uncertain,Moderate,Low
Himalayan Buzzard,Buteo refectus,R,Least Concern,Schedule-I,Appendix II,Appendix II,-49.55070776,-90.85234267,-8.24907285,-49.55±41.3,3.191384859,-13.37365865,19.75642837,3.19±16.57,22.3276638,22.2355638,22.4197638,22.33±0.09,Uncertain,Uncertain,Moderate,Low
Long-legged Buzzard,Buteo rufinus,W/P,Least Concern,Schedule-I,Appendix II,Appendix II,-23.58337283,-76.70011618,29.53337052,-23.58±53.12,-5.242728262,-16.29912524,5.813668718,-5.24±11.06,19.4261537,19.3390537,19.5132537,19.43±0.09,Uncertain,Uncertain,Moderate,Low
Dusky Eagle Owl,Bubo coromandus,R,Least Concern,Schedule-IV,Appendix II,,,,,,,,,,4.2297294,4.1568294,4.3026294,4.23±0.07,Data Deficient,Data Deficient,Moderate,Moderate
Brown Fish Owl,Ketupa zeylonensis,R,Least Concern,Schedule-IV,Appendix II,,-39.4953121,-58.55763264,-20.43299156,-39.5±19.06,-6.708571276,-10.83546296,-2.581679594,-6.71±4.13,48.4442023,48.3520023,48.5364023,48.44±0.09,Stable,Moderate Decline,Large,Low
Collared Owlet,Glaucidium brodiei,R,Least Concern,Schedule-IV,Appendix II,,39.32754803,-56.73449587,135.3895919,39.33±96.06,-7.4732403,-16.41871347,1.472232873,-7.47±8.95,16.0760323,15.9947323,16.1573323,16.08±0.08,Uncertain,Uncertain,Moderate,Low
Asian Barred Owlet,Glaucidium cuculoides,R,Least Concern,Schedule-IV,Appendix II,,23.69927607,-21.19457673,68.59312887,23.7±44.89,-1.728656993,-7.017940942,3.560626956,-1.73±5.29,25.4050583,25.3225583,25.4875583,25.41±0.08,Uncertain,Uncertain,Large,Low
Jungle Owlet,Glaucidium radiatum,R,Least Concern,Schedule-IV,Appendix II,,-9.383661488,-34.96348544,16.19616246,-9.38±25.58,0.845206755,-4.142448095,5.832861605,0.85±4.99,61.2457453,61.1753453,61.3161453,61.25±0.07,Uncertain,Uncertain,Large,Low
Forest Owlet,Heteroglaux blewitti,R,Endangered,Schedule-I,Appendix I,,,,,,,,,,1.3860313,1.3294313,1.4426313,1.39±0.06,Data Deficient,Data Deficient,Restricted,High
Short-eared Owl,Asio flammeus,W/P,Least Concern,Schedule-IV,Appendix II,,,,,,-9.404707996,-22.35566486,3.546248864,-9.4±12.95,5.9010052,5.8449052,5.9571052,5.9±0.06,Data Deficient,Uncertain,Moderate,Low
Malabar Trogon,Harpactes fasciatus,R,Least Concern,Schedule-IV,,,-57.84255545,-81.44525358,-34.23985732,-57.84±23.6,-7.198178315,-14.73788795,0.341531316,-7.2±7.54,12.4064015,12.3668015,12.4460015,12.41±0.04,Moderate Decline,Uncertain,Moderate,Moderate
Red-headed Trogon,Harpactes erythrocephalus,R,Least Concern,Schedule-IV,,,,,,,-2.091709269,-38.38347153,34.20005299,-2.09±36.29,6.2605139,6.1962139,6.3248139,6.26±0.06,Data Deficient,Uncertain,Moderate,Low
Ward's Trogon,Harpactes wardi,R,Near Threatened,Schedule-IV,,,,,,,,,,,0.2277,0.2277,0.2277,0.23,Data Deficient,Data Deficient,Very Restricted,High
Common Hoopoe,Upupa epops,LM,Least Concern,Schedule-IV,,,-41.05028181,-50.18281455,-31.91774907,-41.05±9.13,-2.064437068,-4.602764663,0.473890527,-2.06±2.54,60.2986278,60.2091278,60.3881278,60.3±0.09,Moderate Decline,Uncertain,Large,Moderate
Great Hornbill,Buceros bicornis,R,Vulnerable,Schedule-I,Appendix I,,-35.39455532,-68.05021591,-2.73889473,-35.39±32.66,-7.424880556,-14.1698383,-0.679922812,-7.42±6.74,16.0028477,15.9541477,16.0515477,16±0.05,Uncertain,Uncertain,Moderate,Moderate
Austen's Brown Hornbill,Anorrhinus austeni,R,Near Threatened,Schedule-I,Appendix II,,,,,,,,,,0.6750084,0.6228084,0.7272084,0.68±0.05,Data Deficient,Data Deficient,Very Restricted,High
Indian Grey Hornbill,Ocyceros birostris,R,Least Concern,Schedule-IV,,,40.40625153,9.9732214,70.83928166,40.41±30.43,-1.033878404,-4.596714035,2.528957227,-1.03±3.56,128.2349308,128.1595308,128.3103308,128.23±0.08,Uncertain,Uncertain,Very Large,Low
Malabar Grey Hornbill,Ocyceros griseus,R,Least Concern,Schedule-IV,,,-66.78326392,-89.88724073,-43.67928711,-66.78±23.1,-3.341754152,-14.05470319,7.371194888,-3.34±10.71,13.2610021,13.2247021,13.2973021,13.26±0.04,Moderate Decline,Uncertain,Moderate,Moderate
Malabar Pied Hornbill,Anthracoceros coronatus,R,Near Threatened,Schedule-I,Appendix II,,3.789738203,-62.48658166,70.06605806,3.79±66.28,-10.14947476,-17.81773912,-2.481210398,-10.15±7.67,16.2263027,16.1809027,16.2717027,16.23±0.05,Uncertain,Moderate Decline,Moderate,Moderate
Oriental Pied Hornbill,Anthracoceros albirostris,R,Least Concern,Schedule-I,Appendix II,,22.20825724,-46.39257204,90.80908652,22.21±68.6,-0.06050898,-9.747169268,9.626151308,-0.06±9.69,13.5395232,13.4825232,13.5965232,13.54±0.06,Uncertain,Uncertain,Moderate,Low
Rufous-necked Hornbill,Aceros nipalensis,R,Vulnerable,Schedule-I,Appendix I,,,,,,12.05328694,-14.37173767,38.47831155,12.05±26.43,2.5771953,2.5394953,2.6148953,2.58±0.04,Data Deficient,Uncertain,Restricted,High
Wreathed Hornbill,Rhyticeros undulatus,R,Vulnerable,Schedule-I,Appendix II,,,,,,,,,,2.9602816,2.9119816,3.0085816,2.96±0.05,Data Deficient,Data Deficient,Restricted,High
Narcondam Hornbill,Rhyticeros narcondami,R,Endangered,Schedule-I,Appendix II,,,,,,,,,,9.00E-04,9.00E-04,9.00E-04,0,Data Deficient,Data Deficient,Restricted,High
Common Kingfisher,Alcedo atthis,R,Least Concern,Schedule-IV,,,-18.82494164,-29.7112569,-7.93862638,-18.82±10.89,-8.580589057,-10.24446483,-6.916713288,-8.58±1.66,183.1182754,183.0005754,183.2359754,183.12±0.12,Stable,Strong Decline,Very Large,Low
Blue-eared Kingfisher,Alcedo meninting,R,Least Concern,Schedule-IV,,,,,,,-6.78545383,-18.79869377,5.22778611,-6.79±12.01,12.4875463,12.4278463,12.5472463,12.49±0.06,Data Deficient,Uncertain,Moderate,Low
Oriental Dwarf Kingfisher,Ceyx erithaca,LM,Least Concern,Schedule-IV,,,,,,,17.71802679,-45.57210716,81.00816074,17.72±63.29,2.5743137,2.5222137,2.6264137,2.57±0.05,Data Deficient,Uncertain,Restricted,Moderate
Stork-billed Kingfisher,Pelargopsis capensis,R,Least Concern,Schedule-IV,,,-8.833014022,-41.25338136,23.58735332,-8.83±32.42,-4.298681099,-9.616876704,1.019514506,-4.3±5.32,43.9132267,43.8484267,43.9780267,43.91±0.06,Uncertain,Uncertain,Large,Low
White-throated Kingfisher,Halcyon smyrnensis,R,Least Concern,Schedule-IV,,,28.19945049,16.01018755,40.38871343,28.2±12.19,-2.72213848,-4.07057763,-1.37369933,-2.72±1.35,217.4524156,217.3796156,217.5252156,217.45±0.07,Stable,Moderate Decline,Very Large,Low
Black-capped Kingfisher,Halcyon pileata,W/P,Least Concern,Schedule-IV,,,-85.04942037,-96.48943246,-73.60940828,-85.05±11.44,-5.751066239,-16.98677664,5.484644161,-5.75±11.24,8.5182291,8.4729291,8.5635291,8.52±0.05,Strong Decline,Uncertain,Moderate,Moderate
