"sl","Common.Name","Scientific.Name","eBird.English.Name.2018","eBird.English.Name.2019","eBird.species.group","order","family","IUCN","WLPA.Schedule","Long.Term.Analysis","Current.Analysis","Long.Term.Trend","Long.Term.Trend.CI","Current.Annual.Change","Current.Annual.Change.CI","Range.Size","Range.Size.CI","Long.Term.Status","Current.Status","Range.Status","Concern.Status","Migratory.Status","Diet.Category","Waterbirds","Raptors","Raptors.Scavengers","Raptors.Composite","Waterbirds.Composite","Habitat.Composite","Endemics.Composite","Diet.Composite"
64,"Speckled Wood Pigeon","Columba hodgsonii","Speckled Wood-Pigeon","Speckled Wood-Pigeon","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","","X",NA,NA,-12.72092975,26.1225774,7.5948535,0.0731999999999999,"Data Deficient","Uncertain","Moderate","Low","Resident","FruiNect","","","","","","Forests","","Fruit-Nectar"
65,"Ashy Wood Pigeon","Columba pulchricollis","Ashy Wood-Pigeon","Ashy Wood-Pigeon","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,2.1100197,0.0768999999999997,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","FruiNect","","","","","","Forests","","Fruit-Nectar"
66,"Nilgiri Wood Pigeon","Columba elphinstonii","Nilgiri Wood-Pigeon","Nilgiri Wood-Pigeon","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Vulnerable","Schedule-IV","X","X",-28.55191043,42.45681185,10.63496428,13.91251874,10.9435872,0.0492000000000008,"Uncertain","Uncertain","Moderate","Moderate","Resident","FruiNect","","","","","","Forests","Western-Ghats","Fruit-Nectar"
67,"Pale-capped Pigeon","Columba punicea","Pale-capped Pigeon","Pale-capped Pigeon","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Vulnerable","Schedule-IV","","",NA,NA,NA,NA,1.8712368,0.0673000000000001,"Data Deficient","Data Deficient","Restricted","High","Resident","PlantSeed","","","","","","Generalists","","Plant-Seed"
68,"Andaman Wood Pigeon","Columba palumboides","Andaman Wood-Pigeon","Andaman Wood-Pigeon","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Near Threatened","Schedule-IV","","",NA,NA,NA,NA,0.4942783,0.0627,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","FruiNect","","","","","","Forests","","Fruit-Nectar"
69,"Oriental Turtle Dove","Streptopelia orientalis","Oriental Turtle-Dove","Oriental Turtle-Dove","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","X","X",-26.19400722,24.25526009,1.6027475,6.151821276,23.2414483,0.0577000000000005,"Stable","Uncertain","Moderate","Low","Resident","PlantSeed","","","","","","Generalists","Resident-Non-Endemics","Plant-Seed"
70,"Eurasian Collared Dove","Streptopelia decaocto","Eurasian Collared-Dove","Eurasian Collared-Dove","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","X","X",-6.987613329,16.14644418,2.74143269,3.23399411,188.1202716,0.0751999999999953,"Stable","Uncertain","Very Large","Low","Resident","PlantSeed","","","","","","Generalists","Resident-Non-Endemics","Plant-Seed"
71,"Red Collared Dove","Streptopelia tranquebarica","Red Collared-Dove","Red Collared-Dove","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","X","X",-54.33117243,11.08859897,-3.660840581,3.819621352,122.0231965,0.102000000000004,"Moderate Decline","Uncertain","Very Large","Moderate","Resident","PlantSeed","","","","","","Generalists","Resident-Non-Endemics","Plant-Seed"
72,"Spotted Dove","Streptopelia chinensis","Spotted Dove","Spotted Dove","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","X","X",17.16874474,15.22528549,-2.085838872,1.988433563,200.6743278,0.0769000000000233,"Stable","Stable","Very Large","Low","Resident","PlantSeed","","","","","","Generalists","Resident-Non-Endemics","Plant-Seed"
73,"Laughing Dove","Streptopelia senegalensis","Laughing Dove","Laughing Dove","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","X","X",8.498243531,18.69151132,-1.270795273,2.904130447,181.2654337,0.0622000000000185,"Stable","Uncertain","Very Large","Low","Resident","PlantSeed","","","","","","Generalists","Resident-Non-Endemics","Plant-Seed"
74,"Barred Cuckoo Dove","Macropygia unchall","Barred Cuckoo-Dove","Barred Cuckoo-Dove","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","","X",NA,NA,4.59796184,79.21033728,7.3495345,0.0926999999999998,"Data Deficient","Uncertain","Moderate","Low","Resident","PlantSeed","","","","","","Forests","","Plant-Seed"
75,"Andaman Cuckoo Dove","Macropygia rufipennis","Andaman Cuckoo-Dove","Andaman Cuckoo-Dove","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,0.6066314,0.00449999999999995,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","FruiNect","","","","","","Forests","","Fruit-Nectar"
76,"Asian Emerald Dove","Chalcophaps indica","Asian Emerald Dove","Asian Emerald Dove","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","X","X",-27.48050935,22.72046814,-0.046356189,5.386903992,48.3987975,0.0666000000000011,"Stable","Uncertain","Large","Low","Resident","Omnivore","","","","","","Forests","Resident-Non-Endemics","Omnivorous"
77,"Orange-breasted Green Pigeon","Treron bicinctus","Orange-breasted Pigeon","Orange-breasted Green-Pigeon","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","","X",NA,NA,-8.128651314,9.584735876,21.2435486,0.0910000000000011,"Data Deficient","Uncertain","Moderate","Low","Resident","FruiNect","","","","","","Generalists","","Fruit-Nectar"
78,"Grey-fronted Green Pigeon","Treron affinis","Gray-fronted Green-Pigeon","Gray-fronted Green-Pigeon","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","X","X",-50.77077559,28.17481513,-5.874891634,8.639125326,14.3417337,0.0363999999999987,"Uncertain","Uncertain","Moderate","Low","Resident","FruiNect","","","","","","Forests","Western-Ghats","Fruit-Nectar"
79,"Andaman Green Pigeon","Treron chloropterus","Andaman Green-Pigeon","Andaman Green-Pigeon","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Near Threatened","Schedule-IV","","X",NA,NA,-10.80852135,6.671923317,0.6241585,0.026,"Data Deficient","Strong Decline","Restricted","High","Resident","FruiNect","","","","","","Forests","","Fruit-Nectar"
80,"Yellow-legged Green Pigeon","Treron phoenicopterus","Yellow-footed Pigeon","Yellow-footed Green-Pigeon","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","X","X",74.66470985,41.49256174,2.331911583,4.093516921,129.0298234,0.0906999999999982,"Moderate Increase","Uncertain","Very Large","Low","Resident","FruiNect","","","","","","Generalists","Resident-Non-Endemics","Fruit-Nectar"
81,"Pin-tailed Green Pigeon","Treron apicauda","Pin-tailed Pigeon","Pin-tailed Green-Pigeon","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","","X",NA,NA,-1.101542182,41.97154912,8.2404477,0.0617000000000001,"Data Deficient","Uncertain","Moderate","Low","Resident","FruiNect","","","","","","Forests","","Fruit-Nectar"
82,"Wedge-tailed Green Pigeon","Treron sphenurus","Wedge-tailed Pigeon","Wedge-tailed Green-Pigeon","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","","X",NA,NA,3.826539854,13.18824926,16.5027977,0.0801000000000016,"Data Deficient","Uncertain","Moderate","Low","Resident","FruiNect","","","","","","Forests","","Fruit-Nectar"
83,"Green Imperial-Pigeon","Ducula aenea","Green Imperial-Pigeon","Green Imperial-Pigeon","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","X","X",4.059892703,51.05514897,-7.664258235,6.761703659,23.6102682,0.0493999999999986,"Uncertain","Uncertain","Moderate","Low","Resident","FruiNect","","","","","","Forests","Resident-Non-Endemics","Fruit-Nectar"
84,"Nicobar Imperial-Pigeon","Ducula nicobarica","Nicobar Imperial-Pigeon","Nicobar Imperial-Pigeon","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,0.1149693,0.0148,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","FruiNect","","","","","","Forests","","Fruit-Nectar"
85,"Mountain Imperial Pigeon","Ducula badia","Mountain Imperial-Pigeon","Mountain Imperial-Pigeon","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","X","X",-73.06526888,10.21542992,4.027019187,7.694353387,17.1185242,0.0480000000000018,"Strong Decline","Uncertain","Moderate","Moderate","Resident","FruiNect","","","","","","Forests","Resident-Non-Endemics","Fruit-Nectar"
86,"Tibetan Sandgrouse","Syrrhaptes tibetanus","Tibetan Sandgrouse","Tibetan Sandgrouse","Sandgrouse","Pterocliformes","Pteroclidae (Sandgrouse)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,2.6447048,0.1385,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","PlantSeed","","","","","","Generalists","","Plant-Seed"
87,"Chestnut-bellied Sandgrouse","Pterocles exustus","Chestnut-bellied Sandgrouse","Chestnut-bellied Sandgrouse","Sandgrouse","Pterocliformes","Pteroclidae (Sandgrouse)","Least Concern","Schedule-IV","X","X",-53.12742383,18.41535111,0.496267622,7.572007344,41.7443954,0.0764999999999958,"Moderate Decline","Uncertain","Large","Moderate","Resident","PlantSeed","","","","","","Grassland/Scrub","Resident-Non-Endemics","Plant-Seed"
88,"Painted Sandgrouse","Pterocles indicus","Painted Sandgrouse","Painted Sandgrouse","Sandgrouse","Pterocliformes","Pteroclidae (Sandgrouse)","Least Concern","Schedule-IV","","X",NA,NA,-5.542543432,10.87771296,17.2204302,0.0881000000000007,"Data Deficient","Uncertain","Moderate","Low","Resident","PlantSeed","","","","","","Grassland/Scrub","Others-Subcontinent","Plant-Seed"
89,"Great Indian Bustard","Ardeotis nigriceps","Indian Bustard","Great Indian Bustard","Bustards","Otidiformes","Otididae (Bustards)","Critically Endangered","Schedule-I","","",NA,NA,NA,NA,2.3148767,0.1163,"Data Deficient","Data Deficient","Restricted","High","Resident","Omnivore","","","","","","Grassland/Scrub","Others-Subcontinent","Omnivorous"
90,"Bengal Florican","Houbaropsis bengalensis","Bengal Florican","Bengal Florican","Bustards","Otidiformes","Otididae (Bustards)","Critically Endangered","Schedule-I","","",NA,NA,NA,NA,1.8381793,0.0690999999999999,"Data Deficient","Data Deficient","Restricted","High","Resident","Omnivore","","","","","","Wetlands","","Omnivorous"
91,"Lesser Florican","Sypheotides indicus","Lesser Florican","Lesser Florican","Bustards","Otidiformes","Otididae (Bustards)","Endangered","Schedule-I","","",NA,NA,NA,NA,3.0278956,0.0630000000000002,"Data Deficient","Data Deficient","Restricted","High","Resident","Omnivore","","","","","","Grassland/Scrub","Others-Subcontinent","Omnivorous"
92,"Andaman Coucal","Centropus andamanensis","Andaman Coucal","Andaman Coucal","Cuckoos","Cuculiformes","Cuculidae (Cuckoos)","Least Concern","Schedule-IV","","X",NA,NA,-1.771721834,4.685872245,0.5078349,0.0219,"Data Deficient","Uncertain","Restricted","Moderate","Resident","Invertebrate","","","","","","Generalists","","Invertebrate"
93,"Greater Coucal","Centropus sinensis","Greater Coucal","Greater Coucal","Cuckoos","Cuculiformes","Cuculidae (Cuckoos)","Least Concern","Schedule-IV","X","X",40.07506372,15.71841743,3.842442152,2.047797703,193.4335541,0.0769999999999982,"Stable","Strong Increase","Very Large","Low","Resident","Omnivore","","","","","","Generalists","Resident-Non-Endemics","Omnivorous"
94,"Lesser Coucal","Centropus bengalensis","Lesser Coucal","Lesser Coucal","Cuckoos","Cuculiformes","Cuculidae (Cuckoos)","Least Concern","Schedule-IV","","X",NA,NA,16.40590228,19.78320129,20.8433026,0.0687999999999995,"Data Deficient","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Wetlands","","Invertebrate"
95,"Sirkeer Malkoha","Taccocua leschenaultii","Sirkeer Malkoha","Sirkeer Malkoha","Cuckoos","Cuculiformes","Cuculidae (Cuckoos)","Least Concern","Schedule-IV","X","X",-70.92759378,9.38655016799999,-5.072348205,4.710563278,58.1832574,0.115699999999997,"Strong Decline","Uncertain","Large","Moderate","Resident","Invertebrate","","","","","","Grassland/Scrub","Others-Subcontinent","Invertebrate"
96,"Blue-faced Malkoha","Phaenicophaeus viridirostris","Blue-faced Malkoha","Blue-faced Malkoha","Cuckoos","Cuculiformes","Cuculidae (Cuckoos)","Least Concern","Schedule-IV","X","X",-11.9525409,31.7035142,-4.772564119,5.173263075,45.9158591,0.0638000000000005,"Uncertain","Uncertain","Large","Low","Resident","Invertebrate","","","","","","Grassland/Scrub","Others-Subcontinent","Invertebrate"
97,"Green-billed Malkoha","Phaenicophaeus tristis","Green-billed Malkoha","Green-billed Malkoha","Cuckoos","Cuculiformes","Cuculidae (Cuckoos)","Least Concern","Schedule-IV","X","X",24.32694829,71.69390171,4.507549263,11.96451364,20.9831856,0.0756000000000014,"Uncertain","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Forests","Resident-Non-Endemics","Invertebrate"
98,"Pied Cuckoo","Clamator jacobinus","Pied Cuckoo","Pied Cuckoo","Cuckoos","Cuculiformes","Cuculidae (Cuckoos)","Least Concern","Schedule-IV","X","X",-39.22961137,15.35572441,-2.224564543,4.034249144,67.9685595,0.102800000000002,"Stable","Uncertain","Large","Low","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
99,"Asian Koel","Eudynamys scolopaceus","Asian Koel","Asian Koel","Cuckoos","Cuculiformes","Cuculidae (Cuckoos)","Least Concern","Schedule-IV","X","X",59.44938911,19.62903049,5.351202332,2.303397302,186.1961492,0.0785999999999945,"Moderate Increase","Strong Increase","Very Large","Low","Resident","FruiNect","","","","","","Generalists","Resident-Non-Endemics","Fruit-Nectar"
100,"Banded Bay Cuckoo","Cacomantis sonneratii","Banded Bay Cuckoo","Banded Bay Cuckoo","Cuckoos","Cuculiformes","Cuculidae (Cuckoos)","Least Concern","Schedule-IV","X","X",-59.50815228,16.23852325,8.709995512,9.049264429,30.3636128,0.0932000000000031,"Moderate Decline","Uncertain","Large","Moderate","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
101,"Plaintive Cuckoo","Cacomantis merulinus","Plaintive Cuckoo","Plaintive Cuckoo","Cuckoos","Cuculiformes","Cuculidae (Cuckoos)","Least Concern","Schedule-IV","","X",NA,NA,-11.69630989,13.2901283,2.8650172,0.0834000000000001,"Data Deficient","Uncertain","Restricted","Moderate","Resident","Invertebrate","","","","","","Generalists","","Invertebrate"
102,"Grey-bellied Cuckoo","Cacomantis passerinus","Gray-bellied Cuckoo","Gray-bellied Cuckoo","Cuckoos","Cuculiformes","Cuculidae (Cuckoos)","Least Concern","Schedule-IV","X","X",-12.79359933,26.08273421,3.672918435,5.74051496,88.9977786,0.151499999999999,"Uncertain","Uncertain","Large","Low","Resident","Invertebrate","","","","","","Generalists","Others-Subcontinent","Invertebrate"
103,"Fork-tailed Drongo Cuckoo","Surniculus dicruroides","Fork-tailed Drongo-Cuckoo","Fork-tailed Drongo-Cuckoo","Cuckoos","Cuculiformes","Cuculidae (Cuckoos)","Least Concern","Schedule-IV","","X",NA,NA,-5.539844683,16.88362185,5.0003648,0.0842000000000001,"Data Deficient","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Generalists","","Invertebrate"
104,"Square-tailed Drongo Cuckoo","Surniculus lugubris","Square-tailed Drongo-Cuckoo","Square-tailed Drongo-Cuckoo","Cuckoos","Cuculiformes","Cuculidae (Cuckoos)","Least Concern","Schedule-IV","","X",NA,NA,1.509636706,30.15778154,7.3234996,0.1234,"Data Deficient","Uncertain","Moderate","Low","Migratory-Long-Distance","Invertebrate","","","","","","Generalists","","Invertebrate"
105,"Large Hawk Cuckoo","Hierococcyx sparverioides","Large Hawk-Cuckoo","Large Hawk-Cuckoo","Cuckoos","Cuculiformes","Cuculidae (Cuckoos)","Least Concern","Schedule-IV","X","X",-42.61104656,60.72994695,-3.080037978,16.32324657,6.6808378,0.0938999999999997,"Uncertain","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Forests","Resident-Non-Endemics","Invertebrate"
106,"Common Hawk Cuckoo","Hierococcyx varius","Common Hawk-Cuckoo","Common Hawk-Cuckoo","Cuckoos","Cuculiformes","Cuculidae (Cuckoos)","Least Concern","Schedule-IV","X","X",-36.28824685,10.23995078,-3.390163204,2.465088921,159.3568466,0.114299999999986,"Moderate Decline","Uncertain","Very Large","Moderate","Resident","Invertebrate","","","","","","Generalists","Others-Subcontinent","Invertebrate"
107,"Lesser Cuckoo","Cuculus poliocephalus","Lesser Cuckoo","Lesser Cuckoo","Cuckoos","Cuculiformes","Cuculidae (Cuckoos)","Least Concern","Schedule-IV","","X",NA,NA,-17.9638933,12.02983291,7.13088,0.134799999999999,"Data Deficient","Strong Decline","Moderate","Moderate","Migratory-Local","Invertebrate","","","","","","Forests","","Invertebrate"
108,"Indian Cuckoo","Cuculus micropterus","Indian Cuckoo","Indian Cuckoo","Cuckoos","Cuculiformes","Cuculidae (Cuckoos)","Least Concern","Schedule-IV","X","X",-56.77903707,21.81769905,-10.15563347,6.182120599,27.5698472,0.0669999999999966,"Moderate Decline","Strong Decline","Large","Moderate","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
109,"Himalayan Cuckoo","Cuculus saturatus","Himalayan Cuckoo","Himalayan Cuckoo","Cuckoos","Cuculiformes","Cuculidae (Cuckoos)","Least Concern","Schedule-IV","","X",NA,NA,-9.057814296,7.264461964,7.5513054,0.0587,"Data Deficient","Moderate Decline","Moderate","Moderate","Migratory-Local","Invertebrate","","","","","","Forests","","Invertebrate"
110,"Common Cuckoo","Cuculus canorus","Common Cuckoo","Common Cuckoo","Cuckoos","Cuculiformes","Cuculidae (Cuckoos)","Least Concern","Schedule-IV","X","X",-63.78587332,16.72214051,-8.626514072,5.942571717,37.3311309,0.0789000000000044,"Moderate Decline","Moderate Decline","Large","Moderate","Migratory-Local","Invertebrate","","","","","","Generalists","","Invertebrate"
111,"White-rumped Spinetail","Zoonavena sylvatica","White-rumped Needletail","White-rumped Needletail","Swifts","Caprimulgiformes","Apodidae (Swifts)","Least Concern","Schedule-IV","X","X",-76.5324056,11.24136429,-6.188194956,6.712704169,23.4585118,0.0725000000000016,"Strong Decline","Uncertain","Moderate","Moderate","Resident","Invertebrate","","","","","","Forests","Others-Subcontinent","Invertebrate"
112,"Brown-backed Needletail","Hirundapus giganteus","Brown-backed Needletail","Brown-backed Needletail","Swifts","Caprimulgiformes","Apodidae (Swifts)","Least Concern","Schedule-IV","X","X",-64.71277344,26.54512531,-10.70119918,8.759594994,14.0272249,0.0517000000000003,"Moderate Decline","Moderate Decline","Moderate","Moderate","Resident","Invertebrate","","","","","","Forests","Resident-Non-Endemics","Invertebrate"
113,"Glossy Swiftlet","Collocalia esculenta","Plume-toed Swiftlet","Plume-toed Swiftlet","Swifts","Caprimulgiformes","Apodidae (Swifts)","Least Concern","Schedule-IV","","X",NA,NA,-3.440960086,4.09763909,0.6150562,0.00319999999999998,"Data Deficient","Uncertain","Very Restricted","High","Resident","Invertebrate","","","","","","Generalists","","Invertebrate"
114,"Indian Swiftlet","Aerodramus unicolor","Indian Swiftlet","Indian Swiftlet","Swifts","Caprimulgiformes","Apodidae (Swifts)","Least Concern","Schedule-I","X","X",-24.61004036,45.17219007,-3.229720841,8.801444141,12.0546419,0.0326000000000004,"Uncertain","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Forests","Western-Ghats","Invertebrate"
115,"Himalayan Swiftlet","Aerodramus brevirostris","Himalayan Swiftlet","Himalayan Swiftlet","Swifts","Caprimulgiformes","Apodidae (Swifts)","Least Concern","Schedule-IV","X","X",-77.52145134,14.02311279,-8.817329114,8.671488289,19.5119691,0.197399999999998,"Strong Decline","Uncertain","Moderate","Moderate","Resident","Invertebrate","","","","","","Forests","Resident-Non-Endemics","Invertebrate"
116,"Alpine Swift","Tachymarptis melba","Alpine Swift","Alpine Swift","Swifts","Caprimulgiformes","Apodidae (Swifts)","Least Concern","Schedule-IV","X","X",-45.70556014,21.17921881,1.096719775,7.202856385,14.9386648,0.101700000000001,"Stable","Uncertain","Moderate","Low","Resident","Invertebrate","","","","","","Forests","Resident-Non-Endemics","Invertebrate"
117,"Blyth's Swift","Apus leuconyx","Blyth's Swift","Blyth's Swift","Swifts","Caprimulgiformes","Apodidae (Swifts)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,1.2359222,0.0940999999999999,"Data Deficient","Data Deficient","Restricted","Moderate","Migratory-Local","Invertebrate","","","","","","Forests","","Invertebrate"
118,"Dark-rumped Swift","Apus acuticauda","Dark-rumped Swift","Dark-rumped Swift","Swifts","Caprimulgiformes","Apodidae (Swifts)","Vulnerable","Schedule-IV","","",NA,NA,NA,NA,2.4099894,0.1287,"Data Deficient","Data Deficient","Restricted","High","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
