"sl","Common.Name","Scientific.Name","eBird.English.Name.2018","eBird.English.Name.2019","eBird.species.group","order","family","IUCN","WLPA.Schedule","Long.Term.Analysis","Current.Analysis","Long.Term.Trend","Long.Term.Trend.CI","Current.Annual.Change","Current.Annual.Change.CI","Range.Size","Range.Size.CI","Long.Term.Status","Current.Status","Range.Status","Concern.Status","Migratory.Status","Diet.Category","Waterbirds","Raptors","Raptors.Scavengers","Raptors.Composite","Waterbirds.Composite","Habitat.Composite","Endemics.Composite","Diet.Composite"
44,"Red Junglefowl","Gallus gallus","Red Junglefowl","Red Junglefowl","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-IV","X","X",-16.36415242,29.12194434,2.309657711,6.414148188,37.5486149,0.0678000000000054,"Uncertain","Uncertain","Large","Low","Resident","Omnivore","","","","","","Forests","Resident-Non-Endemics","Omnivorous"
45,"Grey Junglefowl","Gallus sonneratii","Gray Junglefowl","Gray Junglefowl","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-IV","X","X",-30.62848032,25.89262804,-4.900933205,5.484785466,33.8482206,0.0426000000000002,"Uncertain","Uncertain","Large","Low","Resident","Omnivore","","","","","","Forests","Others-Subcontinent","Omnivorous"
46,"Blood Pheasant","Ithaginis cruentus","Blood Pheasant","Blood Pheasant","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-I","","",NA,NA,NA,NA,1.1155538,0.0503,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","PlantSeed","","","","","","Forests","","Plant-Seed"
47,"Himalayan Monal","Lophophorus impejanus","Himalayan Monal","Himalayan Monal","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-I","","X",NA,NA,6.598082481,28.70816331,7.6153711,0.0548000000000002,"Data Deficient","Uncertain","Moderate","Low","Resident","PlantSeed","","","","","","Forests","","Plant-Seed"
48,"Sclater's Monal","Lophophorus sclateri","Sclater's Monal","Sclater's Monal","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Vulnerable","Schedule-I","","",NA,NA,NA,NA,0.125,0,"Data Deficient","Data Deficient","Very Restricted","High","Resident","PlantSeed","","","","","","Grassland/Scrub","","Plant-Seed"
49,"Snow Partridge","Lerwa lerwa","Snow Partridge","Snow Partridge","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,2.8632239,0.0767000000000002,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","PlantSeed","","","","","","Grassland/Scrub","","Plant-Seed"
50,"Western Tragopan","Tragopan melanocephalus","Western Tragopan","Western Tragopan","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Vulnerable","Schedule-I","","",NA,NA,NA,NA,0.3125,0,"Data Deficient","Data Deficient","Very Restricted","High","Resident","PlantSeed","","","","","","Forests","","Plant-Seed"
51,"Satyr Tragopan","Tragopan satyra","Satyr Tragopan","Satyr Tragopan","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Near Threatened","Schedule-I","","",NA,NA,NA,NA,1.6482481,0.0864,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","PlantSeed","","","","","","Forests","","Plant-Seed"
52,"Blyth's Tragopan","Tragopan blythii","Blyth's Tragopan","Blyth's Tragopan","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Vulnerable","Schedule-I","","",NA,NA,NA,NA,1.214276,0.0824,"Data Deficient","Data Deficient","Restricted","High","Resident","Omnivore","","","","","","Forests","","Omnivorous"
53,"Cheer Pheasant","Catreus wallichii","Cheer Pheasant","Cheer Pheasant","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Vulnerable","Schedule-I","","",NA,NA,NA,NA,2.7876262,0.0741000000000001,"Data Deficient","Data Deficient","Restricted","High","Resident","PlantSeed","","","","","","Grassland/Scrub","","Plant-Seed"
