eBird English Name 2018,eBird Scientific Name 2018,India Checklist Name,India Scientific Name,eBird English Name 2019,eBird Scientific Name 2019,IUCN,Schedule,CITES Appendix,CMS Appendix
Silver-eared Mesia,Leiothrix argentauris,Silver-eared Mesia,Leiothrix argentauris,Silver-eared Mesia,Leiothrix argentauris,Least Concern,Schedule-IV,Appendix II,Appendix II
Red-billed Leiothrix,Leiothrix lutea,Red-billed Leiothrix,Leiothrix lutea,Red-billed Leiothrix,Leiothrix lutea,Least Concern,Schedule-IV,Appendix II,Appendix II
Red-tailed Minla,Minla ignotincta,Red-tailed Minla,Minla ignotincta,Red-tailed Minla,Minla ignotincta,Least Concern,Schedule-IV,,Appendix II
Rufous-backed Sibia,Minla annectens,Rufous-backed Sibia,Leioptila annectens,Rufous-backed Sibia,Minla annectens,Least Concern,Schedule-IV,,Appendix II
Bugun Liocichla,Liocichla bugunorum,Bugun Liocichla,Liocichla bugunorum,Bugun Liocichla,Liocichla bugunorum,Critically Endangered,Schedule-IV,,Appendix II
Red-faced Liocichla,Liocichla phoenicea,Red-faced Liocichla,Liocichla phoenicea,Red-faced Liocichla,Liocichla phoenicea,Least Concern,Schedule-IV,,Appendix II
Hoary-throated Barwing,Actinodura nipalensis,Hoary-throated Barwing,Sibia nipalensis,Hoary-throated Barwing,Actinodura nipalensis,Least Concern,Schedule-IV,,Appendix II
Streak-throated Barwing,Actinodura waldeni,Streak-throated Barwing,Sibia waldeni,Streak-throated Barwing,Actinodura waldeni,Least Concern,Schedule-IV,,Appendix II
Rusty-fronted Barwing,Actinodura egertoni,Rusty-fronted Barwing,Actinodura egertoni,Rusty-fronted Barwing,Actinodura egertoni,Least Concern,Schedule-IV,,Appendix II
Blue-winged Minla,Actinodura cyanouroptera,Blue-winged Minla,Siva cyanouroptera,Blue-winged Minla,Actinodura cyanouroptera,Least Concern,Schedule-IV,,Appendix II
Chestnut-tailed Minla,Actinodura strigula,Chestnut-tailed Minla,Chrysominla strigula,Chestnut-tailed Minla,Actinodura strigula,Least Concern,Schedule-IV,,Appendix II
Asian Fairy-bluebird,Irena puella,Asian Fairy-bluebird,Irena puella,Asian Fairy-bluebird,Irena puella,Least Concern,Schedule-IV,,
Dark-sided Flycatcher,Muscicapa sibirica,Dark-sided Flycatcher,Muscicapa sibirica,Dark-sided Flycatcher,Muscicapa sibirica,Least Concern,Schedule-IV,,Appendix II
Ferruginous Flycatcher,Muscicapa ferruginea,Ferruginous Flycatcher,Muscicapa ferruginea,Ferruginous Flycatcher,Muscicapa ferruginea,Least Concern,Schedule-IV,,Appendix II
Asian Brown Flycatcher,Muscicapa dauurica,Asian Brown Flycatcher,Muscicapa dauurica,Asian Brown Flycatcher,Muscicapa dauurica,Least Concern,Schedule-IV,,Appendix II
Brown-breasted Flycatcher,Muscicapa muttui,Brown-breasted Flycatcher,Muscicapa muttui,Brown-breasted Flycatcher,Muscicapa muttui,Least Concern,Schedule-IV,,Appendix II
Spotted Flycatcher,Muscicapa striata,Spotted Flycatcher,Muscicapa striata,Spotted Flycatcher,Muscicapa striata,Least Concern,Schedule-IV,,Appendix II
Rufous-tailed Scrub-Robin,Cercotrichas galactotes,Rufous-tailed Scrub Robin,Cercotrichas galactotes,Rufous-tailed Scrub-Robin,Cercotrichas galactotes,Least Concern,Schedule-IV,,Appendix II
Indian Robin,Copsychus fulicatus,Indian Robin,Saxicoloides fulicatus,Indian Robin,Copsychus fulicatus,Least Concern,Schedule-IV,,Appendix II
Oriental Magpie-Robin,Copsychus saularis,Oriental Magpie Robin,Copsychus saularis,Oriental Magpie-Robin,Copsychus saularis,Least Concern,Schedule-IV,,Appendix II
White-rumped Shama,Copsychus malabaricus,White-rumped Shama,Kittacincla malabarica,White-rumped Shama,Copsychus malabaricus,Least Concern,Schedule-IV,,Appendix II
Andaman Shama,Copsychus albiventris,Andaman Shama,Kittacincla albiventris,Andaman Shama,Copsychus albiventris,Least Concern,Schedule-IV,,Appendix II
White-gorgeted Flycatcher,Anthipes monileger,White-gorgeted Flycatcher,Anthipes monileger,White-gorgeted Flycatcher,Anthipes monileger,Least Concern,Schedule-IV,,Appendix II
Nilgiri Sholakili,Sholicola major,Nilgiri Sholakili,Sholicola major,Nilgiri Sholakili,Sholicola major,Endangered,Schedule-IV,,Appendix II
White-bellied Sholakili,Sholicola albiventris,White-bellied Sholakili,Sholicola albiventris,White-bellied Sholakili,Sholicola albiventris,Vulnerable,Schedule-IV,,Appendix II
White-tailed Flycatcher,Cyornis concretus,White-tailed Blue Flycatcher,Cyornis concretus,White-tailed Flycatcher,Cyornis concretus,Least Concern,Schedule-IV,,Appendix II
White-bellied Blue Flycatcher,Cyornis pallidipes,White-bellied Blue Flycatcher,Cyornis pallidipes,White-bellied Blue Flycatcher,Cyornis pallidipes,Least Concern,Schedule-IV,,Appendix II
Pale-chinned Blue Flycatcher,Cyornis poliogenys,Pale-chinned Flycatcher,Cyornis poliogenys,Pale-chinned Blue Flycatcher,Cyornis poliogenys,Least Concern,Schedule-IV,,Appendix II
Pale Blue Flycatcher,Cyornis unicolor,Pale Blue Flycatcher,Cyornis unicolor,Pale Blue Flycatcher,Cyornis unicolor,Least Concern,Schedule-IV,,Appendix II
Blue-throated Flycatcher,Cyornis rubeculoides,Blue-throated Flycatcher,Cyornis rubeculoides,Blue-throated Flycatcher,Cyornis rubeculoides,Least Concern,Schedule-IV,,Appendix II
Large Blue Flycatcher,Cyornis magnirostris,Large Blue Flycatcher,Cyornis magnirostris,Large Blue Flycatcher,Cyornis magnirostris,Least Concern,Schedule-IV,,Appendix II
Hill Blue Flycatcher,Cyornis banyumas,Hill Blue Flycatcher,Cyornis banyumas,Hill Blue Flycatcher,Cyornis banyumas,Least Concern,Schedule-IV,,Appendix II
Tickell's Blue Flycatcher,Cyornis tickelliae,Tickell's Blue Flycatcher,Cyornis tickelliae,Tickell's Blue Flycatcher,Cyornis tickelliae,Least Concern,Schedule-IV,,Appendix II
Nicobar Jungle-Flycatcher,Cyornis nicobaricus,Nicobar Jungle Flycatcher,Cyornis nicobaricus,Nicobar Jungle-Flycatcher,Cyornis nicobaricus,Near Threatened,Schedule-IV,,Appendix II
Large Niltava,Niltava grandis,Large Niltava,Niltava grandis,Large Niltava,Niltava grandis,Least Concern,Schedule-IV,,Appendix II
Small Niltava,Niltava macgrigoriae,Small Niltava,Niltava macgrigoriae,Small Niltava,Niltava macgrigoriae,Least Concern,Schedule-IV,,Appendix II
Rufous-bellied Niltava,Niltava sundara,Rufous-bellied Niltava,Niltava sundara,Rufous-bellied Niltava,Niltava sundara,Least Concern,Schedule-IV,,Appendix II
Vivid Niltava,Niltava vivida,Vivid Niltava,Niltava vivida,Vivid Niltava,Niltava vivida,Least Concern,Schedule-IV,,Appendix II
Blue-and-white Flycatcher,Cyanoptila cyanomelana,Blue-and-white Flycatcher,Cyanoptila cyanomelana,Blue-and-white Flycatcher,Cyanoptila cyanomelana,Least Concern,Schedule-IV,,Appendix II
Zappey's Flycatcher,Cyanoptila cumatilis,Zappey's Flycatcher,Cyanoptila cumatilis,Zappey's Flycatcher,Cyanoptila cumatilis,Near Threatened,Schedule-IV,,Appendix II
Nilgiri Flycatcher,Eumyias albicaudatus,Nilgiri Flycatcher,Eumyias albicaudatus,Nilgiri Flycatcher,Eumyias albicaudatus,Least Concern,Schedule-IV,,Appendix II
Verditer Flycatcher,Eumyias thalassinus,Verditer Flycatcher,Eumyias thalassinus,Verditer Flycatcher,Eumyias thalassinus,Least Concern,Schedule-IV,,Appendix II
Rusty-bellied Shortwing,Brachypteryx hyperythra,Rusty-bellied Shortwing,Brachypteryx hyperythra,Rusty-bellied Shortwing,Brachypteryx hyperythra,Near Threatened,Schedule-IV,,Appendix II
Gould's Shortwing,Brachypteryx stellata,Gould's Shortwing,Heteroxenicus stellatus,Gould's Shortwing,Brachypteryx stellata,Least Concern,Schedule-IV,,Appendix II
Lesser Shortwing,Brachypteryx leucophris,Lesser Shortwing,Brachypteryx leucophris,Lesser Shortwing,Brachypteryx leucophris,Least Concern,Schedule-IV,,Appendix II
White-browed Shortwing,Brachypteryx montana,White-browed Shortwing,Brachypteryx montana,White-browed Shortwing,Brachypteryx montana,Least Concern,Schedule-IV,,Appendix II
Indian Blue Robin,Larvivora brunnea,Indian Blue Robin,Larvivora brunnea,Indian Blue Robin,Larvivora brunnea,Least Concern,Schedule-IV,,Appendix II
Siberian Blue Robin,Larvivora cyane,Siberian Blue Robin,Larvivora cyane,Siberian Blue Robin,Larvivora cyane,Least Concern,Schedule-IV,,Appendix II
White-bellied Redstart,Luscinia phaenicuroides,Hodgson's Blue Robin,Luscinia phaenicuroides,White-bellied Redstart,Luscinia phaenicuroides,Least Concern,Schedule-IV,,Appendix II
Bluethroat,Luscinia svecica,Bluethroat,Luscinia svecica,Bluethroat,Luscinia svecica,Least Concern,Schedule-IV,,Appendix II
Malabar Whistling-Thrush,Myophonus horsfieldii,Malabar Whistling Thrush,Myophonus horsfieldii,Malabar Whistling-Thrush,Myophonus horsfieldii,Least Concern,Schedule-IV,,Appendix II
Blue Whistling-Thrush,Myophonus caeruleus,Blue Whistling Thrush,Myophonus caeruleus,Blue Whistling-Thrush,Myophonus caeruleus,Least Concern,Schedule-IV,,Appendix II
Little Forktail,Enicurus scouleri,Little Forktail,Enicurus scouleri,Little Forktail,Enicurus scouleri,Least Concern,Schedule-IV,,Appendix II
White-crowned Forktail,Enicurus leschenaulti,White-crowned Forktail,Enicurus leschenaulti,White-crowned Forktail,Enicurus leschenaulti,Least Concern,Schedule-IV,,Appendix II
Spotted Forktail,Enicurus maculatus,Spotted Forktail,Enicurus maculatus,Spotted Forktail,Enicurus maculatus,Least Concern,Schedule-IV,,Appendix II
Black-backed Forktail,Enicurus immaculatus,Black-backed Forktail,Enicurus immaculatus,Black-backed Forktail,Enicurus immaculatus,Least Concern,Schedule-IV,,Appendix II
Slaty-backed Forktail,Enicurus schistaceus,Slaty-backed Forktail,Enicurus schistaceus,Slaty-backed Forktail,Enicurus schistaceus,Least Concern,Schedule-IV,,Appendix II
Firethroat,Calliope pectardens,Firethroat,Calliope pectardens,Firethroat,Calliope pectardens,Near Threatened,Schedule-IV,,Appendix II
Siberian Rubythroat,Calliope calliope,Siberian Rubythroat,Calliope calliope,Siberian Rubythroat,Calliope calliope,Least Concern,Schedule-IV,,Appendix II
Himalayan Rubythroat,Calliope pectoralis,Himalayan Rubythroat,Calliope pectoralis,Himalayan Rubythroat,Calliope pectoralis,Least Concern,Schedule-IV,,Appendix II
Chinese Rubythroat,Calliope tschebaiewi,Chinese Rubythroat,Calliope tschebaiewi,Chinese Rubythroat,Calliope tschebaiewi,Least Concern,Schedule-IV,,Appendix II
White-tailed Robin,Myiomela leucura,White-tailed Robin,Myiomela leucura,White-tailed Robin,Myiomela leucura,Least Concern,Schedule-IV,,Appendix II
Blue-fronted Robin,Cinclidium frontale,Blue-fronted Robin,Cinclidium frontale,Blue-fronted Robin,Cinclidium frontale,Least Concern,Schedule-IV,,Appendix II
Red-flanked Bluetail,Tarsiger cyanurus,Red-flanked Bush Robin,Tarsiger cyanurus,Red-flanked Bluetail,Tarsiger cyanurus,Least Concern,Schedule-IV,,Appendix II
Himalayan Bluetail,Tarsiger rufilatus,Himalayan Bush Robin,Tarsiger rufilatus,Himalayan Bluetail,Tarsiger rufilatus,Least Concern,Schedule-IV,,Appendix II
Rufous-breasted Bush-Robin,Tarsiger hyperythrus,Rufous-breasted Bush Robin,Tarsiger hyperythrus,Rufous-breasted Bush-Robin,Tarsiger hyperythrus,Least Concern,Schedule-IV,,Appendix II
White-browed Bush-Robin,Tarsiger indicus,White-browed Bush Robin,Tarsiger indicus,White-browed Bush-Robin,Tarsiger indicus,Least Concern,Schedule-IV,,Appendix II
Golden Bush-Robin,Tarsiger chrysaeus,Golden Bush Robin,Tarsiger chrysaeus,Golden Bush-Robin,Tarsiger chrysaeus,Least Concern,Schedule-IV,,Appendix II
Yellow-rumped Flycatcher,Ficedula zanthopygia,Yellow-rumped Flycatcher,Ficedula zanthopygia,Yellow-rumped Flycatcher,Ficedula zanthopygia,Least Concern,Schedule-IV,,Appendix II
Mugimaki Flycatcher,Ficedula mugimaki,Mugimaki Flycatcher,Ficedula mugimaki,Mugimaki Flycatcher,Ficedula mugimaki,Least Concern,Schedule-IV,,Appendix II
Slaty-backed Flycatcher,Ficedula sordida,Slaty-backed Flycatcher,Ficedula sordida,Slaty-backed Flycatcher,Ficedula erithacus,Least Concern,Schedule-IV,,Appendix II
Black-and-orange Flycatcher,Ficedula nigrorufa,Black-and-orange Flycatcher,Ficedula nigrorufa,Black-and-orange Flycatcher,Ficedula nigrorufa,Least Concern,Schedule-IV,,Appendix II
Slaty-blue Flycatcher,Ficedula tricolor,Slaty-blue Flycatcher,Ficedula tricolor,Slaty-blue Flycatcher,Ficedula tricolor,Least Concern,Schedule-IV,,Appendix II
Snowy-browed Flycatcher,Ficedula hyperythra,Snowy-browed Flycatcher,Ficedula hyperythra,Snowy-browed Flycatcher,Ficedula hyperythra,Least Concern,Schedule-IV,,Appendix II
Pygmy Flycatcher,Ficedula hodgsoni,Pygmy Blue Flycatcher,Ficedula hodgsoni,Pygmy Flycatcher,Ficedula hodgsoni,Least Concern,Schedule-IV,,Appendix II
Rufous-gorgeted Flycatcher,Ficedula strophiata,Rufous-gorgeted Flycatcher,Ficedula strophiata,Rufous-gorgeted Flycatcher,Ficedula strophiata,Least Concern,Schedule-IV,,Appendix II
Sapphire Flycatcher,Ficedula sapphira,Sapphire Flycatcher,Ficedula sapphira,Sapphire Flycatcher,Ficedula sapphira,Least Concern,Schedule-IV,,Appendix II
Little Pied Flycatcher,Ficedula westermanni,Little Pied Flycatcher,Ficedula westermanni,Little Pied Flycatcher,Ficedula westermanni,Least Concern,Schedule-IV,,Appendix II
Ultramarine Flycatcher,Ficedula superciliaris,Ultramarine Flycatcher,Ficedula superciliaris,Ultramarine Flycatcher,Ficedula superciliaris,Least Concern,Schedule-IV,,Appendix II
Rusty-tailed Flycatcher,Ficedula ruficauda,Rusty-tailed Flycatcher,Ficedula ruficauda,Rusty-tailed Flycatcher,Ficedula ruficauda,Least Concern,Schedule-IV,,Appendix II
Taiga Flycatcher,Ficedula albicilla,Taiga Flycatcher,Ficedula albicilla,Taiga Flycatcher,Ficedula albicilla,Least Concern,Schedule-IV,,Appendix II
Kashmir Flycatcher,Ficedula subrubra,Kashmir Flycatcher,Ficedula subrubra,Kashmir Flycatcher,Ficedula subrubra,Vulnerable,Schedule-IV,,Appendix II
Red-breasted Flycatcher,Ficedula parva,Red-breasted Flycatcher,Ficedula parva,Red-breasted Flycatcher,Ficedula parva,Least Concern,Schedule-IV,,Appendix II
Blue-fronted Redstart,Phoenicurus frontalis,Blue-fronted Redstart,Phoenicurus frontalis,Blue-fronted Redstart,Phoenicurus frontalis,Least Concern,Schedule-IV,,Appendix II
Plumbeous Redstart,Phoenicurus fuliginosus,Plumbeous Water Redstart,Phoenicurus fuliginosus,Plumbeous Redstart,Phoenicurus fuliginosus,Least Concern,Schedule-IV,,Appendix II
Rufous-backed Redstart,Phoenicurus erythronotus,Eversmann's Redstart,Phoenicurus erythronotus,Rufous-backed Redstart,Phoenicurus erythronotus,Least Concern,Schedule-IV,,Appendix II
White-capped Redstart,Phoenicurus leucocephalus,White-capped Water Redstart,Phoenicurus leucocephalus,White-capped Redstart,Phoenicurus leucocephalus,Least Concern,Schedule-IV,,Appendix II
Blue-capped Redstart,Phoenicurus coeruleocephala,Blue-capped Redstart,Phoenicurus coeruleocephala,Blue-capped Redstart,Phoenicurus coeruleocephala,Least Concern,Schedule-IV,,Appendix II
Common Redstart,Phoenicurus phoenicurus,Common Redstart,Phoenicurus phoenicurus,Common Redstart,Phoenicurus phoenicurus,Least Concern,Schedule-IV,,Appendix II
Hodgson's Redstart,Phoenicurus hodgsoni,Hodgson's Redstart,Phoenicurus hodgsoni,Hodgson's Redstart,Phoenicurus hodgsoni,Least Concern,Schedule-IV,,Appendix II
White-throated Redstart,Phoenicurus schisticeps,White-throated Redstart,Phoenicurus schisticeps,White-throated Redstart,Phoenicurus schisticeps,Least Concern,Schedule-IV,,Appendix II
White-winged Redstart,Phoenicurus erythrogastrus,White-winged Redstart,Phoenicurus erythrogastrus,White-winged Redstart,Phoenicurus erythrogastrus,Least Concern,Schedule-IV,,Appendix II
Black Redstart,Phoenicurus ochruros,Black Redstart,Phoenicurus ochruros,Black Redstart,Phoenicurus ochruros,Least Concern,Schedule-IV,,Appendix II
Daurian Redstart,Phoenicurus auroreus,Daurian Redstart,Phoenicurus auroreus,Daurian Redstart,Phoenicurus auroreus,Least Concern,Schedule-IV,,Appendix II
Chestnut-bellied Rock-Thrush,Monticola rufiventris,Chestnut-bellied Rock Thrush,Monticola rufiventris,Chestnut-bellied Rock-Thrush,Monticola rufiventris,Least Concern,Schedule-IV,,Appendix II
Blue-capped Rock-Thrush,Monticola cinclorhyncha,Blue-capped Rock Thrush,Monticola cinclorhyncha,Blue-capped Rock-Thrush,Monticola cinclorhyncha,Least Concern,Schedule-IV,,Appendix II
Rufous-tailed Rock-Thrush,Monticola saxatilis,Rufous-tailed Rock Thrush,Monticola saxatilis,Rufous-tailed Rock-Thrush,Monticola saxatilis,Least Concern,Schedule-IV,,Appendix II
Blue Rock-Thrush,Monticola solitarius,Blue Rock Thrush,Monticola solitarius,Blue Rock-Thrush,Monticola solitarius,Least Concern,Schedule-IV,,Appendix II
White-browed Bushchat,Saxicola macrorhynchus,Stoliczka's Bushchat,Saxicola macrorhynchus,White-browed Bushchat,Saxicola macrorhynchus,Vulnerable,Schedule-IV,,Appendix II
White-throated Bushchat,Saxicola insignis,Hodgson's Bushchat,Saxicola insignis,White-throated Bushchat,Saxicola insignis,Vulnerable,Schedule-IV,,Appendix II
Siberian Stonechat,Saxicola maurus,Siberian Stonechat,Saxicola maurus,Siberian Stonechat,Saxicola maurus,Least Concern,Schedule-IV,,Appendix II
White-tailed Stonechat,Saxicola leucurus,White-tailed Stonechat,Saxicola leucurus,White-tailed Stonechat,Saxicola leucurus,Least Concern,Schedule-IV,,Appendix II
Pied Bushchat,Saxicola caprata,Pied Bushchat,Saxicola caprata,Pied Bushchat,Saxicola caprata,Least Concern,Schedule-IV,,Appendix II
Jerdon's Bushchat,Saxicola jerdoni,Jerdon's Bushchat,Saxicola jerdoni,Jerdon's Bushchat,Saxicola jerdoni,Least Concern,Schedule-IV,,Appendix II
Gray Bushchat,Saxicola ferreus,Grey Bushchat,Saxicola ferreus,Gray Bushchat,Saxicola ferreus,Least Concern,Schedule-IV,,Appendix II
Indian Chat,Cercomela fusca,Brown Rock Chat,Oenanthe fusca,Brown Rock Chat,Oenanthe fusca,Least Concern,Schedule-IV,,Appendix II
Hume's Wheatear,Oenanthe albonigra,Hume's Wheatear,Oenanthe albonigra,Hume's Wheatear,Oenanthe albonigra,Least Concern,Schedule-IV,,Appendix II
Northern Wheatear,Oenanthe oenanthe,Northern Wheatear,Oenanthe oenanthe,Northern Wheatear,Oenanthe oenanthe,Least Concern,Schedule-IV,,Appendix II
Finsch's Wheatear,Oenanthe finschii,Finsch's Wheatear,Oenanthe finschii,Finsch's Wheatear,Oenanthe finschii,Least Concern,Schedule-IV,,Appendix II
Variable Wheatear,Oenanthe picata,Variable Wheatear,Oenanthe picata,Variable Wheatear,Oenanthe picata,Least Concern,Schedule-IV,,Appendix II
Pied Wheatear,Oenanthe pleschanka,Pied Wheatear,Oenanthe pleschanka,Pied Wheatear,Oenanthe pleschanka,Least Concern,Schedule-IV,,Appendix II
Red-tailed Wheatear,Oenanthe xanthoprymna,Red-tailed Wheatear,Oenanthe chrysopygia,Persian Wheatear,Oenanthe chrysopygia,Least Concern,Schedule-IV,,Appendix II
Desert Wheatear,Oenanthe deserti,Desert Wheatear,Oenanthe deserti,Desert Wheatear,Oenanthe deserti,Least Concern,Schedule-IV,,Appendix II
Isabelline Wheatear,Oenanthe isabellina,Isabelline Wheatear,Oenanthe isabellina,Isabelline Wheatear,Oenanthe isabellina,Least Concern,Schedule-IV,,Appendix II
Grandala,Grandala coelicolor,Grandala,Grandala coelicolor,Grandala,Grandala coelicolor,Least Concern,Schedule-IV,,Appendix II
Long-tailed Thrush,Zoothera dixoni,Long-tailed Thrush,Zoothera dixoni,Long-tailed Thrush,Zoothera dixoni,Least Concern,Schedule-IV,,Appendix II
Alpine Thrush,Zoothera mollissima,Alpine Thrush,Zoothera mollissima,Alpine Thrush,Zoothera mollissima,Least Concern,Schedule-IV,,Appendix II
Himalayan Thrush,Zoothera salimalii,Himalayan Forest Thrush,Zoothera salimalii,Himalayan Thrush,Zoothera salimalii,Least Concern,Schedule-IV,,Appendix II
Dark-sided Thrush,Zoothera marginata,Dark-sided Thrush,Zoothera marginata,Dark-sided Thrush,Zoothera marginata,Least Concern,Schedule-IV,,Appendix II
Long-billed Thrush,Zoothera monticola,Long-billed Thrush,Zoothera monticola,Long-billed Thrush,Zoothera monticola,Least Concern,Schedule-IV,,Appendix II
Scaly Thrush,Zoothera dauma,Scaly Thrush,Zoothera dauma,Scaly Thrush,Zoothera dauma,Least Concern,Schedule-IV,,Appendix II
Nilgiri Thrush,Zoothera neilgherriensis,Nilgiri Thrush,Zoothera neilgherriensis,Nilgiri Thrush,Zoothera neilgherriensis,Least Concern,Schedule-IV,,Appendix II
Purple Cochoa,Cochoa purpurea,Purple Cochoa,Cochoa purpurea,Purple Cochoa,Cochoa purpurea,Least Concern,Schedule-IV,,Appendix II
Green Cochoa,Cochoa viridis,Green Cochoa,Cochoa viridis,Green Cochoa,Cochoa viridis,Least Concern,Schedule-IV,,Appendix II
Siberian Thrush,Geokichla sibirica,Siberian Thrush,Geokichla sibirica,Siberian Thrush,Geokichla sibirica,Least Concern,Schedule-IV,,Appendix II
Pied Thrush,Geokichla wardii,Pied Thrush,Geokichla wardii,Pied Thrush,Geokichla wardii,Least Concern,Schedule-IV,,Appendix II
Orange-headed Thrush,Geokichla citrina,Orange-headed Thrush,Geokichla citrina,Orange-headed Thrush,Geokichla citrina,Least Concern,Schedule-IV,,Appendix II
Chinese Thrush,Otocichla mupinensis,Chinese Thrush,Otocichla mupinensis,Chinese Thrush,Otocichla mupinensis,Least Concern,Schedule-IV,,Appendix II
Mistle Thrush,Turdus viscivorus,Mistle Thrush,Turdus viscivorus,Mistle Thrush,Turdus viscivorus,Least Concern,Schedule-IV,,Appendix II
Song Thrush,Turdus philomelos,Song Thrush,Turdus philomelos,Song Thrush,Turdus philomelos,Least Concern,Schedule-IV,,Appendix II
Gray-winged Blackbird,Turdus boulboul,Grey-winged Blackbird,Turdus boulboul,Gray-winged Blackbird,Turdus boulboul,Least Concern,Schedule-IV,,Appendix II
Indian Blackbird,Turdus simillimus,Indian Blackbird,Turdus simillimus,Indian Blackbird,Turdus simillimus,Least Concern,Schedule-IV,,Appendix II
Tickell's Thrush,Turdus unicolor,Tickell's Thrush,Turdus unicolor,Tickell's Thrush,Turdus unicolor,Least Concern,Schedule-IV,,Appendix II
Black-breasted Thrush,Turdus dissimilis,Black-breasted Thrush,Turdus dissimilis,Black-breasted Thrush,Turdus dissimilis,Least Concern,Schedule-IV,,Appendix II
Gray-sided Thrush,Turdus feae,Grey-sided Thrush,Turdus feae,Gray-sided Thrush,Turdus feae,Vulnerable,Schedule-IV,,Appendix II
Eyebrowed Thrush,Turdus obscurus,Eyebrowed Thrush,Turdus obscurus,Eyebrowed Thrush,Turdus obscurus,Least Concern,Schedule-IV,,Appendix II
White-backed Thrush,Turdus kessleri,Kessler's Thrush,Turdus kessleri,White-backed Thrush,Turdus kessleri,Least Concern,Schedule-IV,,Appendix II
Tibetan Blackbird,Turdus maximus,Tibetan Blackbird,Turdus maximus,Tibetan Blackbird,Turdus maximus,Least Concern,Schedule-IV,,Appendix II
Fieldfare,Turdus pilaris,Fieldfare,Turdus pilaris,Fieldfare,Turdus pilaris,Least Concern,Schedule-IV,,Appendix II
White-collared Blackbird,Turdus albocinctus,White-collared Blackbird,Turdus albocinctus,White-collared Blackbird,Turdus albocinctus,Least Concern,Schedule-IV,,Appendix II
Chestnut Thrush,Turdus rubrocanus,Chestnut Thrush,Turdus rubrocanus,Chestnut Thrush,Turdus rubrocanus,Least Concern,Schedule-IV,,Appendix II
Black-throated Thrush,Turdus atrogularis,Black-throated Thrush,Turdus atrogularis,Black-throated Thrush,Turdus atrogularis,Least Concern,Schedule-IV,,Appendix II
Red-throated Thrush,Turdus ruficollis,Red-throated Thrush,Turdus ruficollis,Red-throated Thrush,Turdus ruficollis,Least Concern,Schedule-IV,,Appendix II
Dusky Thrush,Turdus eunomus,Dusky Thrush,Turdus eunomus,Dusky Thrush,Turdus eunomus,Least Concern,Schedule-IV,,Appendix II
Naumann's Thrush,Turdus naumanni,Naumann's Thrush,Turdus naumanni,Naumann's Thrush,Turdus naumanni,Least Concern,Schedule-IV,,Appendix II
Asian Glossy Starling,Aplonis panayensis,Asian Glossy Starling,Aplonis panayensis,Asian Glossy Starling,Aplonis panayensis,Least Concern,Schedule-IV,,
Golden-crested Myna,Ampeliceps coronatus,Golden-crested Myna,Ampeliceps coronatus,Golden-crested Myna,Ampeliceps coronatus,Least Concern,Schedule-IV,,
Common Hill Myna,Gracula religiosa,Common Hill Myna,Gracula religiosa,Common Hill Myna,Gracula religiosa,Least Concern,Schedule-I,Appendix II,
Southern Hill Myna,Gracula indica,Southern Hill Myna,Gracula indica,Southern Hill Myna,Gracula indica,Least Concern,Schedule-I,,
European Starling,Sturnus vulgaris,Common Starling,Sturnus vulgaris,European Starling,Sturnus vulgaris,Least Concern,Schedule-IV,,
Rosy Starling,Pastor roseus,Rosy Starling,Pastor roseus,Rosy Starling,Pastor roseus,Least Concern,Schedule-IV,,
Daurian Starling,Agropsar sturninus,Purple-backed Starling,Agropsar sturninus,Daurian Starling,Agropsar sturninus,Least Concern,Schedule-IV,,
Chestnut-cheeked Starling,Agropsar philippensis,Chestnut-cheeked Starling,Agropsar philippensis,Chestnut-cheeked Starling,Agropsar philippensis,Least Concern,Schedule-IV,,
Asian Pied Starling,Gracupica contra,Asian Pied Starling,Gracupica contra,Asian Pied Starling,Gracupica contra,Least Concern,Schedule-IV,,
Brahminy Starling,Sturnia pagodarum,Brahminy Starling,Sturnia pagodarum,Brahminy Starling,Sturnia pagodarum,Least Concern,Schedule-IV,,
Chestnut-tailed Starling,Sturnia malabarica,Chestnut-tailed Starling,Sturnia malabarica,Chestnut-tailed Starling,Sturnia malabarica,Least Concern,Schedule-IV,,
Malabar Starling,Sturnia blythii,Malabar Starling,Sturnia blythii,Malabar Starling,Sturnia blythii,Least Concern,Schedule-IV,,
White-headed Starling,Sturnia erythropygia,White-headed Starling,Sturnia erythropygia,White-headed Starling,Sturnia erythropygia,Least Concern,Schedule-IV,,
White-cheeked Starling,Spodiopsar cineraceus,White-cheeked Starling,Spodiopsar cineraceus,White-cheeked Starling,Spodiopsar cineraceus,Least Concern,Schedule-IV,,
Common Myna,Acridotheres tristis,Common Myna,Acridotheres tristis,Common Myna,Acridotheres tristis,Least Concern,Schedule-IV,,
Bank Myna,Acridotheres ginginianus,Bank Myna,Acridotheres ginginianus,Bank Myna,Acridotheres ginginianus,Least Concern,Schedule-IV,,
Jungle Myna,Acridotheres fuscus,Jungle Myna,Acridotheres fuscus,Jungle Myna,Acridotheres fuscus,Least Concern,Schedule-IV,,
Collared Myna,Acridotheres albocinctus,Collared Myna,Acridotheres albocinctus,Collared Myna,Acridotheres albocinctus,Least Concern,Schedule-IV,,
Great Myna,Acridotheres grandis,Great Myna,Acridotheres grandis,Great Myna,Acridotheres grandis,Least Concern,Schedule-IV,,
