eBird English Name 2018,eBird Scientific Name 2018,India Checklist Name,India Scientific Name,eBird English Name 2019,eBird Scientific Name 2019,IUCN,Schedule,CITES Appendix,CMS Appendix
Andaman Coucal,Centropus andamanensis,Andaman Coucal,Centropus andamanensis,Andaman Coucal,Centropus andamanensis,Least Concern,Schedule-IV,,
Greater Coucal,Centropus sinensis,Greater Coucal,Centropus sinensis,Greater Coucal,Centropus sinensis,Least Concern,Schedule-IV,,
Lesser Coucal,Centropus bengalensis,Lesser Coucal,Centropus bengalensis,Lesser Coucal,Centropus bengalensis,Least Concern,Schedule-IV,,
Sirkeer Malkoha,Taccocua leschenaultii,Sirkeer Malkoha,Taccocua leschenaultii,Sirkeer Malkoha,Taccocua leschenaultii,Least Concern,Schedule-IV,,
Blue-faced Malkoha,Phaenicophaeus viridirostris,Blue-faced Malkoha,Phaenicophaeus viridirostris,Blue-faced Malkoha,Phaenicophaeus viridirostris,Least Concern,Schedule-IV,,
Green-billed Malkoha,Phaenicophaeus tristis,Green-billed Malkoha,Phaenicophaeus tristis,Green-billed Malkoha,Phaenicophaeus tristis,Least Concern,Schedule-IV,,
Chestnut-winged Cuckoo,Clamator coromandus,Chestnut-winged Cuckoo,Clamator coromandus,Chestnut-winged Cuckoo,Clamator coromandus,Least Concern,Schedule-IV,,
Pied Cuckoo,Clamator jacobinus,Pied Cuckoo,Clamator jacobinus,Pied Cuckoo,Clamator jacobinus,Least Concern,Schedule-IV,,
Asian Koel,Eudynamys scolopaceus,Asian Koel,Eudynamys scolopaceus,Asian Koel,Eudynamys scolopaceus,Least Concern,Schedule-IV,,
Asian Emerald Cuckoo,Chrysococcyx maculatus,Asian Emerald Cuckoo,Chrysococcyx maculatus,Asian Emerald Cuckoo,Chrysococcyx maculatus,Least Concern,Schedule-IV,,
Violet Cuckoo,Chrysococcyx xanthorhynchus,Violet Cuckoo,Chrysococcyx xanthorhynchus,Violet Cuckoo,Chrysococcyx xanthorhynchus,Least Concern,Schedule-IV,,
Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,Least Concern,Schedule-IV,,
Banded Bay Cuckoo,Cacomantis sonneratii,Banded Bay Cuckoo,Cacomantis sonneratii,Banded Bay Cuckoo,Cacomantis sonneratii,Least Concern,Schedule-IV,,
Plaintive Cuckoo,Cacomantis merulinus,Plaintive Cuckoo,Cacomantis merulinus,Plaintive Cuckoo,Cacomantis merulinus,Least Concern,Schedule-IV,,
Gray-bellied Cuckoo,Cacomantis passerinus,Grey-bellied Cuckoo,Cacomantis passerinus,Gray-bellied Cuckoo,Cacomantis passerinus,Least Concern,Schedule-IV,,
Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,Fork-tailed Drongo Cuckoo,Surniculus dicruroides,Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,Least Concern,Schedule-IV,,
Square-tailed Drongo-Cuckoo,Surniculus lugubris,Square-tailed Drongo Cuckoo,Surniculus lugubris,Square-tailed Drongo-Cuckoo,Surniculus lugubris,Least Concern,Schedule-IV,,
Large Hawk-Cuckoo,Hierococcyx sparverioides,Large Hawk Cuckoo,Hierococcyx sparverioides,Large Hawk-Cuckoo,Hierococcyx sparverioides,Least Concern,Schedule-IV,,
Common Hawk-Cuckoo,Hierococcyx varius,Common Hawk Cuckoo,Hierococcyx varius,Common Hawk-Cuckoo,Hierococcyx varius,Least Concern,Schedule-IV,,
Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor,Whistling Hawk Cuckoo,Hierococcyx nisicolor,Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor,Least Concern,Schedule-IV,,
Lesser Cuckoo,Cuculus poliocephalus,Lesser Cuckoo,Cuculus poliocephalus,Lesser Cuckoo,Cuculus poliocephalus,Least Concern,Schedule-IV,,
Indian Cuckoo,Cuculus micropterus,Indian Cuckoo,Cuculus micropterus,Indian Cuckoo,Cuculus micropterus,Least Concern,Schedule-IV,,
Himalayan Cuckoo,Cuculus saturatus,Himalayan Cuckoo,Cuculus saturatus,Himalayan Cuckoo,Cuculus saturatus,Least Concern,Schedule-IV,,
Common Cuckoo,Cuculus canorus,Common Cuckoo,Cuculus canorus,Common Cuckoo,Cuculus canorus,Least Concern,Schedule-IV,,
Sri Lanka Frogmouth,Batrachostomus moniliger,Sri Lanka Frogmouth,Batrachostomus moniliger,Sri Lanka Frogmouth,Batrachostomus moniliger,Least Concern,Schedule-I,,
Hodgson's Frogmouth,Batrachostomus hodgsoni,Hodgson's Frogmouth,Batrachostomus hodgsoni,Hodgson's Frogmouth,Batrachostomus hodgsoni,Least Concern,Schedule-I,,
Great Eared-Nightjar,Lyncornis macrotis,Great Eared Nightjar,Lyncornis macrotis,Great Eared-Nightjar,Lyncornis macrotis,Least Concern,Schedule-IV,,
Jungle Nightjar,Caprimulgus indicus,Jungle Nightjar,Caprimulgus indicus,Jungle Nightjar,Caprimulgus indicus,Least Concern,Schedule-IV,,
Gray Nightjar,Caprimulgus jotaka,Grey Nightjar,Caprimulgus jotaka,Gray Nightjar,Caprimulgus jotaka,Least Concern,Schedule-IV,,
