Common Name,Scientific Name,IUCN
Madagascar Grebe,Tachybaptus pelzelnii,EN
Alaotra Grebe,Tachybaptus rufolavatus,EX
Least Grebe,Tachybaptus dominicus,LC
,Tachybaptus tricolor,NR
Pied-billed Grebe,Podilymbus podiceps,LC
Atitlan Grebe,Podilymbus gigas,EX
White-tufted Grebe,Rollandia rolland,LC
Titicaca Grebe,Rollandia microptera,EN
Hoary-headed Grebe,Poliocephalus poliocephalus,LC
New Zealand Grebe,Poliocephalus rufopectus,NT
Great Grebe,Podiceps major,LC
Red-necked Grebe,Podiceps grisegena,LC
Great Crested Grebe,Podiceps cristatus,LC
Horned Grebe,Podiceps auritus,VU
Black-necked Grebe,Podiceps nigricollis,LC
Colombian Grebe,Podiceps andinus,EX
Northern Silvery Grebe,Podiceps juninensis,NT
Southern Silvery Grebe,Podiceps occipitalis,LC
Junin Grebe,Podiceps taczanowskii,CR
Hooded Grebe,Podiceps gallardoi,CR
,Podiceps occipitalis,NR
Western Grebe,Aechmophorus occidentalis,LC
Clark's Grebe,Aechmophorus clarkii,LC
Greater Flamingo,Phoenicopterus roseus,LC
American Flamingo,Phoenicopterus ruber,LC
Chilean Flamingo,Phoenicopterus chilensis,NT
,Phoenicopterus ruber,NR
Lesser Flamingo,Phoeniconaias minor,NT
Andean Flamingo,Phoenicoparrus andinus,VU
Puna Flamingo,Phoenicoparrus jamesi,NT
Red-billed Tropicbird,Phaethon aethereus,LC
Red-tailed Tropicbird,Phaethon rubricauda,LC
White-tailed Tropicbird,Phaethon lepturus,LC
Kagu,Rhynochetos jubatus,EN
Sunbittern,Eurypyga helias,LC
White-breasted Mesite,Mesitornis variegatus,VU
Brown Mesite,Mesitornis unicolor,VU
Subdesert Mesite,Monias benschi,VU
Rock Dove,Columba livia,LC
Hill Pigeon,Columba rupestris,LC
Snow Pigeon,Columba leuconota,LC
Speckled Pigeon,Columba guinea,LC
White-collared Pigeon,Columba albitorques,LC
Stock Dove,Columba oenas,LC
Yellow-eyed Pigeon,Columba eversmanni,VU
Somali Pigeon,Columba oliviae,DD
Common Woodpigeon,Columba palumbus,LC
Madeira Laurel-pigeon,Columba trocaz,LC
Dark-tailed Laurel-pigeon,Columba bollii,LC
White-tailed Laurel-pigeon,Columba junoniae,NT
Afep Pigeon,Columba unicincta,LC
African Olive-pigeon,Columba arquatrix,LC
Cameroon Olive-pigeon,Columba sjostedti,LC
Sao Tome Olive-pigeon,Columba thomensis,EN
Comoro Olive-pigeon,Columba pollenii,NT
Speckled Woodpigeon,Columba hodgsonii,LC
White-naped Pigeon,Columba albinucha,NT
Ashy Woodpigeon,Columba pulchricollis,LC
Nilgiri Woodpigeon,Columba elphinstonii,VU
Sri Lanka Woodpigeon,Columba torringtoniae,VU
Pale-capped Pigeon,Columba punicea,VU
Silvery Pigeon,Columba argentina,CR
Andaman Woodpigeon,Columba palumboides,NT
Japanese Woodpigeon,Columba janthina,NT
Bonin Woodpigeon,Columba versicolor,EX
Ryukyu Woodpigeon,Columba jouyi,EX
Metallic Pigeon,Columba vitiensis,LC
White-headed Pigeon,Columba leucomela,LC
Yellow-legged Pigeon,Columba pallidiceps,VU
Eastern Bronze-naped Pigeon,Columba delegorguei,LC
Western Bronze-naped Pigeon,Columba iriditorques,LC
Sao Tome Bronze-naped Pigeon,Columba malherbii,NT
Mauritius Woodpigeon,Columba thiriouxi,EX
,Columba delegorguei,NR
,Columba arquatrix,NR
Lemon Dove,Aplopelia larvata,LC
European Turtle-dove,Streptopelia turtur,VU
Dusky Turtle-dove,Streptopelia lugens,LC
Adamawa Turtle-dove,Streptopelia hypopyrrha,LC
Oriental Turtle-dove,Streptopelia orientalis,LC
Philippine Collared-dove,Streptopelia dusumieri,VU
Sunda Collared-dove,Streptopelia bitorquata,LC
Eurasian Collared-dove,Streptopelia decaocto,LC
Burmese Collared-dove,Streptopelia xanthocycla,LC
African Collared-dove,Streptopelia roseogrisea,LC
White-winged Collared-dove,Streptopelia reichenowi,NT
Mourning Collared-dove,Streptopelia decipiens,LC
Red-eyed Dove,Streptopelia semitorquata,LC
Ring-necked Dove,Streptopelia capicola,LC
Vinaceous Dove,Streptopelia vinacea,LC
Red Turtle-dove,Streptopelia tranquebarica,LC
,Streptopelia bitorquata,NR
,Streptopelia decaocto,NR
Eastern Spotted Dove,Spilopelia chinensis,LC
Western Spotted Dove,Spilopelia suratensis,LC
Laughing Dove,Spilopelia senegalensis,LC
Madagascar Turtle-dove,Nesoenas picturatus,LC
Pink Pigeon,Nesoenas mayeri,VU
Reunion Pigeon,Nesoenas duboisi,EX
Mauritius Turtle-dove,Nesoenas cicur,EX
Rodrigues Turtle-dove,Nesoenas rodericanus,EX
,Nesoenas picturata,NR
,Nesoenas rostrata,NR
Barred Cuckoo-dove,Macropygia unchall,LC
Andaman Cuckoo-dove,Macropygia rufipennis,LC
Ruddy Cuckoo-dove,Macropygia emiliana,LC
Philippine Cuckoo-dove,Macropygia tenuirostris,LC
Flores Sea Cuckoo-dove,Macropygia macassariensis,LC
Timor Cuckoo-dove,Macropygia magna,LC
Tanimbar Cuckoo-dove,Macropygia timorlaoensis,LC
Slender-billed Cuckoo-dove,Macropygia amboinensis,LC
Brown Cuckoo-dove,Macropygia phasianella,LC
Little Cuckoo-dove,Macropygia ruficeps,LC
Black-billed Cuckoo-dove,Macropygia nigrirostris,LC
Mackinlay's Cuckoo-dove,Macropygia mackinlayi,LC
,Macropygia magna,NR
,Macropygia amboinensis,NR
White-faced Cuckoo-dove,Turacoena manadensis,LC
Sula Cuckoo-dove,Turacoena sulaensis,LC
Black Cuckoo-dove,Turacoena modesta,NT
,Turacoena manadensis,NR
Great Cuckoo-dove,Reinwardtoena reinwardti,LC
Pied Cuckoo-dove,Reinwardtoena browni,NT
Crested Cuckoo-dove,Reinwardtoena crassirostris,NT
Passenger Pigeon,Ectopistes migratorius,EX
White-crowned Pigeon,Patagioenas leucocephala,NT
Scaly-naped Pigeon,Patagioenas squamosa,LC
Scaled Pigeon,Patagioenas speciosa,LC
Bare-eyed Pigeon,Patagioenas corensis,LC
Picazuro Pigeon,Patagioenas picazuro,LC
Spot-winged Pigeon,Patagioenas maculosa,LC
White-winged Pigeon,Patagioenas albipennis,LC
Northern Band-tailed Pigeon,Patagioenas fasciata,LC
Southern Band-tailed Pigeon,Patagioenas albilinea,LC
Chilean Pigeon,Patagioenas araucana,LC
Ring-tailed Pigeon,Patagioenas caribaea,VU
Pale-vented Pigeon,Patagioenas cayennensis,LC
Red-billed Pigeon,Patagioenas flavirostris,LC
Peruvian Pigeon,Patagioenas oenops,VU
Plain Pigeon,Patagioenas inornata,NT
Plumbeous Pigeon,Patagioenas plumbea,LC
Ruddy Pigeon,Patagioenas subvinacea,VU
Short-billed Pigeon,Patagioenas nigrirostris,LC
Dusky Pigeon,Patagioenas goodsoni,LC
,Patagioenas maculosa,NR
,Patagioenas fasciata,NR
Purple Quail-dove,Geotrygon purpurata,EN
Sapphire Quail-dove,Geotrygon saphirina,LC
Crested Quail-dove,Geotrygon versicolor,NT
Grey-headed Quail-dove,Geotrygon caniceps,VU
White-fronted Quail-dove,Geotrygon leucometopia,EN
Ruddy Quail-dove,Geotrygon montana,LC
Violaceous Quail-dove,Geotrygon violacea,LC
Key West Quail-dove,Geotrygon chrysia,LC
Bridled Quail-dove,Geotrygon mystacea,LC
,Geotrygon caniceps,NR
,Geotrygon lawrencii,NR
,Geotrygon saphirina,NR
Olive-backed Quail-dove,Leptotrygon veraguensis,LC
White-tipped Dove,Leptotila verreauxi,LC
Caribbean Dove,Leptotila jamaicensis,LC
Grey-chested Dove,Leptotila cassinii,LC
Tolima Dove,Leptotila conoveri,EN
Ochre-bellied Dove,Leptotila ochraceiventris,VU
Grey-headed Dove,Leptotila plumbeiceps,LC
Brown-backed Dove,Leptotila battyi,VU
Grey-fronted Dove,Leptotila rufaxilla,LC
Grenada Dove,Leptotila wellsi,CR
Pallid Dove,Leptotila pallida,LC
Yungas Dove,Leptotila megalura,LC
Tuxtla Quail-dove,Zentrygon carrikeri,EN
Buff-fronted Quail-dove,Zentrygon costaricensis,LC
Purplish-backed Quail-dove,Zentrygon lawrencii,LC
White-faced Quail-dove,Zentrygon albifacies,LC
White-throated Quail-dove,Zentrygon frenata,LC
Lined Quail-dove,Zentrygon linearis,LC
Chiriqui Quail-dove,Zentrygon chiriquensis,LC
Russet-crowned Quail-dove,Zentrygon goldmani,NT
White-winged Dove,Zenaida asiatica,LC
West Peruvian Dove,Zenaida meloda,LC
Zenaida Dove,Zenaida aurita,LC
Galapagos Dove,Zenaida galapagoensis,LC
Eared Dove,Zenaida auriculata,LC
Mourning Dove,Zenaida macroura,LC
Socorro Dove,Zenaida graysoni,EW
,Zenaida asiatica,NR
Inca Dove,Columbina inca,LC
Scaled Dove,Columbina squammata,LC
Common Ground-dove,Columbina passerina,LC
Plain-breasted Ground-dove,Columbina minuta,LC
Ecuadorian Ground-dove,Columbina buckleyi,LC
Ruddy Ground-dove,Columbina talpacoti,LC
Picui Dove,Columbina picui,LC
Croaking Ground-dove,Columbina cruziana,LC
Blue-eyed Ground-dove,Columbina cyanopis,CR
Bare-faced Ground-dove,Metriopelia ceciliae,LC
Moreno's Ground-dove,Metriopelia morenoi,LC
Black-winged Ground-dove,Metriopelia melanoptera,LC
Golden-spotted Ground-dove,Metriopelia aymara,LC
Blue Ground-dove,Claravis pretiosa,LC
Long-tailed Ground-dove,Uropelia campestris,LC
Maroon-chested Ground-dove,Paraclaravis mondetoura,LC
Purple-winged Ground-dove,Paraclaravis geoffroyi,CR
Blue-headed Quail-dove,Starnoenas cyanocephala,EN
New Guinea Bronzewing,Henicophaps albifrons,LC
New Britain Bronzewing,Henicophaps foersteri,VU
Luzon Bleeding-heart,Gallicolumba luzonica,NT
Mindanao Bleeding-heart,Gallicolumba crinigera,VU
Mindoro Bleeding-heart,Gallicolumba platenae,CR
Negros Bleeding-heart,Gallicolumba keayi,CR
Sulu Bleeding-heart,Gallicolumba menagei,CR
Sulawesi Ground-dove,Gallicolumba tristigmata,LC
Cinnamon Ground-dove,Gallicolumba rufigula,LC
,Gallicolumba norfolciensis,NR
,Gallicolumba beccarii,NR
Wetar Ground-dove,Alopecoenas hoedtii,EN
White-breasted Ground-dove,Alopecoenas jobiensis,LC
Caroline Ground-dove,Alopecoenas kubaryi,VU
White-throated Ground-dove,Alopecoenas xanthonurus,NT
Polynesian Ground-dove,Alopecoenas erythropterus,CR
Marquesas Ground-dove,Alopecoenas rubescens,EN
Western Bronze Ground-dove,Alopecoenas beccarii,LC
Eastern Bronze Ground-dove,Alopecoenas johannae,LC
Palau Ground-dove,Alopecoenas canifrons,EN
Santa Cruz Ground-dove,Alopecoenas sanctaecrucis,EN
Shy Ground-dove,Alopecoenas stairi,VU
Thick-billed Ground-dove,Alopecoenas salamonis,EX
Tanna Ground-dove,Alopecoenas ferrugineus,EX
Wonga Pigeon,Leucosarcia melanoleuca,LC
Chestnut-quilled Rock-pigeon,Petrophassa rufipennis,LC
White-quilled Rock-pigeon,Petrophassa albipennis,LC
Spinifex Pigeon,Geophaps plumifera,LC
Squatter Pigeon,Geophaps scripta,LC
Partridge Pigeon,Geophaps smithii,VU
,Geophaps plumifera,NR
,Geophaps ferruginea,NR
Common Bronzewing,Phaps chalcoptera,LC
Brush Bronzewing,Phaps elegans,LC
Flock Bronzewing,Phaps histrionica,LC
Crested Pigeon,Ocyphaps lophotes,LC
Diamond Dove,Geopelia cuneata,LC
Zebra Dove,Geopelia striata,LC
Peaceful Dove,Geopelia placida,LC
Barred Dove,Geopelia maugeus,LC
Bar-shouldered Dove,Geopelia humeralis,LC
,Geopelia striata,NR
Thick-billed Ground-pigeon,Trugon terrestris,LC
White-naped Pheasant-pigeon,Otidiphaps aruensis,VU
Green-naped Pheasant-pigeon,Otidiphaps nobilis,LC
Grey-naped Pheasant-pigeon,Otidiphaps cervicalis,LC
Black-naped Pheasant-pigeon,Otidiphaps insularis,EN
,Otidiphaps nobilis,NR
Choiseul Pigeon,Microgoura meeki,EX
Western Crowned-pigeon,Goura cristata,VU
Sclater's Crowned-pigeon,Goura sclaterii,NT
Scheepmaker's Crowned-pigeon,Goura scheepmakeri,VU
Victoria Crowned-pigeon,Goura victoria,NT
,Goura scheepmakeri,NR
Nicobar Pigeon,Caloenas nicobarica,NT
Liverpool Pigeon,Caloenas maculata,EX
Dodo,Raphus cucullatus,EX
Rodrigues Solitaire,Pezophaps solitaria,EX
Tooth-billed Pigeon,Didunculus strigirostris,CR
Grey-capped Emerald Dove,Chalcophaps indica,LC
Brown-capped Emerald Dove,Chalcophaps longirostris,LC
Stephan's Dove,Chalcophaps stephani,LC
,Chalcophaps indica,NR
Emerald-spotted Wood-dove,Turtur chalcospilos,LC
Black-billed Wood-dove,Turtur abyssinicus,LC
Blue-spotted Wood-dove,Turtur afer,LC
Tambourine Dove,Turtur tympanistria,LC
Blue-headed Wood-dove,Turtur brehmeri,LC
Namaqua Dove,Oena capensis,LC
White-eared Brown-dove,Phapitreron leucotis,LC
Buff-eared Brown-dove,Phapitreron nigrorum,LC
Short-billed Brown-dove,Phapitreron brevirostris,LC
Amethyst Brown-dove,Phapitreron amethystinus,LC
Grey-breasted Brown-dove,Phapitreron maculipectus,NT
Cebu Brown-dove,Phapitreron frontalis,CR
Dark-eared Brown-dove,Phapitreron brunneiceps,VU
Tawitawi Brown-dove,Phapitreron cinereiceps,EN
,Phapitreron cinereiceps,NR
,Phapitreron amethystinus,NR
,Phapitreron leucotis,NR
Cinnamon-headed Green-pigeon,Treron fulvicollis,NT
Little Green-pigeon,Treron olax,LC
Pink-necked Green-pigeon,Treron vernans,LC
Orange-breasted Green-pigeon,Treron bicinctus,LC
Ashy-headed Green-pigeon,Treron phayrei,NT
Grey-fronted Green-pigeon,Treron affinis,LC
Sri Lanka Green-pigeon,Treron pompadora,LC
Andaman Green-pigeon,Treron chloropterus,NT
Philippine Green-pigeon,Treron axillaris,LC
Buru Green-pigeon,Treron aromaticus,NT
Thick-billed Green-pigeon,Treron curvirostra,LC
Grey-cheeked Green-pigeon,Treron griseicauda,LC
Sumba Green-pigeon,Treron teysmannii,NT
Flores Green-pigeon,Treron floris,VU
Timor Green-pigeon,Treron psittaceus,EN
Large Green-pigeon,Treron capellei,VU
Yellow-footed Green-pigeon,Treron phoenicopterus,LC
Bruce's Green-pigeon,Treron waalia,LC
Comoro Green-pigeon,Treron griveaudi,EN
Madagascar Green-pigeon,Treron australis,LC
African Green-pigeon,Treron calvus,LC
Grey-breasted Green-pigeon,Treron delalandii,LC
Pemba Green-pigeon,Treron pembaensis,VU
Sao Tome Green-pigeon,Treron sanctithomae,EN
Pin-tailed Green-pigeon,Treron apicauda,LC
Sumatran Green-pigeon,Treron oxyurus,NT
Yellow-vented Green-pigeon,Treron seimundi,LC
Wedge-tailed Green-pigeon,Treron sphenurus,LC
White-bellied Green-pigeon,Treron sieboldii,LC
Ryukyu Green-pigeon,Treron permagnus,LC
Taiwan Green-pigeon,Treron formosae,NT
,Treron australis,NR
,Treron australis,NR
,Treron pompadora,NR
,Treron calvus,NR
,Treron formosae,NR
Pink-bellied Imperial-pigeon,Ducula poliocephala,NT
White-bellied Imperial-pigeon,Ducula forsteni,LC
Mindoro Imperial-pigeon,Ducula mindorensis,EN
Grey-headed Imperial-pigeon,Ducula radiata,LC
Spotted Imperial-pigeon,Ducula carola,VU
Green Imperial-pigeon,Ducula aenea,LC
Enggano Imperial-pigeon,Ducula oenothorax,NT
Spectacled Imperial-pigeon,Ducula perspicillata,LC
Seram Imperial-pigeon,Ducula neglecta,LC
Blue-tailed Imperial-pigeon,Ducula concinna,LC
Pacific Imperial-pigeon,Ducula pacifica,LC
Micronesian Imperial-pigeon,Ducula oceanica,NT
Polynesian Imperial-pigeon,Ducula aurorae,EN
Nukuhiva Imperial-pigeon,Ducula galeata,EN
Red-knobbed Imperial-pigeon,Ducula rubricera,NT
Spice Imperial-pigeon,Ducula myristicivora,LC
Geelvink Imperial-pigeon,Ducula geelvinkiana,LC
Purple-tailed Imperial-pigeon,Ducula rufigaster,LC
Cinnamon-bellied Imperial-pigeon,Ducula basilica,LC
Rusty Imperial-pigeon,Ducula obiensis,LC
Finsch's Imperial-pigeon,Ducula finschii,NT
Shining Imperial-pigeon,Ducula chalconota,LC
Island Imperial-pigeon,Ducula pistrinaria,LC
Pink-headed Imperial-pigeon,Ducula rosacea,NT
Christmas Imperial-pigeon,Ducula whartoni,NT
Grey Imperial-pigeon,Ducula pickeringii,VU
Barking Imperial-pigeon,Ducula latrans,LC
Chestnut-bellied Imperial-pigeon,Ducula brenchleyi,VU
Vanuatu Imperial-pigeon,Ducula bakeri,VU
New Caledonian Imperial-pigeon,Ducula goliath,NT
Pinon's Imperial-pigeon,Ducula pinon,LC
Louisiade Imperial-pigeon,Ducula salvadorii,LC
Bismarck Imperial-pigeon,Ducula melanochroa,LC
Collared Imperial-pigeon,Ducula mullerii,LC
Zoe's Imperial-pigeon,Ducula zoeae,LC
Nilgiri Imperial-pigeon,Ducula cuprea,LC
Mountain Imperial-pigeon,Ducula badia,LC
Dark-backed Imperial-pigeon,Ducula lacernulata,LC
Timor Imperial-pigeon,Ducula cineracea,NT
Pied Imperial-pigeon,Ducula bicolor,LC
Torresian Imperial-pigeon,Ducula spilorrhoa,LC
Yellowish Imperial-pigeon,Ducula subflavescens,NT
White Imperial-pigeon,Ducula luctuosa,LC
,Ducula spilorrhoa,NR
,Ducula constans,NR
,Ducula bicolor,NR
,Ducula aenea,NR
,Ducula badia,NR
,Ducula basilica,NR
,Ducula myristicivora,NR
,Ducula perspicillata,NR
,Ducula pinon,NR
,Ducula spilorrhoa,NR
Wompoo Fruit-dove,Megaloprepia magnifica,LC
Scarlet-breasted Fruit-dove,Megaloprepia formosa,LC
Cream-bellied Fruit-dove,Ramphiculus merrilli,NT
Flame-breasted Fruit-dove,Ramphiculus marchei,VU
Black-chinned Fruit-dove,Ramphiculus leclancheri,LC
Jambu Fruit-dove,Ramphiculus jambu,NT
Maroon-chinned Fruit-dove,Ramphiculus epius,LC
Banggai Fruit-dove,Ramphiculus subgularis,VU
Sula Fruit-dove,Ramphiculus mangoliensis,NT
Red-eared Fruit-dove,Ramphiculus fischeri,LC
Lompobattang Fruit-dove,Ramphiculus meridionalis,VU
Yellow-breasted Fruit-dove,Ramphiculus occipitalis,LC
Mauritius Blue-pigeon,Alectroenas nitidissimus,EX
Rodrigues Blue-pigeon,Alectroenas payandeei,EX
Madagascar Blue-pigeon,Alectroenas madagascariensis,LC
Comoro Blue-pigeon,Alectroenas sganzini,NT
Seychelles Blue-pigeon,Alectroenas pulcherrimus,LC
Cloven-feathered Dove,Drepanoptila holosericea,NT
Orange Dove,Chrysoena victor,LC
Golden Dove,Chrysoena luteovirens,LC
Whistling Dove,Chrysoena viridis,NT
Dwarf Fruit-dove,Ptilinopus nainus,LC
Negros Fruit-dove,Ptilinopus arcanus,CR
Black-naped Fruit-dove,Ptilinopus melanospilus,LC
Black-backed Fruit-dove,Ptilinopus cinctus,LC
Grey-rumped Fruit-dove,Ptilinopus alligator,LC
Red-naped Fruit-dove,Ptilinopus dohertyi,VU
Pink-headed Fruit-dove,Ptilinopus porphyreus,LC
Western Superb Fruit-dove,Ptilinopus temminckii,LC
Eastern Superb Fruit-dove,Ptilinopus superbus,LC
White-bibbed Fruit-dove,Ptilinopus rivoli,LC
Geelvink Fruit-dove,Ptilinopus speciosus,LC
Yellow-banded Fruit-dove,Ptilinopus solomonensis,LC
Tanna Fruit-dove,Ptilinopus tannensis,LC
Grey-headed Fruit-dove,Ptilinopus hyogastrus,LC
Carunculated Fruit-dove,Ptilinopus granulifrons,VU
Wallace's Fruit-dove,Ptilinopus wallacii,LC
Orange-fronted Fruit-dove,Ptilinopus aurantiifrons,LC
Western Ornate Fruit-dove,Ptilinopus ornatus,LC
Eastern Ornate Fruit-dove,Ptilinopus gestroi,LC
Pink-spotted Fruit-dove,Ptilinopus perlatus,LC
Orange-bellied Fruit-dove,Ptilinopus iozonus,LC
Knob-billed Fruit-dove,Ptilinopus insolitus,LC
Claret-breasted Fruit-dove,Ptilinopus viridis,LC
White-headed Fruit-dove,Ptilinopus eugeniae,NT
Beautiful Fruit-dove,Ptilinopus pulchellus,LC
Blue-capped Fruit-dove,Ptilinopus monacha,NT
Coroneted Fruit-dove,Ptilinopus coronulatus,LC
Rose-crowned Fruit-dove,Ptilinopus regina,LC
Red-moustached Fruit-dove,Ptilinopus mercierii,EX
White-capped Fruit-dove,Ptilinopus dupetithouarsii,LC
Palau Fruit-dove,Ptilinopus pelewensis,LC
Silver-capped Fruit-dove,Ptilinopus richardsii,LC
Mariana Fruit-dove,Ptilinopus roseicapilla,EN
Pohnpei Fruit-dove,Ptilinopus ponapensis,LC
Kosrae Fruit-dove,Ptilinopus hernsheimi,LC
Red-bellied Fruit-dove,Ptilinopus greyi,LC
Tongan Fruit-dove,Ptilinopus porphyraceus,LC
Samoan Fruit-dove,Ptilinopus fasciatus,LC
Many-coloured Fruit-dove,Ptilinopus perousii,LC
Rapa Fruit-dove,Ptilinopus huttoni,CR
Henderson Fruit-dove,Ptilinopus insularis,VU
Makatea Fruit-dove,Ptilinopus chalcurus,VU
Atoll Fruit-dove,Ptilinopus coralensis,NT
Raiatea Fruit-dove,Ptilinopus chrysogaster,EN
Rarotonga Fruit-dove,Ptilinopus rarotongensis,VU
Grey-green Fruit-dove,Ptilinopus purpuratus,LC
,Ptilinopus purpuratus,NR
,Ptilinopus cinctus,NR
,Ptilinopus porphyraceus,NR
,Ptilinopus ornatus,NR
,Ptilinopus solomonensis,NR
,Ptilinopus superbus,NR
,Ptilinopus subgularis,NR
,Ptilinopus fischeri,NR
New Zealand Pigeon,Hemiphaga novaeseelandiae,NT
Chatham Pigeon,Hemiphaga chathamensis,VU
,Hemiphaga spadicea,NR
,Hemiphaga novaeseelandiae,NR
Sombre Pigeon,Cryptophaps poecilorrhoa,LC
Papuan Mountain-pigeon,Gymnophaps albertisii,LC
Seram Mountain-pigeon,Gymnophaps stalkeri,LC
Buru Mountain-pigeon,Gymnophaps mada,LC
Pale Mountain-pigeon,Gymnophaps solomonensis,LC
,Gymnophaps mada,NR
Topknot Pigeon,Lopholaimus antarcticus,LC
,Stigmatopelia chinensis,NR
,Dysmoropelia dekarchiskos,NR
Pallas's Sandgrouse,Syrrhaptes paradoxus,LC
Tibetan Sandgrouse,Syrrhaptes tibetanus,LC
Black-bellied Sandgrouse,Pterocles orientalis,LC
Namaqua Sandgrouse,Pterocles namaqua,LC
Chestnut-bellied Sandgrouse,Pterocles exustus,LC
Spotted Sandgrouse,Pterocles senegallus,LC
Yellow-throated Sandgrouse,Pterocles gutturalis,LC
Madagascar Sandgrouse,Pterocles personatus,LC
Crowned Sandgrouse,Pterocles coronatus,LC
Pin-tailed Sandgrouse,Pterocles alchata,LC
Burchell's Sandgrouse,Pterocles burchelli,LC
Black-faced Sandgrouse,Pterocles decoratus,LC
Double-banded Sandgrouse,Pterocles bicinctus,LC
Four-banded Sandgrouse,Pterocles quadricinctus,LC
Lichtenstein's Sandgrouse,Pterocles lichtensteinii,LC
Painted Sandgrouse,Pterocles indicus,LC
Oilbird,Steatornis caripensis,LC
Solomons Frogmouth,Rigidipenna inexpectata,NT
Marbled Frogmouth,Podargus ocellatus,LC
Papuan Frogmouth,Podargus papuensis,LC
Tawny Frogmouth,Podargus strigoides,LC
,Podargus ocellatus,NR
Large Frogmouth,Batrachostomus auritus,NT
Dulit Frogmouth,Batrachostomus harterti,NT
Philippine Frogmouth,Batrachostomus septimus,LC
Gould's Frogmouth,Batrachostomus stellatus,NT
Sri Lanka Frogmouth,Batrachostomus moniliger,LC
Hodgson's Frogmouth,Batrachostomus hodgsoni,LC
Short-tailed Frogmouth,Batrachostomus poliolophus,NT
Bornean Frogmouth,Batrachostomus mixtus,NT
Horsfield's Frogmouth,Batrachostomus javensis,LC
Sunda Frogmouth,Batrachostomus cornutus,LC
,Batrachostomus pygmaeus,NR
,Batrachostomus javensis,NR
,Batrachostomus affinis,NR
Great Potoo,Nyctibius grandis,LC
Long-tailed Potoo,Nyctibius aethereus,LC
Northern Potoo,Nyctibius jamaicensis,LC
Common Potoo,Nyctibius griseus,LC
Andean Potoo,Nyctibius maculosus,LC
White-winged Potoo,Nyctibius leucopterus,LC
Rufous Potoo,Phyllaemulor bracteatus,LC
Spotted Nightjar,Eurostopodus argus,LC
White-throated Nightjar,Eurostopodus mystacalis,LC
Solomons Nightjar,Eurostopodus nigripennis,VU
New Caledonian Nightjar,Eurostopodus exul,CR (PE)
Heinrich's Nightjar,Eurostopodus diabolicus,VU
