Common Name,Scientific Name,IUCN
Scaly-sided Merganser,Mergus squamatus,EN
Red-breasted Merganser,Mergus serrator,LC
Auckland Merganser,Mergus australis,EX
Brazilian Merganser,Mergus octosetaceus,CR
Harlequin Duck,Histrionicus histrionicus,LC
Labrador Duck,Camptorhynchus labradorius,EX
Orinoco Goose,Neochen jubata,NT
Andean Goose,Chloephaga melanoptera,LC
Upland Goose,Chloephaga picta,LC
Kelp Goose,Chloephaga hybrida,LC
Ashy-headed Goose,Chloephaga poliocephala,LC
Ruddy-headed Goose,Chloephaga rubidiceps,LC
Radjah Shelduck,Radjah radjah,LC
Egyptian Goose,Alopochen aegyptiaca,LC
Mauritius Shelduck,Alopochen mauritiana,EX
Reunion Shelduck,Alopochen kervazoi,EX
Common Shelduck,Tadorna tadorna,LC
Ruddy Shelduck,Tadorna ferruginea,LC
South African Shelduck,Tadorna cana,LC
Australian Shelduck,Tadorna tadornoides,LC
Paradise Shelduck,Tadorna variegata,LC
Crested Shelduck,Tadorna cristata,CR
Spur-winged Goose,Plectropterus gambensis,LC
Muscovy Duck,Cairina moschata,LC
American Comb Duck,Sarkidiornis sylvicola,LC
African Comb Duck,Sarkidiornis melanotos,LC
,Sarkidiornis melanotos,NR
African Pygmy-goose,Nettapus auritus,LC
Cotton Pygmy-goose,Nettapus coromandelianus,LC
Green Pygmy-goose,Nettapus pulchellus,LC
Ringed Teal,Callonetta leucophrys,LC
Wood Duck,Aix sponsa,LC
Mandarin Duck,Aix galericulata,LC
Maned Duck,Chenonetta jubata,LC
Finsch's Duck,Chenonetta finschi,EX
Blue Duck,Hymenolaimus malacorhynchos,EN
Torrent Duck,Merganetta armata,LC
Hartlaub's Duck,Pteronetta hartlaubii,LC
Blue-winged Goose,Cyanochen cyanoptera,VU
Marbled Teal,Marmaronetta angustirostris,VU
White-winged Duck,Asarcornis scutulata,EN
Red-crested Pochard,Netta rufina,LC
Rosy-billed Pochard,Netta peposaca,LC
Southern Pochard,Netta erythrophthalma,LC
Common Pochard,Aythya ferina,VU
Redhead,Aythya americana,LC
Canvasback,Aythya valisineria,LC
Hardhead,Aythya australis,LC
