English Name,Scientific Name,BLI,GEN
Red-headed Vulture,Sarcogyps calvus,Sarcogyps calvus,38.4
Cinereous Vulture,Aegypius monachus,Aegypius monachus,43.2
White-rumped Vulture,Gyps bengalensis,Gyps bengalensis,34.5
Indian Vulture,Gyps indicus,Gyps indicus,36.3
Slender-billed Vulture,Gyps tenuirostris,Gyps tenuirostris,36.3
Himalayan Vulture,Gyps himalayensis,Gyps himalayensis,40.5
Griffon Vulture,Gyps fulvus,Gyps fulvus,50.1
Nicobar Serpent Eagle,Spilornis klossi,Spilornis klossi,24.9
Crested Serpent Eagle,Spilornis cheela,Spilornis cheela,22.5
Andaman Serpent Eagle,Spilornis elgini,Spilornis elgini,24
Short-toed Snake Eagle,Circaetus gallicus,Circaetus gallicus,27.3
Changeable Hawk Eagle,Nisaetus cirrhatus,Nisaetus cirrhatus,26.7
Mountain Hawk-Eagle,Nisaetus nipalensis,Nisaetus nipalensis,31.5
Legge's Hawk-Eagle,Nisaetus kelaarti,Nisaetus nipalensis,31.5
Rufous-bellied Eagle,Lophotriorchis kienerii,Lophotriorchis kienerii,24
Black Eagle,Ictinaetus malaiensis,Ictinaetus malaiensis,25.2
Indian Spotted Eagle,Clanga hastata,Clanga hastata,28.8
Greater Spotted Eagle,Clanga clanga,Clanga clanga,27.9
Booted Eagle,Hieraaetus pennatus,Hieraaetus pennatus,16.8
Tawny Eagle,Aquila rapax,Aquila rapax,45
Steppe Eagle,Aquila nipalensis,Aquila nipalensis,45.9
Eastern Imperial Eagle,Aquila heliaca,Aquila heliaca,59.4
Golden Eagle,Aquila chrysaetos,Aquila chrysaetos,48.9
Bonelli's Eagle,Aquila fasciata,Aquila fasciata,40.2
White-eyed Buzzard,Butastur teesa,Butastur teesa,14.7
Western Marsh Harrier,Circus aeruginosus,Circus aeruginosus,20.4
Pallid Harrier,Circus macrourus,Circus macrourus,15.3
Montagu's Harrier,Circus pygargus,Circus pygargus,15.3
Crested Goshawk,Accipiter trivirgatus,Accipiter trivirgatus,17.4
Shikra,Accipiter badius,Accipiter badius,13.5
Nicobar Sparrowhawk,Accipiter butleri,Accipiter butleri,15.3
Besra,Accipiter virgatus,Accipiter virgatus,12.9
Eurasian Sparrowhawk,Accipiter nisus,Accipiter nisus,15.6
Black Kite,Milvus migrans,Milvus migrans,26.1
Brahminy Kite,Haliastur indus,Haliastur indus,21.3
Pallas's Fish Eagle,Haliaeetus leucoryphus,Haliaeetus leucoryphus,34.2
White-bellied Sea Eagle,Haliaeetus leucogaster,Haliaeetus leucogaster,33.9
Lesser Fish Eagle,Icthyophaga humilis,Icthyophaga humilis,21
Grey-headed Fish Eagle,Icthyophaga ichthyaetus,Icthyophaga ichthyaetus,28.2
Common Buzzard,Buteo buteo,Buteo buteo,28.2
Himalayan Buzzard,Buteo refectus,Buteo refectus,21.3
Long-legged Buzzard,Buteo rufinus,Buteo rufinus,20.7
Dusky Eagle Owl,Bubo coromandus,Bubo coromandus,25.8
Brown Fish Owl,Ketupa zeylonensis,Ketupa zeylonensis,23.7
Collared Owlet,Glaucidium brodiei,Glaucidium brodiei,6.9
Asian Barred Owlet,Glaucidium cuculoides,Glaucidium cuculoides,9.3
Jungle Owlet,Glaucidium radiatum,Glaucidium radiatum,9.3
Forest Owlet,Heteroglaux blewitti,Heteroglaux blewitti,13.5
Short-eared Owl,Asio flammeus,Asio flammeus,14.4
Malabar Trogon,Harpactes fasciatus,Harpactes fasciatus,9.9
Red-headed Trogon,Harpactes erythrocephalus,Harpactes erythrocephalus,13.2
Ward's Trogon,Harpactes wardi,Harpactes wardi,13.8
Common Hoopoe,Upupa epops,Upupa epops,8.4
Great Hornbill,Buceros bicornis,Buceros bicornis,54.9
Austen's Brown Hornbill,Anorrhinus austeni,Anorrhinus austeni,17.7
Indian Grey Hornbill,Ocyceros birostris,Ocyceros birostris,17.4
Malabar Grey Hornbill,Ocyceros griseus,Ocyceros griseus,16.5
Malabar Pied Hornbill,Anthracoceros coronatus,Anthracoceros coronatus,16.5
Oriental Pied Hornbill,Anthracoceros albirostris,Anthracoceros albirostris,18.3
Rufous-necked Hornbill,Aceros nipalensis,Aceros nipalensis,28.2
Wreathed Hornbill,Rhyticeros undulatus,Rhyticeros undulatus,26.1
Narcondam Hornbill,Rhyticeros narcondami,Rhyticeros narcondami,21.6
Common Kingfisher,Alcedo atthis,Alcedo atthis,13.8
Blue-eared Kingfisher,Alcedo meninting,Alcedo meninting,10.5
Oriental Dwarf Kingfisher,Ceyx erithaca,Ceyx erithaca,6
Stork-billed Kingfisher,Pelargopsis capensis,Pelargopsis capensis,14.7
White-throated Kingfisher,Halcyon smyrnensis,Halcyon smyrnensis,12.9
Black-capped Kingfisher,Halcyon pileata,Halcyon pileata,10.8
Collared Kingfisher,Todiramphus chloris,Todiramphus chloris,12.6
Crested Kingfisher,Megaceryle lugubris,Megaceryle lugubris,11.7
Pied Kingfisher,Ceryle rudis,Ceryle rudis,9.9
Blue-bearded Bee-eater,Nyctyornis athertoni,Nyctyornis athertoni,9.3
Green Bee-eater,Merops orientalis,Merops orientalis,6.6
Blue-cheeked Bee-eater,Merops persicus,Merops persicus,9
Blue-tailed Bee-eater,Merops philippinus,Merops philippinus,7.5
Chestnut-headed Bee-eater,Merops leschenaulti,Merops leschenaulti,8.7
European Roller,Coracias garrulus,Coracias garrulus,12
Indian Roller,Coracias benghalensis,Coracias benghalensis,13.5
Dollarbird,Eurystomus orientalis,Eurystomus orientalis,12.3
Malabar Barbet,Psilopogon malabaricus,Psilopogon malabaricus,9.6
Coppersmith Barbet,Psilopogon haemacephalus,Psilopogon haemacephalus,9.6
Blue-eared Barbet,Psilopogon duvaucelii,Psilopogon cyanotis,9
Great Barbet,Psilopogon virens,Psilopogon virens,14.1
Lineated Barbet,Psilopogon lineatus,Psilopogon lineatus,13.5
Brown-headed Barbet,Psilopogon zeylanicus,Psilopogon zeylanicus,12.9
White-cheeked Barbet,Psilopogon viridis,Psilopogon viridis,12.6
Golden-throated Barbet,Psilopogon franklinii,Psilopogon franklinii,9.6
Blue-throated Barbet,Psilopogon asiaticus,Psilopogon asiaticus,10.2
